"ID","Study_ID","Species","GDp","GDp_norm","SampleSize","LATITUDE","LONGITUDE","altitude","Position","Marker","Loci","Kingdom","Genus","Family","Order","Class","Phylum","Temp_PC","Prec_PC","Hum_PC","LogRange","Current_Temp","MidHol_Temp","LGM_Temp","autocorr","Mating","Pollen","Seed","Lifeform","Log_longevity","Log_fecundity","Log_size","spp","spp_new"
5371,"S247","Bellamya_aeruginosa",0.832,0.496094249,20,24.96360094,102.65144,1.787486358,"Core","CD",7,"Animalia","Bellamya","Viviparidae","Architaenioglossa","Gastropoda","Molluscs",0.507542014,-0.453651713,0.704901354,6.477,15.01,14.5,11.7,-26.46135,NA,NA,NA,NA,NA,NA,NA,"Bellamya aeruginosa","Sinotaia quadrata"
5372,"S247","Bellamya_aeruginosa",0.808,0.481783838,22,25.6081874,100.24079,1.908785427,"Core","CD",7,"Animalia","Bellamya","Viviparidae","Architaenioglossa","Gastropoda","Molluscs",0.530594848,-0.449032186,0.654273319,6.477,15.61,14.4,11.7,-21.34586,NA,NA,NA,NA,NA,NA,NA,"Bellamya aeruginosa","Sinotaia quadrata"
5373,"S247","Bellamya_aeruginosa",0.857,0.511000927,24,29.35562746,113.00853,-0.777713269,"Core","CD",7,"Animalia","Bellamya","Viviparidae","Architaenioglossa","Gastropoda","Molluscs",0.323119348,0.183842954,1.174361311,6.477,17.1,16.2,13.2,-48.31981,NA,NA,NA,NA,NA,NA,NA,"Bellamya aeruginosa","Sinotaia quadrata"
5374,"S247","Bellamya_aeruginosa",0.837,0.499075585,24,29.44177007,116.04042,-0.799767645,"Core","CD",7,"Animalia","Bellamya","Viviparidae","Architaenioglossa","Gastropoda","Molluscs",0.724238648,0.599600345,2.223742392,6.477,17.42,16.4,13.1,-55.38444,NA,NA,NA,NA,NA,NA,NA,"Bellamya aeruginosa","Sinotaia quadrata"
5375,"S247","Bellamya_aeruginosa",0.857,0.511000927,20,29.90894185,113.4641,-0.784605261,"Core","CD",7,"Animalia","Bellamya","Viviparidae","Architaenioglossa","Gastropoda","Molluscs",0.300066514,0.02677905,1.206579151,6.477,17.23,16,12.8,-49.30488,NA,NA,NA,NA,NA,NA,NA,"Bellamya aeruginosa","Sinotaia quadrata"
5376,"S247","Bellamya_aeruginosa",0.833,0.496690516,24,30.26468331,109.4781,-0.251165038,"Sub_edge","CD",7,"Animalia","Bellamya","Viviparidae","Architaenioglossa","Gastropoda","Molluscs",0.479878614,-0.070231008,1.542565199,6.477,16.57,16.1,12.8,-40.24045,NA,NA,NA,NA,NA,NA,NA,"Bellamya aeruginosa","Sinotaia quadrata"
5377,"S247","Bellamya_aeruginosa",0.853,0.508615859,25,30.35279894,114.43809,-0.792875653,"Core","CD",7,"Animalia","Bellamya","Viviparidae","Architaenioglossa","Gastropoda","Molluscs",0.410720114,-0.065611481,1.583988137,6.477,17,16.3,13,-51.51799,NA,NA,NA,NA,NA,NA,NA,"Bellamya aeruginosa","Sinotaia quadrata"
5378,"S247","Bellamya_aeruginosa",0.864,0.515174797,23,31.45076812,120.01608,-0.81355163,"Core","CD",7,"Animalia","Bellamya","Viviparidae","Architaenioglossa","Gastropoda","Molluscs",0.240129148,-0.1210458,1.086912888,6.477,15.72,14.4,10.6,-64.74351,NA,NA,NA,NA,NA,NA,NA,"Bellamya aeruginosa","Sinotaia quadrata"
5379,"S247","Bellamya_aeruginosa",0.86,0.512789728,30,31.65908181,117.295,-0.805281239,"Core","CD",7,"Animalia","Bellamya","Viviparidae","Architaenioglossa","Gastropoda","Molluscs",0.092591014,-0.342783075,1.096117985,6.477,15.89,15.1,11.6,-58.15511,NA,NA,NA,NA,NA,NA,NA,"Bellamya aeruginosa","Sinotaia quadrata"
5380,"S247","Bellamya_aeruginosa",0.83,0.494901715,20,33.30689535,118.84306,-0.801146044,"Core","CD",7,"Animalia","Bellamya","Viviparidae","Architaenioglossa","Gastropoda","Molluscs",0.097201581,-0.407456447,1.717462046,6.477,14.55,13.8,10.2,-61.83896,NA,NA,NA,NA,NA,NA,NA,"Bellamya aeruginosa","Sinotaia quadrata"
