PopId;RefID;Year;TaxaClass;Family;Genus;Species;G_s;Common;Continent;Country;Location;n;FST;GlobalFST;PopsCombo;GroupedCoord;N.Population;Ho;He;MNA;AR;Lat;Long;Msats;Lat_extent;Lat_max_DD;Lat_min_DD;Sum_areaM;Sum_areaKM;;;;;;;;;;;;;;
1;R1;2006;Freshwater;Acipenseridae;Acipenser;fulvescens;Acipenser_fulvescens;Lake Sturgeon;NAm;USA;Bad River;39;0.1084;Population;1;;4;0.645;0.649;4.75;2.941;46.54284397;-90.70564707;8;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
2;R1;2006;Freshwater;Acipenseridae;Acipenser;fulvescens;Acipenser_fulvescens;Lake Sturgeon;NAm;USA;Black Lake;114;0.0459;Population;1;;4;0.607;0.678;6.125;3.358;45.49919328;-84.32526657;8;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
3;R1;2006;Freshwater;Acipenseridae;Acipenser;fulvescens;Acipenser_fulvescens;Lake Sturgeon;NAm;USA;St Clair + Muskegon;67;0.0395;Population;2;One Pop - Bigger N;4;0.683;0.671;5.375;3.378;42.57270784;-82.5746415;8;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
4;R1;2006;Freshwater;Acipenseridae;Acipenser;fulvescens;Acipenser_fulvescens;Lake Sturgeon;NAm;USA;Sturgeon River;30;0.0749;Population;1;;4;0.544;0.613;5.125;3.134;46.89356197;-88.52380915;8;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
5;R2;2012;Freshwater;Acipenseridae;Acipenser;fulvescens;Acipenser_fulvescens;Lake sturgeon;NAm;USA;Fox River;70;0.0392;Population;1;;6;0.52;0.517;4.83;3.78;44.482756;-88.039839;12;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
6;R2;2012;Freshwater;Acipenseridae;Acipenser;fulvescens;Acipenser_fulvescens;Lake sturgeon;NAm;USA;Kalamazoo River;17;0.0606;Population;1;;6;0.508;0.499;3.58;3.41;42.644056;-86.174149;12;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
7;R2;2012;Freshwater;Acipenseridae;Acipenser;fulvescens;Acipenser_fulvescens;Lake sturgeon;NAm;USA;Manistee River;106;0.0452;Population;1;;6;0.509;0.532;4.58;3.7;44.247718;-86.331225;12;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
8;R2;2012;Freshwater;Acipenseridae;Acipenser;fulvescens;Acipenser_fulvescens;Lake sturgeon;NAm;USA;Menominee River;64;0.0542;Population;1;;6;0.472;0.482;4.33;3.66;45.105596;-87.641922;12;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
9;R2;2012;Freshwater;Acipenseridae;Acipenser;fulvescens;Acipenser_fulvescens;Lake sturgeon;NAm;USA;Muskegon River;58;0.0384;Population;1;;6;0.569;0.549;4.42;3.74;43.2623;-86.189381;12;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
10;R2;2012;Freshwater;Acipenseridae;Acipenser;fulvescens;Acipenser_fulvescens;Lake sturgeon;NAm;USA;OcontoñPeshtigo River;122;0.0388;Population;1;;6;0.539;0.534;4.83;3.67;44.93878;-87.800509;12;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
