"PopId","RefID","Year","TaxaClass","Family","Genus","Species","G_s","Common","Continent","Country","Location","n","FST","GlobalFST","PopsCombo","GroupedCoord","Ho","He","MNA","AR","Lat","Long","Msats","spp","spp_new"
1,"R1",2006,"Freshwater","Acipenseridae","Acipenser","fulvescens","Acipenser_fulvescens","Lake Sturgeon","NAm","USA","Bad River","39","0.1084","Population",1,NA,"0.64500000000000002","0.64900000000000002","4.75","2.9409999999999998",46.54284397,-90.70564707,"8","Acipenser fulvescens","Acipenser fulvescens"
2,"R1",2006,"Freshwater","Acipenseridae","Acipenser","fulvescens","Acipenser_fulvescens","Lake Sturgeon","NAm","USA","Black Lake","114","4.5900000000000003E-2","Population",1,NA,"0.60699999999999998","0.67800000000000005","6.125","3.3580000000000001",45.49919328,-84.32526657,"8","Acipenser fulvescens","Acipenser fulvescens"
3,"R1",2006,"Freshwater","Acipenseridae","Acipenser","fulvescens","Acipenser_fulvescens","Lake Sturgeon","NAm","USA","St Clair + Muskegon","67","3.95E-2","Population",2,"One Pop - Bigger N","0.68300000000000005","0.67100000000000004","5.375","3.3780000000000001",42.57270784,-82.5746415,"8","Acipenser fulvescens","Acipenser fulvescens"
4,"R1",2006,"Freshwater","Acipenseridae","Acipenser","fulvescens","Acipenser_fulvescens","Lake Sturgeon","NAm","USA","Sturgeon River","30","7.4899999999999994E-2","Population",1,NA,"0.54400000000000004","0.61299999999999999","5.125","3.1339999999999999",46.89356197,-88.52380915,"8","Acipenser fulvescens","Acipenser fulvescens"
5,"R2",2012,"Freshwater","Acipenseridae","Acipenser","fulvescens","Acipenser_fulvescens","Lake sturgeon","NAm","USA","Fox River","70","3.9199999999999999E-2","Population",1,NA,"0.52","0.51700000000000002","4.83","3.78",44.482756,-88.039839,"12","Acipenser fulvescens","Acipenser fulvescens"
6,"R2",2012,"Freshwater","Acipenseridae","Acipenser","fulvescens","Acipenser_fulvescens","Lake sturgeon","NAm","USA","Kalamazoo River","17","6.0600000000000001E-2","Population",1,NA,"0.50800000000000001","0.499","3.58","3.41",42.644056,-86.174149,"12","Acipenser fulvescens","Acipenser fulvescens"
7,"R2",2012,"Freshwater","Acipenseridae","Acipenser","fulvescens","Acipenser_fulvescens","Lake sturgeon","NAm","USA","Manistee River","106","4.5199999999999997E-2","Population",1,NA,"0.50900000000000001","0.53200000000000003","4.58","3.7",44.247718,-86.331225,"12","Acipenser fulvescens","Acipenser fulvescens"
8,"R2",2012,"Freshwater","Acipenseridae","Acipenser","fulvescens","Acipenser_fulvescens","Lake sturgeon","NAm","USA","Menominee River","64","5.4199999999999998E-2","Population",1,NA,"0.47199999999999998","0.48199999999999998","4.33","3.66",45.105596,-87.641922,"12","Acipenser fulvescens","Acipenser fulvescens"
9,"R2",2012,"Freshwater","Acipenseridae","Acipenser","fulvescens","Acipenser_fulvescens","Lake sturgeon","NAm","USA","Muskegon River","58","3.8399999999999997E-2","Population",1,NA,"0.56899999999999995","0.54900000000000004","4.42","3.74",43.2623,-86.189381,"12","Acipenser fulvescens","Acipenser fulvescens"
10,"R2",2012,"Freshwater","Acipenseridae","Acipenser","fulvescens","Acipenser_fulvescens","Lake sturgeon","NAm","USA","Oconto–Peshtigo River","122","3.8800000000000001E-2","Population",1,NA,"0.53900000000000003","0.53400000000000003","4.83","3.67",44.93878,-87.800509,"12","Acipenser fulvescens","Acipenser fulvescens"
13,"R4",2010,"Freshwater","Acipenseridae","Acipenser","brevirostrum","Acipenser_brevirostrum","Shortnose sturgeon","NAm","USA","0geechee","35","NA","NA",1,NA,"NA","0.152","NA","NA",31.873392,-81.158949,"11","Acipenser brevirostrum","Acipenser brevirostrum"
14,"R4",2010,"Freshwater","Acipenseridae","Acipenser","brevirostrum","Acipenser_brevirostrum","Shortnose sturgeon","NAm","USA","Altamaha","35","NA","NA",1,NA,"NA","0.152","NA","NA",31.333997,-81.379846,"11","Acipenser brevirostrum","Acipenser brevirostrum"
15,"R4",2010,"Freshwater","Acipenseridae","Acipenser","brevirostrum","Acipenser_brevirostrum","Shortnose sturgeon","NAm","USA","Androscoggin","23","NA","NA",1,NA,"NA","0.17299999999999999","NA","NA",43.98876,-70.122526,"11","Acipenser brevirostrum","Acipenser brevirostrum"
16,"R4",2010,"Freshwater","Acipenseridae","Acipenser","brevirostrum","Acipenser_brevirostrum","Shortnose sturgeon","NAm","USA","Cape Fear","3","NA","NA",1,NA,"NA","0.104","NA","NA",34.173095,-77.957995,"11","Acipenser brevirostrum","Acipenser brevirostrum"
17,"R4",2010,"Freshwater","Acipenseridae","Acipenser","brevirostrum","Acipenser_brevirostrum","Shortnose sturgeon","NAm","USA","Chesapeake Bay","34","NA","NA",1,NA,"NA","0.17499999999999999","NA","NA",38.088106,-76.476008,"11","Acipenser brevirostrum","Acipenser brevirostrum"
