"Name","Article","DOI","LatCentDeg","LonCentDeg","Areakm2","LatExtentk","EleExtentm","Eleminm","Elemaxm","Elemeanm"
"A1_P1","Archaux_2004_Ibis","10.1111/j.1474-919X.2004.00246.x",6.6211,46.10779,463.67,18.82,1845.98,432.75,2278.73,1254.46
"A1_P2","Archaux_2004_Ibis","10.1111/j.1474-919X.2004.00246.x",5.22594,44.14675,254.6,11.16,1714.63,125.83,1840.46,447.66
"A10_P1","LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",-99.12988,39.52959,7933705.8,2740.96,5044.43,0,5044.43,752.03
"A100_P1","Leonelli_al_2011_Ambio","10.1007/s13280-010-0096-2",7.36103,45.79269,0.82,0.88,606.69,2088.12,2694.82,2408.96
"A100_P2","Leonelli_al_2011_Ambio","10.1007/s13280-010-0096-2",7.36103,45.79269,0.82,0.88,606.69,2088.12,2694.82,2408.96
"A100_P3","Leonelli_al_2011_Ambio","10.1007/s13280-010-0096-2",7.36103,45.79269,0.82,0.88,606.69,2088.12,2694.82,2408.96
"A102_P1","Greenwood_al_2014_GCB","10.1111/gcb.12710",121.29461,24.19349,9.42,5.09,1159.49,2200.89,3360.38,2561.97
"A102_P2","Greenwood_al_2014_GCB","10.1111/gcb.12710",121.29461,24.19349,9.42,5.09,1159.49,2200.89,3360.38,2561.97
"A102_P3","Greenwood_al_2014_GCB","10.1111/gcb.12710",121.29461,24.19349,9.42,5.09,1159.49,2200.89,3360.38,2561.97
"A102_P4","Greenwood_al_2014_GCB","10.1111/gcb.12710",121.26709,24.16222,4.79,2.04,523.93,2695.38,3219.31,2997.47
"A102_P5","Greenwood_al_2014_GCB","10.1111/gcb.12710",121.26709,24.16222,4.79,2.04,523.93,2695.38,3219.31,2997.47
"A102_P6","Greenwood_al_2014_GCB","10.1111/gcb.12710",121.26709,24.16222,4.79,2.04,523.93,2695.38,3219.31,2997.47
"A103_P1","Peron_al_2010_GCB","10.1111/j.1365-2486.2010.02169.x",58.72308,-39.00424,1852732.1,3166,NA,NA,NA,NA
"A104_P1","Moreno-Rueda_al_2012_CB","10.1111/j.1523-1739.2011.01793.x",-3.5551,40.38753,493687,869.22,3408.88,0,3408.88,621.56
"A105_P1","Chen_al_2009_PNAS","10.1073/pnas.0809320106",116.54188,6.03531,15.56,8.77,3138.25,856.76,3995.01,1824.75
"A106_P1","Chen_al_2011_GEB","10.1111/j.1466-8238.2010.00594.x",116.54188,6.03531,15.56,8.77,3138.25,856.76,3995.01,1824.75
"A107_P1","Kreuser_2013_Thesis","n/a",-85.73095,44.87477,250486.84,716.86,1826.07,8.96,1835.04,364.21
"A108_P1","Batford_2010_Thesis","n/a",-85.73095,44.87477,250486.84,716.86,1826.07,8.96,1835.04,364.21
"A109_P1","Hargrove_2010_Thesis","n/a",-116.42847,33.27081,4897.35,149.99,3215.93,0,3215.93,192.97
"A11_P1","Mair_al_2012_GCB","10.1111/j.1365-2486.2012.02730.x",-2.66429,54.14455,231509.29,1088.73,1749,0,1749,151.91
"A11_P2","Mair_al_2012_GCB","10.1111/j.1365-2486.2012.02730.x",-2.66429,54.14455,231509.29,1088.73,1749,0,1749,151.91
"A110_P1","Greenlee_2012_Thesis","n/a",-86.0461,50.45795,994723.88,1566.97,2668.91,0,2668.91,597.24
"A110_P2","Greenlee_2012_Thesis","n/a",-86.0461,50.45795,994723.88,1566.97,2668.91,0,2668.91,597.24
"A111_P1","Lattman_al_2009_NJB","10.1111/j.1756-1051.2009.00425.x",14.6255,58.16045,134808.86,472.27,611.14,0,611.14,151.11
"A112_P1","Stuart-Smith_al_2010_GCB","10.1111/j.1365-2486.2009.01955.x",147.09627,-42.26813,17727.15,351.61,NA,NA,NA,NA
"A113_P1","Virkkala_Lehikoinen_2014_GCB","10.1111/gcb.12573",26.2766,64.50932,333829.57,922.98,1351.34,0,1351.34,184.01
"A113_P2","Virkkala_Lehikoinen_2014_GCB","10.1111/gcb.12573",26.2766,64.50932,333829.57,922.98,1351.34,0,1351.34,184.01
"A113_P3","Virkkala_Lehikoinen_2014_GCB","10.1111/gcb.12573",26.2766,64.50932,333829.57,922.98,1351.34,0,1351.34,184.01
"A113_P4","Virkkala_Lehikoinen_2014_GCB","10.1111/gcb.12573",26.2766,64.50932,333829.57,922.98,1351.34,0,1351.34,184.01
"A113_P5","Virkkala_Lehikoinen_2014_GCB","10.1111/gcb.12573",26.2766,64.50932,333829.57,922.98,1351.34,0,1351.34,184.01
"A114_P1","Eskildsen_al_2013_GEB","10.1111/gcb.12513",26.2766,64.50932,333829.57,922.98,1351.34,0,1351.34,184.01
"A115_P1","Tingley_al_2012_GCB","10.1111/j.1365-2486.2012.02784.x",-121.3238,40.39592,15361.97,112.97,4369.77,44.99,4414.76,1656.8
"A115_P2","Tingley_al_2012_GCB","10.1111/j.1365-2486.2012.02784.x",-119.91205,37.85189,10373.31,84.48,3892.54,3.41,3895.96,3.92
"A115_P3","Tingley_al_2012_GCB","10.1111/j.1365-2486.2012.02784.x",-118.85897,36.15054,27477.89,183.37,4296.22,28.09,4324.31,714.11
