"spp","long","lat","He","He_harm","He_harm2","He_harm3","Source","Marker","min_dist","He_harm_w","He_harm2_w","He_harm3_w","ID","sp_name_std_v1","Article_ID","Study_ID","Type","Param","Trend","SHIFT","UNIT","DUR","v.lat.mean","v.ele.mean","trend.mean","START","END","Sampling","Uncertainty_Distribution","Uncertainty_Parameter","Nperiodes","N","Grain_size","Data","ID.area","group","Hemisphere","SHIFT_abs","velocity","vel_sign","Name","Article","DOI","LatCentDeg","LonCentDeg","Areakm2","LatExtentk","EleExtentm","Eleminm","Elemaxm","Elemeanm","Extent","NtempUnits","LogNtempUnits","Grain","ContinuousGrain","Quality","PrAb","StartF","ExtentF","AreaF","NtaxaF","obs_ID","Kingdom","Phylum","Class","Order","Family","Genus","Group","ECO","centroid.x","centroid.y","max_lat.x","max_lat.y","min_lat.x","min_lat.y","shift_sign","shift_vel_sign","lag","lag2","lag3"
"Fringilla coelebs",-16.46087,28.35497168,0.714,0.71830985915493,0.914745483050232,-0.166620995815347,"De Kort","Microsatellite",2822104.66493091,0.760261939260398,1.13578421744813,0.00856416111974531,"A1_P1","Fringilla coelebs","A1","P1","ELE","O","-31",-1.319149,"m/year",23.5,-0.330836,13.12588,0.06809625,1979,2001.5,"TWO","PROCESSED","no",2,24,"small","occurrence-based",-2.9195685872578,"vertebrate","N",1.319149,13.12588,"pos","A1_P1","Archaux_2004_Ibis","10.1111/j.1474-919X.2004.00246.x",6.6211,46.10779,463.67,18.82,1845.98,432.75,2278.73,1254.46,1845.98,2,0.693147180559945,"small",1,"RESURVEYED","occurrence","(1.97e+03,1.99e+03]","(1.75e+03,4.09e+03]","[1.54e-05,4.85]","[1,99]","S3","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Bird","T",6.62110247,46.10778951,6.46982464149409,46.1957528171388,6.77883387558296,46.0210086764093,"neg","negpos",14.445029,13.12588,0
"Fringilla coelebs",-16.46087,28.35497168,0.714,0.71830985915493,0.914745483050232,-0.166620995815347,"De Kort","Microsatellite",2605892.05361037,0.760161968955553,1.1352550557803,0.00814477186620543,"A1_P2","Fringilla coelebs","A1","P2","ELE","O","-74",-2.642857,"m/year",28,0.7513782,9.119254,0.04935485,1973.5,2000.5,"TWO","PROCESSED","no",2,17,"small","occurrence-based",-3.55301483557921,"vertebrate","N",2.642857,9.119254,"pos","A1_P2","Archaux_2004_Ibis","10.1111/j.1474-919X.2004.00246.x",5.22594,44.14675,254.6,11.16,1714.63,125.83,1840.46,447.66,1714.63,2,0.693147180559945,"small",1,"RESURVEYED","occurrence","(1.97e+03,1.99e+03]","(880,1.75e+03]","[1.54e-05,4.85]","[1,99]","S40","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Bird","T",5.22593522,44.14675371,5.08591749339763,44.1980043566158,5.08489038488341,44.0956661716565,"neg","negpos",11.762111,9.119254,0
"Fringilla coelebs",-16.46087,28.35497168,0.714,0.71830985915493,0.914745483050232,-0.166620995815347,"De Kort","Microsatellite",5009768.53387231,0.760705046573332,1.13812539483693,0.0104196708763807,"A113_P1","Fringilla coelebs","A113","P1","LAT","O","39.97",1.110278,"km/year",36,2.348407,NA,0.03828653,1976,2011,NA,"PROCESSED","yes",4,94,"large","abundance-based",4.13364796426425,"vertebrate","N",1.110278,2.348407,"pos","A113_P1","Virkkala_Lehikoinen_2014_GCB","10.1111/gcb.12573",26.2766,64.50932,333829.57,922.98,1351.34,0,1351.34,184.01,922.98,4,1.38629436111989,"very_large",4,"RESURVEYED","abundance","(1.97e+03,1.99e+03]","(880,1.75e+03]","(31.3,62.4]","[1,99]","S2358","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Bird","T",26.27659671,64.50932287,27.8066596985863,70.0794219974273,22.9097194672796,59.8049888606475,"pos","pospos",1.238129,1.238129,1.238129
"Fringilla coelebs",-16.46087,28.35497168,0.714,0.71830985915493,0.914745483050232,-0.166620995815347,"De Kort","Microsatellite",5009768.53387231,0.760705046573332,1.13812539483693,0.0104196708763807,"A113_P2","Fringilla coelebs","A113","P2","LAT","O","-24.194",-2.199455,"km/year",11,0.752779,NA,0.01142942,1976,1986,"TWO","PROCESSED","yes",2,94,"large","abundance-based",4.13364796426425,"vertebrate","N",2.199455,0.752779,"pos","A113_P2","Virkkala_Lehikoinen_2014_GCB","10.1111/gcb.12573",26.2766,64.50932,333829.57,922.98,1351.34,0,1351.34,184.01,922.98,2,0.693147180559945,"very_large",4,"RESURVEYED","abundance","(1.97e+03,1.99e+03]","(880,1.75e+03]","(31.3,62.4]","[1,99]","S2452","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Bird","T",26.27659671,64.50932287,27.8066596985863,70.0794219974273,22.9097194672796,59.8049888606475,"neg","negpos",2.952234,0.752779,0
"Fringilla coelebs",-16.46087,28.35497168,0.714,0.71830985915493,0.914745483050232,-0.166620995815347,"De Kort","Microsatellite",5009768.53387231,0.760705046573332,1.13812539483693,0.0104196708763807,"A113_P3","Fringilla coelebs","A113","P3","LAT","O","4.975",0.4975,"km/year",10,6.929532,NA,0.1109242,1986,1995,"TWO","PROCESSED","yes",2,94,"large","abundance-based",4.13364796426425,"vertebrate","N",0.4975,6.929532,"pos","A113_P3","Virkkala_Lehikoinen_2014_GCB","10.1111/gcb.12573",26.2766,64.50932,333829.57,922.98,1351.34,0,1351.34,184.01,922.98,2,0.693147180559945,"very_large",4,"RESURVEYED","abundance","(1.97e+03,1.99e+03]","(880,1.75e+03]","(31.3,62.4]","[1,99]","S2536","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Bird","T",26.27659671,64.50932287,27.8066596985863,70.0794219974273,22.9097194672796,59.8049888606475,"pos","pospos",6.432032,6.432032,6.432032
"Fringilla coelebs",-16.46087,28.35497168,0.714,0.71830985915493,0.914745483050232,-0.166620995815347,"De Kort","Microsatellite",5009768.53387231,0.760705046573332,1.13812539483693,0.0104196708763807,"A113_P4","Fringilla coelebs","A113","P4","LAT","O","42.171",3.51425,"km/year",12,1.394681,NA,0.02487665,1995,2006,"TWO","PROCESSED","yes",2,94,"large","abundance-based",4.13364796426425,"vertebrate","N",3.51425,1.394681,"pos","A113_P4","Virkkala_Lehikoinen_2014_GCB","10.1111/gcb.12573",26.2766,64.50932,333829.57,922.98,1351.34,0,1351.34,184.01,922.98,2,0.693147180559945,"very_large",4,"RESURVEYED","abundance","(1.99e+03,2.01e+03]","(880,1.75e+03]","(31.3,62.4]","[1,99]","S2632","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Bird","T",26.27659671,64.50932287,27.8066596985863,70.0794219974273,22.9097194672796,59.8049888606475,"pos","pospos",-2.119569,-2.119569,0
"Fringilla coelebs",-16.46087,28.35497168,0.714,0.71830985915493,0.914745483050232,-0.166620995815347,"De Kort","Microsatellite",5009768.53387231,0.760705046573332,1.13812539483693,0.0104196708763807,"A113_P5","Fringilla coelebs","A113","P5","LAT","O","6.449",1.074833,"km/year",6,5.460747,NA,0.0935116,2006,2011,"TWO","PROCESSED","yes",2,94,"large","abundance-based",4.13364796426425,"vertebrate","N",1.074833,5.460747,"pos","A113_P5","Virkkala_Lehikoinen_2014_GCB","10.1111/gcb.12573",26.2766,64.50932,333829.57,922.98,1351.34,0,1351.34,184.01,922.98,2,0.693147180559945,"very_large",4,"RESURVEYED","abundance","(1.99e+03,2.01e+03]","(880,1.75e+03]","(31.3,62.4]","[1,99]","S2714","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Bird","T",26.27659671,64.50932287,27.8066596985863,70.0794219974273,22.9097194672796,59.8049888606475,"pos","pospos",4.385914,4.385914,4.385914
"Fringilla coelebs",-16.46087,28.35497168,0.714,0.71830985915493,0.914745483050232,-0.166620995815347,"De Kort","Microsatellite",3664407.2246152,0.760426946493094,1.1366532712393,0.00925293327185822,"A133_P1","Fringilla coelebs","A133","P1","ELE","O","-13",-1.181818,"m/year",11,-0.44185,11.19409,0.06139881,1987,1997,"TWO","PROCESSED","no",2,51,"small","occurrence-based",-0.608120972715339,"vertebrate","N",1.181818,11.19409,"pos","A133_P1","Reif_Flousek_2012_Oikos","10.1111/j.1600-0706.2011.20008.x",15.68232,50.7369,4274.74,53.52,1361.6,178.44,1540.04,308.29,1361.6,2,0.693147180559945,"small",1,"BALANCED","occurrence","(1.99e+03,2.01e+03]","(880,1.75e+03]","[1.54e-05,4.85]","[1,99]","S6961","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Bird","T",15.68232454,50.73690036,14.9785452856365,50.992564795429,16.3814963460795,50.4785615850492,"neg","negpos",12.375908,11.19409,0
"Fringilla coelebs",-16.46087,28.35497168,0.714,0.71830985915493,0.914745483050232,-0.166620995815347,"De Kort","Microsatellite",3664407.2246152,0.760426946493094,1.1366532712393,0.00925293327185822,"A133_P2","Fringilla coelebs","A133","P2","ELE","O","-2",-0.1818182,"m/year",11,-0.5124726,11.88863,0.06520834,1997,2007,"TWO","PROCESSED","no",2,51,"small","occurrence-based",-0.608120972715339,"vertebrate","N",0.1818182,11.88863,"pos","A133_P2","Reif_Flousek_2012_Oikos","10.1111/j.1600-0706.2011.20008.x",15.68232,50.7369,4274.74,53.52,1361.6,178.44,1540.04,308.29,1361.6,2,0.693147180559945,"small",1,"BALANCED","occurrence","(1.99e+03,2.01e+03]","(880,1.75e+03]","[1.54e-05,4.85]","[1,99]","S7036","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Bird","T",15.68232454,50.73690036,14.9785452856365,50.992564795429,16.3814963460795,50.4785615850492,"neg","negpos",12.0704482,11.88863,0
"Fringilla coelebs",-16.46087,28.35497168,0.714,0.71830985915493,0.914745483050232,-0.166620995815347,"De Kort","Microsatellite",4520440.06235061,0.760705404793054,1.1381298273986,0.0104231839213427,"A135_P1","Fringilla coelebs","A135","P1","LAT","O","78162.77164",7.105707,"km/year",11,-0.470659,-3.225668,-0.01288088,2001,2011,"TWO","PROCESSED","yes",2,101,"moderate","abundance-based",4.3648072279885,"vertebrate","N",7.105707,-0.470659,"neg","A135_P1","Tayleur_al_2015_GEB","10.1111/geb.12308",16.74447,62.816,446026.13,1276.02,2014.18,0,2014.18,321.88,1276.02,2,0.693147180559945,"moderate",2,"BALANCED","abundance","(1.99e+03,2.01e+03]","(880,1.75e+03]","(62.4,1.23e+04]","(99,277]","S8149","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Bird","T",16.74446671,62.81600311,20.5332472818366,69.0612680633705,13.3512563541975,55.3287322289093,"pos","posneg",7.576366,0.470659,0
