"spp","N.x","He_harm","He_harm2","He_harm3","ID","sp_name_std_v1","Article_ID","Study_ID","Type","Param","Trend","SHIFT","UNIT","DUR","v.lat.mean","v.ele.mean","START","END","Sampling","Uncertainty_Distribution","Uncertainty_Parameter","N.y","Grain_size","Data","ID.area","group","Hemisphere","SHIFT_abs","velocity","vel_sign","StartF","AreaF","NtaxaF","obs_ID","Kingdom","Phylum","Class","Order","Family","Genus","Group","ECO","centroid.x","centroid.y","max_lat.x","max_lat.y","min_lat.x","min_lat.y","lag","lag2","lag3","SHIFT_cor","shift_sign","shift_vel_sign","shiftC_sign","shiftC_vel_sign","lagC","lagC2","lagC3"
"Abies alba",26,0.361,-1.51210558160863,0.131385600496921,"A153_P1","Abies alba",153,"P1","ELE","O","17.9",0.518840579710145,"m/year",34.5,0.554725062,4.167398929,1972.5,2006,"TWO","PROCESSED","yes",12,"small","occurrence-based",1.52521332763854,"vascular.plant","N",0.518840579710145,4.167398929,"pos","(1.97e+03,1.99e+03]","[1.54e-05,4.85]","[1,99]","S15","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Plant","T",19.67587233,48.84614746,19.4508240846639,49.611740597051,19.012089947693,48.074838221207,3.64855834928986,3.64855834928986,3.64855834928986,-0.113378314090056,"pos","pospos","neg","negpos",4.28077724309006,4.167398929,0
"Abies alba",26,0.361,-1.51210558160863,0.131385600496921,"A156_P1","Abies alba",156,"P1","ELE","O","-50.19770709",-1.73095541689655,"m/year",29,0.102284704,2.193347313,1977,2005,"TWO","PROCESSED","yes",97,"moderate","occurrence-based",4.14955384241054,"vascular.plant","N",1.73095541689655,2.193347313,"pos","(1.97e+03,1.99e+03]","(62.4,1.23e+04]","[1,99]","S17","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Plant","T",2.45872918,46.62622314,2.54166698484352,51.0910987851809,2.67111110679218,42.3383216853975,3.92430272989655,2.193347313,0,-0.557392477674466,"neg","negpos","neg","negpos",2.75073979067447,2.193347313,0
"Abies alba",26,0.361,-1.51210558160863,0.131385600496921,"A41_P1","Abies alba",41,"P1","ELE","O","214",4.15533980582524,"m/year",51.5,0.116652242,2.255112248,1945,1995.5,"TWO","PROCESSED","no",171,"moderate","occurrence-based",2.95788746001656,"vascular.plant","N",4.15533980582524,2.255112248,"pos","[1.8e+03,1.94e+03]","(4.85,31.3]","(99,254]","S12","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Plant","T",4.38460824,44.9850236,7.48502393840408,49.1704538837398,9.19982661940298,41.3643233162681,-1.90022755782524,-1.90022755782524,0,0.900413027356045,"pos","pospos","pos","pospos",1.35469922064396,1.35469922064396,1.35469922064396
"Abies alba",26,0.361,-1.51210558160863,0.131385600496921,"A6_P1","Abies alba",6,"P1","ELE","O","-11",-0.785714285714286,"m/year",14,0.391222192,9.860659727,1985,1998,"TWO","PROCESSED","no",175,"small","occurrence-based",1.90536309129006,"vascular.plant","N",0.785714285714286,9.860659727,"pos","(1.97e+03,1.99e+03]","(4.85,31.3]","(99,254]","S8","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Plant","T",5.53873828,43.94069897,4.75566668896658,45.3667968980585,9.18444289652251,41.3603456850054,10.6463740127143,9.860659727,0,-0.406616314082318,"neg","negpos","neg","negpos",10.2672760410823,9.860659727,0
"Abies alba",26,0.361,-1.51210558160863,0.131385600496921,"A156_P1","Abies alba",156,"P1","LAT","O","10.24688425",0.353340836206897,"km/year",29,0.102284704,2.193347313,1977,2005,"TWO","PROCESSED","yes",97,"moderate","occurrence-based",4.14955384241054,"vascular.plant","N",0.353340836206897,0.102284704,"pos","(1.97e+03,1.99e+03]","(62.4,1.23e+04]","[1,99]","S10","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Plant","T",2.45872918,46.62622314,2.54166698484352,51.0910987851809,2.67111110679218,42.3383216853975,-0.251056132206897,-0.251056132206897,0,0.472063591774593,"pos","pospos","pos","pospos",-0.369778887774593,-0.369778887774593,0
"Abies alba",26,0.361,-1.51210558160863,0.131385600496921,"A153_P1","Abies alba",153,"P1","ELE","LE","0",0,"m/year",34.5,0.554725062,4.167398929,1972.5,2006,"TWO","PROCESSED","yes",12,"small","occurrence-based",1.52521332763854,"vascular.plant","N",0,4.167398929,"pos","(1.97e+03,1.99e+03]","[1.54e-05,4.85]","[1,99]","S20","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Plant","T",19.67587233,48.84614746,19.4508240846639,49.611740597051,19.012089947693,48.074838221207,4.167398929,4.167398929,0,-0.350445001128904,"neg","negpos","neg","negpos",4.5178439301289,4.167398929,0
"Abies alba",26,0.361,-1.51210558160863,0.131385600496921,"A156_P1","Abies alba",156,"P1","ELE","LE","-17.8",-0.613793103448276,"m/year",29,0.102284704,2.193347313,1977,2005,"TWO","PROCESSED","yes",97,"moderate","occurrence-based",4.14955384241054,"vascular.plant","N",0.613793103448276,2.193347313,"pos","(1.97e+03,1.99e+03]","(62.4,1.23e+04]","[1,99]","S19","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Plant","T",2.45872918,46.62622314,2.54166698484352,51.0910987851809,2.67111110679218,42.3383216853975,2.80714041644828,2.193347313,0,-0.375223631999497,"neg","negpos","neg","negpos",2.5685709449995,2.193347313,0
"Abies alba",26,0.361,-1.51210558160863,0.131385600496921,"A243_P1","Abies alba",243,"P1","ELE","LE","8.913791747",8.913791747,"m/year",21,0.408644090032211,5.89618115342723,1989,2009,"CONTINUOUS","OPPORTUNISTIC","yes",1334,"small","occurrence-based",-2.98573966159586,"vascular.plant","N",8.913791747,5.89618115342723,"pos","(1.99e+03,2.01e+03]","[1.54e-05,4.85]","(924,4.43e+03]","S14","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Plant","T",10.86565216,45.71780076,10.9287947224985,45.8703854717122,10.8333932800759,45.5722859241561,-3.01761059357277,-3.01761059357277,0,0.68031190233971,"pos","pospos","pos","pospos",5.21586925108752,5.21586925108752,5.21586925108752
"Abies alba",26,0.361,-1.51210558160863,0.131385600496921,"A34_P1","Abies alba",34,"P1","ELE","LE","-47",-0.449760765550239,"m/year",104.5,0.122997677,2.83193216,1903,2006.5,"TWO","OPPORTUNISTIC","no",654,"small","occurrence-based",-4.9140771206328,"vascular.plant","N",0.449760765550239,2.83193216,"pos","[1.8e+03,1.94e+03]","[1.54e-05,4.85]","(254,924]","S16","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Plant","T",13.46224319,48.9196343,13.4108323721163,48.9722603325484,13.5192182217436,48.8743775607759,3.28169292555024,2.83193216,0,-0.145907054601907,"neg","negpos","neg","negpos",2.97783921460191,2.83193216,0
"Abies alba",26,0.361,-1.51210558160863,0.131385600496921,"A156_P1","Abies alba",156,"P1","LAT","LE","-4.3971968",-0.151627475862069,"km/year",29,0.102284704,2.193347313,1977,2005,"TWO","PROCESSED","yes",97,"moderate","occurrence-based",4.14955384241054,"vascular.plant","N",0.151627475862069,0.102284704,"pos","(1.97e+03,1.99e+03]","(62.4,1.23e+04]","[1,99]","S18","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Plant","T",2.45872918,46.62622314,2.54166698484352,51.0910987851809,2.67111110679218,42.3383216853975,0.253912179862069,0.102284704,0,-0.199592719744144,"neg","negpos","neg","negpos",0.301877423744144,0.102284704,0
