"spp","long","lat","He","He_harm","He_harm2","He_harm3","Source","Marker","min_dist","He_harm_w","He_harm2_w","He_harm3_w","ID","sp_name_std_v1","Article_ID","Study_ID","Type","Param","Trend","SHIFT","UNIT","DUR","v.lat.mean","v.ele.mean","START","END","Sampling","Uncertainty_Distribution","Uncertainty_Parameter","N","Grain_size","Data","ID.area","group","Hemisphere","SHIFT_abs","velocity","vel_sign","StartF","AreaF","NtaxaF","obs_ID","Kingdom","Phylum","Class","Order","Family","Genus","Group","ECO","centroid.x","centroid.y","max_lat.x","max_lat.y","min_lat.x","min_lat.y","lag","lag2","lag3","SHIFT_cor","shift_sign","shift_vel_sign","shiftC_sign","shiftC_vel_sign","lagC","lagC2","lagC3"
"Fringilla coelebs",-16.46087,28.35497168,0.714,0.714,0.914850968903752,0.0449500548408018,"De Kort","Microsatellite",2822104.66493091,0.755700367624836,1.13592658741985,0.215929226939063,"A1_P1","Fringilla coelebs",1,"P1","ELE","O","-31",-1.319149,"m/year",23.5,-0.330836,13.12588,1979,2001.5,"TWO","PROCESSED","no",24,"small","occurrence-based",-2.9195685872578,"vertebrate","N",1.319149,13.12588,"pos","(1.97e+03,1.99e+03]","[1.54e-05,4.85]","[1,99]","S12975","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Bird","T",6.62110247,46.10778951,6.46982464149409,46.1957528171388,6.77883387558296,46.0210086764093,14.445029,13.12588,0,-0.608134438122645,"neg","negpos","neg","negpos",13.7340144381226,13.12588,0
"Fringilla coelebs",-16.46087,28.35497168,0.714,0.714,0.914850968903752,0.0449500548408018,"De Kort","Microsatellite",2605892.05361037,0.75560099714182,1.13539733676208,0.215519906183088,"A1_P2","Fringilla coelebs",1,"P2","ELE","O","-74",-2.642857,"m/year",28,0.7513782,9.119254,1973.5,2000.5,"TWO","PROCESSED","no",17,"small","occurrence-based",-3.55301483557921,"vertebrate","N",2.642857,9.119254,"pos","(1.97e+03,1.99e+03]","[1.54e-05,4.85]","[1,99]","S12994","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Bird","T",5.22593522,44.14675371,5.08591749339763,44.1980043566158,5.08489038488341,44.0956661716565,11.762111,9.119254,0,-0.934536552335215,"neg","negpos","neg","negpos",10.0537905523352,9.119254,0
"Fringilla coelebs",-16.46087,28.35497168,0.714,0.714,0.914850968903752,0.0449500548408018,"De Kort","Microsatellite",3664407.2246152,0.755864384814135,1.13679578613045,0.216601462425385,"A133_P1","Fringilla coelebs",133,"P1","ELE","O","-13",-1.181818,"m/year",11,-0.44185,11.19409,1987,1997,"TWO","PROCESSED","no",51,"small","occurrence-based",-0.608120972715339,"vertebrate","N",1.181818,11.19409,"pos","(1.99e+03,2.01e+03]","[1.54e-05,4.85]","[1,99]","S12992","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Bird","T",15.68232454,50.73690036,14.9785452856365,50.992564795429,16.3814963460795,50.4785615850492,12.375908,11.19409,0,-0.410980107583144,"neg","negpos","neg","negpos",11.6050701075831,11.19409,0
"Fringilla coelebs",-16.46087,28.35497168,0.714,0.714,0.914850968903752,0.0449500548408018,"De Kort","Microsatellite",3664407.2246152,0.755864384814135,1.13679578613045,0.216601462425385,"A133_P2","Fringilla coelebs",133,"P2","ELE","O","-2",-0.1818182,"m/year",11,-0.5124726,11.88863,1997,2007,"TWO","PROCESSED","no",51,"small","occurrence-based",-0.608120972715339,"vertebrate","N",0.1818182,11.88863,"pos","(1.99e+03,2.01e+03]","[1.54e-05,4.85]","[1,99]","S12977","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Bird","T",15.68232454,50.73690036,14.9785452856365,50.992564795429,16.3814963460795,50.4785615850492,12.0704482,11.88863,0,-0.17512656268962,"neg","negpos","neg","negpos",12.0637565626896,11.88863,0
"Fringilla coelebs",-16.46087,28.35497168,0.714,0.714,0.914850968903752,0.0449500548408018,"De Kort","Microsatellite",4520440.06235061,0.756141172364295,1.13827259134506,0.217743618827069,"A135_P1","Fringilla coelebs",135,"P1","ELE","O","22.41044095",2.037313,"m/year",11,-0.470659,-3.225668,2001,2011,"TWO","PROCESSED","yes",101,"moderate","abundance-based",4.3648072279885,"vertebrate","N",2.037313,-3.225668,"neg","(1.99e+03,2.01e+03]","(62.4,1.23e+04]","(99,254]","S12973","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Bird","T",16.74446671,62.81600311,20.5332472818366,69.0612680633705,13.3512563541975,55.3287322289093,5.262981,3.225668,0,0.292949903546732,"pos","posneg","pos","posneg",3.51861790354673,3.225668,0
"Fringilla coelebs",-16.46087,28.35497168,0.714,0.714,0.914850968903752,0.0449500548408018,"De Kort","Microsatellite",3664407.2246152,0.755864384814135,1.13679578613045,0.216601462425385,"A142_P1","Fringilla coelebs",142,"P1","ELE","O","-0.5",-0.5,"m/year",28,-0.2757599,6.362868,1984,2011,"CONTINUOUS","PROCESSED","no",50,"small","abundance-based",-0.608120972715339,"vertebrate","N",0.5,6.362868,"pos","(1.97e+03,1.99e+03]","[1.54e-05,4.85]","[1,99]","S12985","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Bird","T",15.68232454,50.73690036,14.9785452856365,50.992564795429,16.3814963460795,50.4785615850492,6.862868,6.362868,0,-0.45617345145532,"neg","negpos","neg","negpos",6.81904145145532,6.362868,0
"Fringilla coelebs",-16.46087,28.35497168,0.714,0.714,0.914850968903752,0.0449500548408018,"De Kort","Microsatellite",2890914.43090609,0.755681014225099,1.13582166573049,0.215848080842076,"A16_P1","Fringilla coelebs",16,"P1","ELE","O","7",0.5833333,"m/year",12,0.2762193,6.59215,1993,2004,"TWO","PROCESSED","yes",61,"moderate","occurrence-based",-4.40801502642357,"vertebrate","N",0.5833333,6.59215,"pos","(1.99e+03,2.01e+03]","[1.54e-05,4.85]","[1,99]","S12981","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Bird","T",8.09349784,45.71299928,8.16888941691309,45.7542788955546,8.01595105509716,45.6730475076364,6.0088167,6.0088167,6.0088167,-0.05222485535501,"pos","pospos","neg","negpos",6.64437485535501,6.59215,0
"Fringilla coelebs",-16.46087,28.35497168,0.714,0.714,0.914850968903752,0.0449500548408018,"De Kort","Microsatellite",3070378.38999819,0.756135951972994,1.13825656747376,0.217731226016559,"A181_P1","Fringilla coelebs",181,"P1","ELE","O","-56",-3.5,"m/year",16,0.576354,8.029236,1994,2009,"CONTINUOUS","PROCESSED","yes",80,"moderate","abundance-based",3.44196657478844,"vertebrate","N",3.5,8.029236,"pos","(1.99e+03,2.01e+03]","(4.85,31.3]","[1,99]","S12974","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Bird","T",-2.63665413,54.07849786,-1.29444503790813,60.6310997006907,-5.19305610635416,49.95526885997,11.529236,8.029236,0,-0.934911269445581,"neg","negpos","neg","negpos",8.96414726944558,8.029236,0
"Fringilla coelebs",-16.46087,28.35497168,0.714,0.714,0.914850968903752,0.0449500548408018,"De Kort","Microsatellite",5009768.53387231,0.756140816293892,1.13826815732209,0.217740189567968,"A113_P1","Fringilla coelebs",113,"P1","LAT","O","39.97",1.110278,"km/year",36,2.348407,NA,1976,2011,"MULTIPLE","PROCESSED","yes",94,"large","abundance-based",4.13364796426425,"vertebrate","N",1.110278,2.348407,"pos","(1.97e+03,1.99e+03]","(31.3,62.4]","[1,99]","S12972","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Bird","T",26.27659671,64.50932287,27.8066596985863,70.0794219974273,22.9097194672796,59.8049888606475,1.238129,1.238129,1.238129,-0.372024271108728,"pos","pospos","neg","negpos",2.72043127110873,2.348407,0
"Fringilla coelebs",-16.46087,28.35497168,0.714,0.714,0.914850968903752,0.0449500548408018,"De Kort","Microsatellite",5009768.53387231,0.756140816293892,1.13826815732209,0.217740189567968,"A113_P2","Fringilla coelebs",113,"P2","LAT","O","-24.194",-2.199455,"km/year",11,0.752779,NA,1976,1986,"TWO","PROCESSED","yes",94,"large","abundance-based",4.13364796426425,"vertebrate","N",2.199455,0.752779,"pos","(1.97e+03,1.99e+03]","(31.3,62.4]","[1,99]","S12997","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Bird","T",26.27659671,64.50932287,27.8066596985863,70.0794219974273,22.9097194672796,59.8049888606475,2.952234,0.752779,0,-1.16795527772709,"neg","negpos","neg","negpos",1.92073427772709,0.752779,0
