"V1","spp","CommonName","Source","Country","Site","lat","lon","stockid","CollectionYear","MarkerName","n","bp","He","Hese","Pi","Pise","spp_new"
1,"Acanthocybium solandri","Wahoo","Garber, Tringali & Franks 2005","","Caribbean Sea off the Cayman Islands",19.303,-75,NA,"2001","control region",23,890,1,NA,0.052,NA,"Acanthocybium solandri"
2,"Acanthocybium solandri","Wahoo","Garber, Tringali & Franks 2005","Bahamas","Bimini, Bahamas",25.739,-78.9652777777778,NA,"1997/1998","control region",40,890,1,NA,0.05,NA,"Acanthocybium solandri"
3,"Acanthocybium solandri","Wahoo","Garber, Tringali & Franks 2005","United States","Atlantic Ocean off North Carolina",34.8,-70,NA,"2000/2001","control region",23,890,1,NA,0.053,NA,"Acanthocybium solandri"
4,"Acanthocybium solandri","Wahoo","Garber, Tringali & Franks 2005","United States","East Central Florida",28.304,-75,NA,"2001","control region",30,890,1,NA,0.055,NA,"Acanthocybium solandri"
5,"Acanthocybium solandri","Wahoo","Garber, Tringali & Franks 2005","United States","Northern Gulf of Mexico",29.229,-84,NA,"1998-2000","control region",54,890,0.999,NA,0.055,NA,"Acanthocybium solandri"
6,"Acanthocybium solandri","Wahoo","Garber, Tringali & Franks 2005","United States","Southern tip of Florida",25.205,-76,NA,"2000/2001","control region",21,890,0.995,NA,0.049,NA,"Acanthocybium solandri"
7,"Acanthocybium solandri","Wahoo","Garber, Tringali & Franks 2005","USA","Central Pacific Ocean off Hawaiian Islands",22,-158,NA,"2000","control region",40,890,1,NA,0.055,NA,"Acanthocybium solandri"
8,"Acanthopagrus schlegeli","black porgy","Jean et al. 1998","Taiwan","Fulung",25.066,121.133333333333,NA,"","5' end of D-loop region, 3' end of D-region, tRNAPhe gene, and 5' end of 12S rRNA gene",7,717,0.8792,NA,0.00381,NA,"Acanthopagrus schlegeli"
9,"Acanthopagrus schlegeli","black porgy","Jean et al. 1998","Taiwan","Matsu",26.164,120,NA,"","5' end of D-loop region, 3' end of D-region, tRNAPhe gene, and 5' end of 12S rRNA gene",6,717,0.9091,NA,0.00399,NA,"Acanthopagrus schlegeli"
10,"Acanthopagrus schlegeli","black porgy","Jean et al. 1998","Taiwan","Penghu",23.554,119.083333333333,NA,"","5' end of D-loop region, 3' end of D-region, tRNAPhe gene, and 5' end of 12S rRNA gene",6,717,0.9091,NA,0.00269,NA,"Acanthopagrus schlegeli"
11,"Acanthopagrus schlegeli","black porgy","Jean et al. 1998","Taiwan","Taihsi",23.655,120.033333333333,NA,"","5' end of D-loop region, 3' end of D-region, tRNAPhe gene, and 5' end of 12S rRNA gene",6,717,0.8485,NA,0.00232,NA,"Acanthopagrus schlegeli"
12,"Acanthopagrus schlegeli","black porgy","Jean et al. 1998","Taiwan","Tanshui",25.165,121.033333333333,NA,"","5' end of D-loop region, 3' end of D-region, tRNAPhe gene, and 5' end of 12S rRNA gene",6,717,0.9091,NA,0.00232,NA,"Acanthopagrus schlegeli"
13,"Acanthopagrus schlegeli","black porgy","Jean et al. 1998","Taiwan","Tungkang",22.447,120.1,NA,"","5' end of D-loop region, 3' end of D-region, tRNAPhe gene, and 5' end of 12S rRNA gene",6,717,0.7879,NA,0.00316,NA,"Acanthopagrus schlegeli"
14,"Acanthopagrus schlegeli","black porgy","Jean et al. 1998","Taiwan","Wuchi",24.187,120.1,NA,"","5' end of D-loop region, 3' end of D-region, tRNAPhe gene, and 5' end of 12S rRNA gene",6,717,0.8485,NA,0.00274,NA,"Acanthopagrus schlegeli"
15,"Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","Costa Rica","Cocos Islands",5.08361111111111,87.0019444444444,NA,"2008","cytb",32,694,0.88,0.04,0.003,0.0019,"Acanthurus nigrofuscus"
16,"Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","French Polynesia","Moorea",-16.9158333333333,149.134166666667,NA,"2008","cytb",31,694,0.78,0.08,0.003,0.0019,"Acanthurus nigrofuscus"
17,"Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","Indian Ocean","Christmas Island",-9.93111111111111,105.100833333333,NA,"2008","cytb",51,694,0.85,0.03,0.0025,0.0016,"Acanthurus nigrofuscus"
18,"Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","Indian Ocean","Diego Garcia",-6.94972222222222,72.0669444444444,NA,"2008","cytb",32,694,0.85,0.05,0.003,0.0017,"Acanthurus nigrofuscus"
19,"Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","Indian Ocean","Seychelles",-3.89972222222222,55.0680555555556,NA,"2008","cytb",32,694,0.72,0.07,0.0017,0.0012,"Acanthurus nigrofuscus"
20,"Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","Pacific Ocean","Kiritimati",1.135,-156.933333333333,NA,"2008","cytb",35,694,0.89,0.04,0.0032,0.002,"Acanthurus nigrofuscus"
21,"Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","South Pacific Ocean","Fiji",-18,179,NA,"2008","cytb",30,694,0.91,0.03,0.0031,0.002,"Acanthurus nigrofuscus"
22,"Acanthurus nigrofuscus","Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","USA","French Frigate Shoals",23.1177777777778,-165.982222222222,NA,"2006","cytb",33,694,0.72,0.08,0.0021,0.0013,"Acanthurus nigrofuscus"
