"species","v1","v2","scientificName","kingdom","phylum","class","order","family","db","db_code","reported_name_fixed","reported_name","ID"
"Abaciscus tristis",1,1,"Abaciscus tristis","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","gbif","GBIF:1986936","Abaciscus tristis","Abaciscus tristis",1
"Abax parallelepipedus",1,1,"Abax parallelepipedus","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","gbif","GBIF:5754772","Abax parallelepipedus","Abax parallelepipedus",2
"Abax parallelus",1,1,"Abax parallelus","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","gbif","GBIF:5754817","Abax parallelus","Abax parallelus",3
"Abies alba",1,1,"Abies alba","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2685484","Abies alba","Abies alba",4
"Abies balsamea",1,1,"Abies balsamea","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2685383","Abies balsamea","Abies balsamea",5
"Abies concolor",1,1,"Abies concolor","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2685580","Abies concolor","Abies concolor",6
"Abies grandis",1,1,"Abies grandis","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2685361","Abies grandis","Abies grandis",7
"Abies kawakamii",1,0,"Abies kawakamii","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:8326713","Abies kawakamii","Abies kawakamii",8
"Abies lasiocarpa",0,1,"Abies lasiocarpa","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2685313","Abies lasiocarpa","Abies lasiocarpa",9
"Abies magnifica",1,1,"Abies magnifica","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2685422","Abies magnifica","Abies magnifica",10
"Abies nordmanniana",1,1,"Abies nordmanniana","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2685552","Abies nordmanniana","Abies nordmanniana",11
"Abies pinsapo",0,1,"Abies pinsapo","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2685464","Abies pinsapo","Abies pinsapo",12
"Abra alba",1,1,"Abra alba","Animalia","Mollusca","Bivalvia","Cardiida","Semelidae","gbif","GBIF:5189061","Abra alba","Abra alba",13
"Abra prismatica",1,1,"Abra prismatica","Animalia","Mollusca","Bivalvia","Cardiida","Semelidae","gbif","GBIF:5189053","Abra prismatica","Abra prismatica",14
"Abramis brama",1,1,"Abramis brama","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:9809222","Abramis brama","Abramis brama",15
"Abraxas grossulariatus",1,1,"Abraxas grossulariata","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","gbif","GBIF:1967873","Abraxas grossulariata","Abraxas grossulariata",16
"Abraxas grossulariata",1,1,"Abraxas grossulariata","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","gbif","GBIF:1967873","Abraxas grossulariata","Abraxas grossulariata",17
"Abraxas intervacuata",1,1,"Abraxas intervacuata","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","gbif","GBIF:1967959","Abraxas intervacuata","Abraxas intervacuata",18
"Abraxas invasata",1,1,"Abraxas invasata","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","gbif","GBIF:1967945","Abraxas invasata","Abraxas invasata",19
"Abraxas sylvata",1,1,"Abraxas sylvata","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","gbif","GBIF:1967815","Abraxas sylvata","Abraxas sylvata",20
"Abronia latifolia",1,1,"Abronia latifolia","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","gbif","GBIF:5384891","Abronia latifolia","Abronia latifolia",21
"Abronia maritima",1,1,"Abronia maritima","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","gbif","GBIF:5384895","Abronia maritima","Abronia maritima",22
"Abronia nana",1,1,"Abronia nana","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","gbif","GBIF:5384875","Abronia nana","Abronia nana var. covillei",23
"Abronia pogonantha",1,1,"Abronia pogonantha","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","gbif","GBIF:5384868","Abronia pogonantha","Abronia pogonantha",24
"Abronia umbellata",1,1,"Abronia umbellata","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","gbif","GBIF:5384870","Abronia umbellata","Abronia umbellata",25
"Abronia villosa",1,1,"Abronia villosa","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","gbif","GBIF:5384880","Abronia villosa","Abronia villosa",26
"Abronia villosa",1,1,"Abronia villosa","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","gbif","GBIF:5384880","Abronia villosa","Abronia villosa var. aurita",27
"Abronia villosa",1,1,"Abronia villosa","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","gbif","GBIF:5384880","Abronia villosa","Abronia villosa var. villosa",28
"Abroscopus superciliaris",1,1,"Abroscopus superciliaris","Animalia","Chordata","Aves","Passeriformes","Cettiidae","gbif","GBIF:2493238","Abroscopus superciliaris","Abroscopus superciliaris",29
"Abrostola asclepiadis",1,1,"Abrostola asclepiadis","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","gbif","GBIF:1767608","Abrostola asclepiadis","Abrostola asclepiadis",30
"Abrostola tripartita",1,1,"Abrostola tripartita","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","gbif","GBIF:1767625","Abrostola tripartita","Abrostola tripartita",31
"Abrostola triplasia",1,1,"Abrostola triplasia","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","gbif","GBIF:1767597","Abrostola triplasia","Abrostola triplasia",32
"Podistra schoenherri",1,1,"Podistra schoenherri","Animalia","Arthropoda","Insecta","Coleoptera","Cantharidae","gbif","GBIF:4429884","Absidia schoenherri","Absidia schoenherri",33
"Aburria aburri",0,1,"Aburria aburri","Animalia","Chordata","Aves","Galliformes","Cracidae","gbif","GBIF:2482313","Aburria aburri","Aburria aburri",34
"Abutilon theophrasti",1,1,"Abutilon theophrasti","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","gbif","GBIF:3152614","Abutilon theophrasti","Abutilon theophrasti",35
"Faidherbia albida",1,0,"Acacia albida","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:7751817","Acacia albida","Acacia albida",36
