"","X","Name_lc","tax","kingdom","phylum","class","order","family","genus","species","verbatimScientificName","SpeciesChecked"
"1",1,"Callospermophilus lateralis","mammal","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Callospermophilus","Callospermophilus lateralis","Callospermophilus lateralis","Callospermophilus lateralis"
"2",7,"Chaetodipus californicus","mammal","Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Chaetodipus","Chaetodipus californicus","Chaetodipus californicus","Chaetodipus californicus"
"3",11,"Dipodomys agilis","mammal","Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","Dipodomys agilis","Dipodomys agilis","Dipodomys agilis"
"4",13,"Dipodomys heermanni","mammal","Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","Dipodomys heermanni","Dipodomys heermanni","Dipodomys heermanni"
"5",15,"Marmota flaviventris","mammal","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Marmota","Marmota flaviventris","Marmota flaviventris","Marmota flaviventris"
"6",21,"Microtus californicus","mammal","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Microtus","Microtus californicus","Microtus californicus","Microtus californicus"
"7",27,"Microtus longicaudus","mammal","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Microtus","Microtus longicaudus","Microtus longicaudus","Microtus longicaudus"
"8",33,"Microtus montanus","mammal","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Microtus","Microtus montanus","Microtus montanus","Microtus montanus"
"9",39,"Neotoma cinerea","mammal","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Neotoma","Neotoma cinerea","Neotoma cinerea","Neotoma cinerea"
"10",45,"Neotoma fuscipes","mammal","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Neotoma","Neotoma fuscipes","Neotoma fuscipes","Neotoma fuscipes"
"11",47,"Neotoma macrotis","mammal","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Neotoma","Neotoma macrotis","Neotoma macrotis","Neotoma macrotis"
"12",51,"Ochotona princeps","mammal","Animalia","Chordata","Mammalia","Lagomorpha","Ochotonidae","Ochotona","Ochotona princeps","Ochotona princeps","Ochotona princeps"
"13",57,"Otospermophilus beecheyi","mammal","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Otospermophilus","Otospermophilus beecheyi","Otospermophilus beecheyi","Otospermophilus beecheyi"
"14",63,"Peromyscus boylii","mammal","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Peromyscus","Peromyscus boylii","Peromyscus boylii","Peromyscus boylii"
"15",69,"Peromyscus maniculatus","mammal","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Peromyscus","Peromyscus maniculatus","Peromyscus maniculatus","Peromyscus maniculatus"
"16",75,"Peromyscus truei","mammal","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Peromyscus","Peromyscus truei","Peromyscus truei","Peromyscus truei"
"17",81,"Reithrodontomys megalotis","mammal","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Reithrodontomys","Reithrodontomys megalotis","Reithrodontomys megalotis","Reithrodontomys megalotis"
"18",87,"Sciurus griseus","mammal","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Sciurus","Sciurus griseus","Sciurus griseus","Sciurus griseus"
"19",93,"Sorex monticolus","mammal","Animalia","Chordata","Mammalia","Eulipotyphla","Soricidae","Sorex","Sorex monticolus","Sorex monticolus","Sorex monticolus"
"20",97,"Sorex ornatus","mammal","Animalia","Chordata","Mammalia","Eulipotyphla","Soricidae","Sorex","Sorex ornatus","Sorex ornatus","Sorex ornatus"
"21",101,"Sorex palustris","mammal","Animalia","Chordata","Mammalia","Eulipotyphla","Soricidae","Sorex","Sorex palustris","Sorex palustris","Sorex palustris"
"22",107,"Sorex trowbridgii","mammal","Animalia","Chordata","Mammalia","Eulipotyphla","Soricidae","Sorex","Sorex trowbridgii","Sorex trowbridgii","Sorex trowbridgii"
"23",111,"Sorex vagrans","mammal","Animalia","Chordata","Mammalia","Eulipotyphla","Soricidae","Sorex","Sorex vagrans","Sorex vagrans","Sorex vagrans"
"24",113,"Tamias alpinus","mammal","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Tamias","Tamias alpinus","Tamias alpinus","Tamias alpinus"
"25",117,"Tamias amoenus","mammal","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Tamias","Tamias amoenus","Tamias amoenus","Tamias amoenus"
"26",121,"Tamias merriami","mammal","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Tamias","Tamias merriami","Tamias merriami","Tamias merriami"
"27",125,"Tamias quadrimaculatus","mammal","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Tamias","Tamias quadrimaculatus","Tamias quadrimaculatus","Tamias quadrimaculatus"
"28",127,"Tamias senex","mammal","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Tamias","Tamias senex","Tamias senex","Tamias senex"
"29",131,"Tamias speciosus","mammal","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Tamias","Tamias speciosus","Tamias speciosus","Tamias speciosus"
"30",137,"Tamiasciurus douglasii","mammal","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Tamiasciurus","Tamiasciurus douglasii","Tamiasciurus douglasii","Tamiasciurus douglasii"
"31",143,"Thomomys bottae","mammal","Animalia","Chordata","Mammalia","Rodentia","Geomyidae","Thomomys","Thomomys bottae","Thomomys bottae","Thomomys bottae"
"32",149,"Thomomys monticola","mammal","Animalia","Chordata","Mammalia","Rodentia","Geomyidae","Thomomys","Thomomys monticola","Thomomys monticola","Thomomys monticola"
