"r2m";"r2c";"moy_GD";"sd_GD";"moy_VC";"sd_VC";"singu";"nB"
0.38;0.38;0.00538123336035496;0.006866592173018;1.32674408796701;1.3953929953482;TRUE;1
0.41;0.41;0.00560623390915571;0.00728362027778111;1.33382721536778;1.37148359430275;TRUE;2
0.41;0.41;0.00534478883036391;0.00688946045702319;1.3000623763781;1.33083998631778;TRUE;3
0.39;0.39;0.00540529670858433;0.00718195077447913;1.27941666565308;1.3491924166837;TRUE;4
0.39;0.39;0.00538189416183233;0.00701406471698733;1.28460780874857;1.34297964241532;TRUE;5
0.4;0.4;0.00535342175616743;0.00720668441959111;1.30676001523542;1.35830072346291;TRUE;6
0.38;0.38;0.00552209635607967;0.00714214134748033;1.30492857338923;1.35141994766992;TRUE;7
0.36;0.36;0.0056427702612056;0.00738792178360423;1.30963855431685;1.37380345969064;TRUE;8
0.38;0.38;0.00539089809103267;0.00706964599722809;1.31682389235504;1.35472214889232;TRUE;9
0.4;0.4;0.00544868613247012;0.00707216490675627;1.32911770428089;1.37790648247303;TRUE;10
0.38;0.38;0.00557976764210179;0.00726400496453544;1.31176121496166;1.36149430549035;TRUE;11
0.36;0.36;0.00544912281671073;0.00717030374566187;1.32699308416426;1.36161637972672;TRUE;12
0.39;0.39;0.00546610854063379;0.00722006862689909;1.291989167583;1.32820391851583;TRUE;13
0.39;0.39;0.00551651038947924;0.00716121466422035;1.32237753258674;1.3595752198201;TRUE;14
0.39;0.39;0.00560077428461833;0.00743566037880257;1.31372635522621;1.37261820724662;TRUE;15
0.39;0.39;0.00559836931912734;0.00734078816579964;1.29225648173472;1.31030098167999;TRUE;16
0.39;0.39;0.00546832183424011;0.00704531885728934;1.33597907259878;1.37812636167739;TRUE;17
0.38;0.38;0.00527658814630958;0.00686393562137355;1.32540001545376;1.36187491956449;TRUE;18
0.38;0.38;0.00547342708721992;0.00727495547101754;1.30077178949307;1.34179218020858;TRUE;19
0.38;0.38;0.00563989909903838;0.00740416578773975;1.32536066513994;1.36854120011992;TRUE;20
0.38;0.38;0.00554365074074816;0.00718376796238301;1.3377379147874;1.38054570616784;TRUE;21
0.38;0.38;0.00544466402975497;0.00708497265408683;1.34293055083665;1.38056883593809;TRUE;22
0.4;0.4;0.00558928413614071;0.00746226683858766;1.32862008077186;1.36190258732212;TRUE;23
0.39;0.39;0.0056131683410064;0.00714281897281832;1.3037787986787;1.34016058064641;TRUE;24
0.38;0.38;0.00540543620499554;0.00716017672301862;1.31569562111424;1.32069276948853;TRUE;25
0.38;0.38;0.00543114966674025;0.00719802400625428;1.30043913908151;1.34876154763413;TRUE;26
0.4;0.4;0.0055568800331509;0.00718750187561844;1.30476052140003;1.36488023961925;TRUE;27
0.39;0.39;0.00539343329728926;0.00703643220050155;1.29415599702176;1.3475128584125;TRUE;28
0.41;0.41;0.00545892904134814;0.00707719137896454;1.29236237146519;1.33550236320446;TRUE;29
