"GD";"moy";"sd";"median";"q025";"p975";"pv.inf0";"pv.sup0"
"0";0.373035617134678;0.02699628552951;0.373681201270519;0.317418948228235;0.424177492907882;1;0
"0.001";0.361027646579826;0.0257349802846846;0.361657405216839;0.307740574380676;0.409537056253703;1;0
"0.002";0.349019676024973;0.0247044391262675;0.349814268862212;0.297497667510074;0.395627701032713;1;0
"0.003";0.337011705470121;0.0239344884896646;0.337952302049557;0.28707157339364;0.381740903831437;1;0
"0.004";0.325003734915268;0.0234508100160398;0.325976591229238;0.276126598495931;0.368961710180747;1;0
"0.005";0.312995764360416;0.0232712605155582;0.313707615564325;0.264842798221323;0.356571138549479;1;0
"0.006";0.300987793805563;0.0234028409810783;0.301783821013947;0.252913009392246;0.345584743089697;1;0
"0.007";0.288979823250711;0.0238404003828874;0.289534894616672;0.24062904967302;0.335114164551194;1;0
"0.008";0.276971852695858;0.0245675953091709;0.277368483572015;0.227261797362976;0.324520324874576;1;0
"0.009";0.264963882141006;0.0255597165978437;0.265410102122204;0.213890028355585;0.31527052412697;1;0
"0.01";0.252955911586153;0.0267873442184375;0.253302777619767;0.200354485414935;0.305756551545851;1;0
"0.011";0.240947941031301;0.0282197596095378;0.240983882995956;0.185854285378664;0.296789904261702;1;0
"0.012";0.228939970476448;0.0298274735603139;0.228784550963506;0.170707740424199;0.288648394566958;1;0
"0.013";0.216931999921596;0.0315837276139222;0.216650705902193;0.15565389515015;0.280736571454936;1;0
"0.014";0.204924029366743;0.0334651437381899;0.204513492585306;0.140285463294832;0.273056750522961;1;0
"0.015";0.192916058811891;0.0354518005928199;0.192421616121196;0.124737871061598;0.265224011277107;1;0
"0.016";0.180908088257038;0.0375269877495716;0.180155052242631;0.108903230473478;0.257543240541581;1;0
"0.017";0.168900117702186;0.0396768166347554;0.168240594708258;0.0933041210267037;0.249933341084294;1;0
"0.018";0.156892147147333;0.0418897967458377;0.156055286758271;0.0771555296457484;0.242730301548533;1;0
"0.019";0.144884176592481;0.0441564342873749;0.143988605066275;0.0607131752319096;0.235623743376793;0.9999;9.9999999999989e-05
"0.02";0.132876206037628;0.0464688780902982;0.131900093000271;0.0448508012444994;0.228651479902576;0.9982;0.00180000000000002
"0.021";0.120868235482775;0.048820619592492;0.11973163468453;0.0283522797609874;0.221137329220397;0.995;0.005
"0.022";0.108860264927923;0.0512062446215958;0.107393735760987;0.0116943972718981;0.214171584418846;0.9862;0.0138
"0.023";0.0968522943730705;0.0536212309027561;0.0953047422757586;-0.00485068288432769;0.206727510843915;0.969;0.031
"0.024";0.084844323818218;0.0560617841602881;0.0830545274782656;-0.0208799410949178;0.199970989124559;0.9405;0.0595
"0.025";0.0728363532633654;0.0585247059571499;0.0709400305968352;-0.0373356482008958;0.193113092613205;0.8979;0.1021
"0.026";0.0608283827085129;0.0610072872363217;0.0589033643404513;-0.0540640274085243;0.185688154001142;0.844;0.156
"0.027";0.0488204121536604;0.0635072224941963;0.0467837280951941;-0.0706288010441997;0.178480435029599;0.7813;0.2187
"0.028";0.0368124415988079;0.0660225404414864;0.0345895402006567;-0.0874292501644638;0.171693458177447;0.7036;0.2964
"0.029";0.0248044710439554;0.0685515478176543;0.0223860225174512;-0.103983781805329;0.164687481043718;0.6318;0.3682
"0.03";0.0127965004891029;0.0710927837018122;0.0101222407810283;-0.12082928052283;0.158044325312903;0.5587;0.4413
"0.031";0.00078852993425039;0.073644982213164;-0.00192360457969046;-0.137262494706575;0.15091383855688;0.4909;0.5091
"0.032";-0.0112194406206021;0.0762070419338653;-0.0141106240397356;-0.153537173316715;0.144201480427236;0.4307;0.5693
"0.033";-0.0232274111754547;0.0787780007354252;-0.0260595640661199;-0.170593511454391;0.137679175681105;0.3778;0.6222
"0.034";-0.0352353817303072;0.0813570149640427;-0.037982196942496;-0.187659018726317;0.130684298415763;0.326;0.674
"0.035";-0.0472433522851597;0.0839433421557444;-0.0502272854512154;-0.204576690156487;0.124133303326033;0.2841;0.7159
"0.036";-0.0592513228400122;0.0865363266213753;-0.0622131542899775;-0.221648392618086;0.117655375800001;0.2452;0.7548
"0.037";-0.0712592933948647;0.0891353873744564;-0.074547265159459;-0.238726687641297;0.110775446462476;0.2084;0.7916
"0.038";-0.0832672639497172;0.0917400079795916;-0.0866668891217355;-0.255676110306046;0.1033974947515;0.1767;0.8233
"0.039";-0.0952752345045697;0.0943497279817209;-0.0987550139515102;-0.272356434662777;0.096188369073624;0.1526;0.8474
"0.04";-0.107283205059422;0.0969641356419064;-0.110793002734148;-0.289611597712246;0.0893639026857004;0.1345;0.8655
"0.041";-0.119291175614275;0.0995828617572692;-0.122936020659207;-0.306841229101044;0.0819114368094427;0.1165;0.8835
"0.042";-0.131299146169127;0.102205574384085;-0.135069079646526;-0.323788164720377;0.0749306360214072;0.102;0.898
"0.043";-0.14330711672398;0.104831974316152;-0.147195046295392;-0.341186561083534;0.0680759830225837;0.0883;0.9117
"0.044";-0.155315087278832;0.107461791197113;-0.159310119005103;-0.358319323828478;0.061232963698016;0.0766;0.9234
"0.045";-0.167323057833685;0.110094780166862;-0.171514624397513;-0.375574305512131;0.0543812859472805;0.0672;0.9328
"0.046";-0.179331028388537;0.112730718959454;-0.183648038008177;-0.39297423390723;0.0477134446455812;0.0587;0.9413
"0.047";-0.19133899894339;0.11536940538405;-0.195541860362309;-0.409837887714635;0.0407117868462078;0.0508;0.9492
