"GD";"moy";"sd";"median";"q025";"p975";"pv.inf0";"pv.sup0"
"0";-0.00104809960705455;0.0719574166287933;0.000966554491984104;-0.15035826600422;0.135601306809164;0.5046;0.4954
"0.001";-0.0188669432725799;0.0683642053643247;-0.0171850983073082;-0.160297469604671;0.111104233700532;0.4064;0.5936
"0.002";-0.0366857869381052;0.0650555383751728;-0.0349742814464506;-0.170649341572482;0.0870679985611004;0.2923;0.7077
"0.003";-0.0545046306036306;0.0620769305173329;-0.0526443783584088;-0.181724075156373;0.0626579559271533;0.1903;0.8097
"0.004";-0.0723234742691559;0.059477989732389;-0.0705443700769604;-0.195001830977204;0.0391869133079443;0.1075;0.8925
"0.005";-0.0901423179346812;0.0573103913242683;-0.0879494341587327;-0.208063036162675;0.0157993131465237;0.0511;0.9489
"0.006";-0.107961161600207;0.0556245842758177;-0.10582063664843;-0.223054668252715;-0.00607771738508568;0.019;0.981
"0.007";-0.125780005265732;0.0544653240966811;-0.123791475403806;-0.23805389739371;-0.0269510255600132;0.00629999999999997;0.9937
"0.008";-0.143598848931257;0.0538666168701699;-0.141783538864825;-0.253386900851425;-0.0457327954578714;0.00260000000000005;0.9974
"0.009";-0.161417692596783;0.0538471636031186;-0.159429425716168;-0.269210592769093;-0.0632635381410152;0.000700000000000034;0.9993
"0.01";-0.179236536262308;0.0544075856305586;-0.177528618495764;-0.288261529283036;-0.0798559554344804;0.000499999999999945;0.9995
"0.011";-0.197055379927833;0.0555303291109849;-0.195701492718688;-0.307844369781738;-0.0944068496970415;0.000299999999999967;0.9997
"0.012";-0.214874223593359;0.0571822809896932;-0.21384547289937;-0.327656862272575;-0.108719763959968;0.000299999999999967;0.9997
"0.013";-0.232693067258884;0.0593192447539274;-0.232043089371928;-0.349858090596456;-0.121208790361028;0.000299999999999967;0.9997
"0.014";-0.250511910924409;0.0618910015119375;-0.249782071479346;-0.371435123227144;-0.132854169778811;0.000299999999999967;0.9997
"0.015";-0.268330754589935;0.0648458408003717;-0.268036664027235;-0.393607901162641;-0.144136134710049;0.000399999999999956;0.9996
"0.016";-0.28614959825546;0.0681339401550053;-0.28607666487837;-0.417893729031998;-0.153790328229469;0.000399999999999956;0.9996
"0.017";-0.303968441920985;0.0717094712291669;-0.304220747563656;-0.442424019162547;-0.163677152512556;0.000399999999999956;0.9996
"0.018";-0.321787285586511;0.0755316255476459;-0.322204828880685;-0.466711776911252;-0.172729312087947;0.000600000000000045;0.9994
"0.019";-0.339606129252036;0.0795648690236781;-0.340346434775286;-0.491467813547366;-0.180284163346977;0.000600000000000045;0.9994
"0.02";-0.357424972917561;0.0837787206790752;-0.358637869257813;-0.516616959704296;-0.188457594125141;0.000600000000000045;0.9994
"0.021";-0.375243816583087;0.0881472825756538;-0.377372906465148;-0.542640420491979;-0.19615725982461;0.000600000000000045;0.9994
"0.022";-0.393062660248612;0.0926486726472862;-0.39559724933632;-0.567927695311782;-0.203825629729223;0.000700000000000034;0.9993
"0.023";-0.410881503914137;0.0972644508138406;-0.413578746939415;-0.593707171576902;-0.212120604280349;0.000800000000000023;0.9992
"0.024";-0.428700347579663;0.101979085953514;-0.431437764157793;-0.621325211754843;-0.218709663145144;0.000800000000000023;0.9992
"0.025";-0.446519191245188;0.106779484371731;-0.449426140317618;-0.64793877192919;-0.22594951310329;0.000800000000000023;0.9992
"0.026";-0.464338034910713;0.111654584878783;-0.467641265836664;-0.674400159410205;-0.232319177295354;0.000800000000000023;0.9992
"0.027";-0.482156878576239;0.116595017462995;-0.485731562190179;-0.701219499996787;-0.239456570224747;0.000900000000000012;0.9991
"0.028";-0.499975722241764;0.121592818870692;-0.503760800223609;-0.727640295620004;-0.247210794710169;0.00109999999999999;0.9989
"0.029";-0.517794565907289;0.126641197229133;-0.52165446221083;-0.754543465756111;-0.254022486884808;0.00129999999999997;0.9987
"0.03";-0.535613409572815;0.131734337973505;-0.539503353608373;-0.781920273058948;-0.259293132644674;0.00129999999999997;0.9987
"0.031";-0.55343225323834;0.136867244065149;-0.557386888921228;-0.808448180450101;-0.265237558647495;0.00129999999999997;0.9987
"0.032";-0.571251096903865;0.142035604429463;-0.575588705275738;-0.835883515529088;-0.271288237983301;0.00129999999999997;0.9987
"0.033";-0.589069940569391;0.147235685498723;-0.593546632259345;-0.863903807159898;-0.278299013099479;0.00160000000000005;0.9984
"0.034";-0.606888784234916;0.152464241623723;-0.611679294520944;-0.891407163535797;-0.284602638365465;0.00190000000000001;0.9981
"0.035";-0.624707627900441;0.157718440882787;-0.6297300318008;-0.918243036947287;-0.28989384296054;0.002;0.998
"0.036";-0.642526471565967;0.162995803461561;-0.647732749090752;-0.945248912062225;-0.294327361084187;0.002;0.998
"0.037";-0.660345315231492;0.168294150310237;-0.666044858940766;-0.972866987638921;-0.300470973742819;0.002;0.998
"0.038";-0.678164158897017;0.173611560220486;-0.683909661841134;-1.00071424729521;-0.306043545888534;0.002;0.998
"0.039";-0.695983002562543;0.17894633381749;-0.702001991461843;-1.02807387481393;-0.312443108244198;0.002;0.998
"0.04";-0.713801846228068;0.18429696324745;-0.720060137424111;-1.05620624362574;-0.317716051427678;0.00219999999999998;0.9978
"0.041";-0.731620689893593;0.189662106570409;-0.737715044056785;-1.08451667099124;-0.323242314558989;0.00219999999999998;0.9978
"0.042";-0.749439533559119;0.195040566052811;-0.755824256481388;-1.11270316072625;-0.329780890642408;0.00219999999999998;0.9978
"0.043";-0.767258377224644;0.200431269702756;-0.774094873795592;-1.14051117320664;-0.336574990412764;0.00239999999999996;0.9976
