"GD";"moy";"sd";"median";"q025";"p975";"pv.inf0";"pv.sup0"
"0";0.571538072144812;0.148704885102867;0.563290609156817;0.305136507893141;0.896071188655303;1;0
"0.001";0.538625813803923;0.133060971972764;0.532136494520453;0.296088729174016;0.824231011403333;1;0
"0.002";0.505713555463035;0.120215967653942;0.500520537617498;0.283083904368573;0.759688659371395;1;0
"0.003";0.472801297122146;0.111144557686678;0.469017575804453;0.263952696773547;0.702271359627883;1;0
"0.004";0.439889038781257;0.106812563565892;0.437351826040784;0.239655997304671;0.658802511164389;0.9999;9.9999999999989e-05
"0.005";0.406976780440368;0.107792912454509;0.406323135224503;0.191258292719211;0.619486592030811;0.9994;0.000600000000000045
"0.006";0.374064522099479;0.113948573589536;0.377749985109551;0.123864668318461;0.584551538283013;0.9968;0.00319999999999998
"0.007";0.341152263758591;0.124514336839222;0.351674873070472;0.0457068564607537;0.555084807682683;0.987;0.013
"0.008";0.308240005417702;0.138484439348576;0.326311590538671;-0.0406941173811776;0.526088972801453;0.9604;0.0396
"0.009";0.275327747076813;0.154940753233695;0.301693464146114;-0.127992353200614;0.500549114610751;0.9288;0.0712
"0.01";0.242415488735924;0.173175954714611;0.280001850183998;-0.218073344669522;0.475484766902186;0.9039;0.0961
"0.011";0.209503230395035;0.192685657945178;0.258227663874259;-0.305630162690555;0.452342000275691;0.8848;0.1152
"0.012";0.176590972054146;0.213120133896289;0.237052382888922;-0.395934926674563;0.430411678817;0.855;0.145
"0.013";0.143678713713258;0.234237480719749;0.216295886516301;-0.486775563910941;0.409264200689547;0.8146;0.1854
"0.014";0.110766455372369;0.255868678199687;0.194873936147383;-0.582315369997967;0.390743563794489;0.7716;0.2284
"0.015";0.07785419703148;0.277893758118335;0.173447289069633;-0.675950838694211;0.374870132634408;0.7313;0.2687
"0.016";0.0449419386905912;0.300226045383084;0.151653902903491;-0.768990019091723;0.359194690924635;0.701;0.299
"0.017";0.0120296803497023;0.322801786022562;0.129553855246042;-0.85970537086736;0.346453650987376;0.6771;0.3229
"0.018";-0.0208825779911865;0.345573270089143;0.106505278866421;-0.95571427512238;0.333538301119781;0.6535;0.3465
"0.019";-0.0537948363320753;0.368504211846497;0.0823770984157754;-1.05386578887908;0.322330879378071;0.6292;0.3708
"0.02";-0.0867070946729641;0.391566597790043;0.0589026114761283;-1.14786415694237;0.310359014639214;0.5984;0.4016
"0.021";-0.119619353013853;0.414738500827796;0.0344894675381567;-1.24424586612529;0.299620382503246;0.561;0.439
"0.022";-0.152531611354742;0.438002539765083;0.0106538996043496;-1.33957700616236;0.290518333647735;0.5199;0.4801
"0.023";-0.185443869695631;0.461344776517731;-0.0136523011905343;-1.43748829504609;0.280465368225177;0.4755;0.5245
"0.024";-0.218356128036519;0.484753914896501;-0.0388168070514486;-1.53403130527952;0.270329078693732;0.4305;0.5695
"0.025";-0.251268386377408;0.508220710324295;-0.0632430896103347;-1.62501535706657;0.260678448169571;0.3876;0.6124
"0.026";-0.284180644718297;0.53173752924289;-0.0881594070406534;-1.71728933092834;0.25056696861481;0.3493;0.6507
"0.027";-0.317092903059186;0.555298016218223;-0.113096729775028;-1.81573972446111;0.240839414879066;0.3133;0.6867
"0.028";-0.350005161400075;0.578896839544154;-0.1380097926432;-1.91451737553099;0.233322665781965;0.283;0.717
"0.029";-0.382917419740964;0.60252949476377;-0.163242760811088;-2.00908554754116;0.226907608595335;0.2543;0.7457
"0.03";-0.415829678081852;0.626192151415294;-0.188620275631753;-2.10634554610397;0.219239828676894;0.2284;0.7716
"0.031";-0.448741936422741;0.649881532385482;-0.214468339186985;-2.20080226038147;0.212102954894644;0.2066;0.7934
"0.032";-0.48165419476363;0.673594818110299;-0.239139100165719;-2.29751942766967;0.205277213688253;0.1864;0.8136
"0.033";-0.514566453104519;0.697329569889409;-0.264344355648534;-2.39271373848876;0.198188743840212;0.168;0.832
"0.034";-0.547478711445408;0.721083668035137;-0.289184660858577;-2.48695487562996;0.191656244148612;0.1505;0.8495
"0.035";-0.580390969786297;0.744855261631159;-0.314245852498979;-2.58167496273301;0.184534864441184;0.1354;0.8646
"0.036";-0.613303228127186;0.768642727448842;-0.339699623951888;-2.67951169802372;0.178234549186201;0.1235;0.8765
"0.037";-0.646215486468074;0.792444636140673;-0.364924471557189;-2.77448356005774;0.171360362168418;0.1127;0.8873
"0.038";-0.679127744808963;0.816259724256936;-0.389149687378744;-2.86976061342072;0.163883769656482;0.1039;0.8961
"0.039";-0.712040003149852;0.84008687095303;-0.41558894033833;-2.96818006411483;0.158179150868229;0.0951;0.9049
"0.04";-0.744952261490741;0.863925078498739;-0.440655341070121;-3.06344095326274;0.15286067716983;0.0873;0.9127
"0.041";-0.77786451983163;0.887773455887373;-0.466183170993178;-3.16114827979913;0.145702050997;0.0804;0.9196
"0.042";-0.810776778172518;0.911631204986492;-0.491184345047517;-3.25715742950915;0.13713405759696;0.0759;0.9241
"0.043";-0.843689036513407;0.935497608783579;-0.517005663915352;-3.35125993878784;0.131901556863554;0.0714;0.9286
"0.044";-0.876601294854296;0.959372021367218;-0.542771569813084;-3.44621759224476;0.124056781292159;0.0668;0.9332
"0.045";-0.909513553195185;0.983253859352917;-0.568540226269274;-3.54597860189831;0.116850730799375;0.0621;0.9379
"0.046";-0.942425811536074;1.00714259451696;-0.593669175229697;-3.64618000270938;0.108820040660603;0.0580000000000001;0.942
"0.047";-0.975338069876962;1.0310377474448;-0.618414588579515;-3.74490088276745;0.100895944440812;0.0552;0.9448
"0.048";-1.00825032821785;1.05493888203512;-0.642926202426741;-3.83872470908538;0.0946255125129273;0.0523;0.9477
"0.049";-1.04116258655874;1.07884560072826;-0.668165965523732;-3.93253244475134;0.0890636838660789;0.0495;0.9505
"0.05";-1.07407484489963;1.10275754035041;-0.692899004350457;-4.02881819308713;0.0810548776383823;0.0468;0.9532
"0.051";-1.10698710324052;1.12667436848293;-0.718920425950557;-4.1247124193221;0.0733328020201078;0.0441;0.9559
"0.052";-1.13989936158141;1.1505957802812;-0.743836689986772;-4.2218749198858;0.068030315448314;0.0407999999999999;0.9592
"0.053";-1.1728116199223;1.17452149567947;-0.769297645768136;-4.32000088872511;0.0622271980691404;0.0391;0.9609
"0.054";-1.20572387826318;1.19845125692834;-0.794114953004066;-4.4180602034245;0.0554663819350708;0.037;0.963
