"var";"moy";"sd";"median";"q025";"p975";"pv.inf0";"pv.sup0";"model"
"(Intercept)";-3.81435249431714;0.257434475748228;-3.80654271169869;-4.34373546537575;-3.34237739680467;0;1;"allW"
"ContinuousGrain";0.0647410965612103;0.0333874901428252;0.0660316217254691;-0.0054221548265616;0.125982829575227;0.9664;0.0336;"allW"
"LogExtent";0.531470882365241;0.0417928290009003;0.529963081284655;0.454889729124379;0.61735901534844;1;0;"allW"
"LogNtempUnits";-0.0667891874470646;0.0274023889781723;-0.0661530432403226;-0.121669075826086;-0.0146364459970625;0.004;0.996;"allW"
"ParamLE";1.24273825339297;0.0573120994553302;1.24315278124757;1.12812189635365;1.35395776441289;1;0;"allW"
"ParamTE";0.572331534618985;0.0872694108382301;0.576449317603513;0.392287180072254;0.732108842890136;1;0;"allW"
"PrAbabundance";0.914592186249541;0.0704602591944579;0.91332917579848;0.779627250043442;1.056088204781;1;0;"allW"
"QualityRAW";0.301533011872531;0.0475888006235199;0.301831106100846;0.209085600060852;0.393971008686465;1;0;"allW"
"QualityRESURVEYED";-0.502285504043577;0.100647475451148;-0.496811871981629;-0.70895825149594;-0.312567730826917;0;1;"allW"
"scale(GD)";0.146019002418489;0.0307691317729256;0.146716229235876;0.0835877128563411;0.203587969133689;1;0;"allW"
"scale(GD):ParamLE";-0.163037652920515;0.0424980808158551;-0.164005924683532;-0.243840062344912;-0.0761555565602715;0.000399999999999956;0.9996;"allW"
"scale(GD):ParamTE";-0.172744013184893;0.136018693196129;-0.172344607100906;-0.441500868632;0.0915997943080974;0.0958;0.9042;"allW"
"scale(vel_abs)";0.30757837528856;0.0232921296142062;0.308306259347991;0.259544342000008;0.351525105932249;1;0;"allW"
"scale(vel_abs):ParamLE";-0.405759654387059;0.0617901006206898;-0.40436249343274;-0.531889396028091;-0.289456987490009;0;1;"allW"
"scale(vel_abs):ParamTE";0.0845500585597208;0.111158474626826;0.0870449334402412;-0.147618877440463;0.298818945863424;0.7915;0.2085;"allW"
"scale(vel_abs):scale(GD)";-0.085760045816223;0.0192503241936948;-0.0863198843883892;-0.122152188739195;-0.0468170622535984;9.9999999999989e-05;0.9999;"allW"
"scale(vel_abs):scale(GD):ParamLE";-0.0415008299634926;0.0443677785885436;-0.0428194806193696;-0.124413356821258;0.0501677287738987;0.1626;0.8374;"allW"
"scale(vel_abs):scale(GD):ParamTE";-0.149296891601847;0.172247268325754;-0.0965130498146306;-0.600412105570579;0.0493139170281001;0.123;0.877;"allW"
