"r2m";"r2c";"moy_GD";"sd_GD";"moy_VC";"sd_VC";"singu";"nB"
0.41;0.41;0.00548495827856117;0.00706324522153265;1.29342000336388;1.32889182717386;TRUE;491
0.39;0.39;0.00561354864405967;0.00720339728593034;1.31796683394616;1.38254961129682;TRUE;3721
0.4;0.4;0.00548102413532331;0.00734422244695145;1.32852434990967;1.36799778570862;TRUE;11594
0.38;0.38;0.00531063800237621;0.00701704369802608;1.30624355105068;1.36989772435087;TRUE;5580
0.37;0.37;0.00517265810393843;0.00674761267283216;1.31366389018809;1.37429028350476;TRUE;1608
0.41;0.41;0.00553998672821276;0.0072231831291994;1.29871363025663;1.33612463683269;TRUE;1462
0.41;0.41;0.00563432164123284;0.00739293834599336;1.36022331110615;1.39870227712065;TRUE;7591
0.38;0.38;0.00532506583460293;0.00684317338018218;1.31518694291357;1.33597547312662;TRUE;11775
0.39;0.39;0.00554359694633476;0.00711958329347162;1.31302838260305;1.3780025755551;TRUE;9939
0.38;0.38;0.00557903953282985;0.00732394120331394;1.31534131841951;1.32522198687753;TRUE;4440
0.4;0.4;0.00542783234378885;0.00696324379286927;1.29806765574671;1.34480084953276;TRUE;7439
0.41;0.41;0.00536626580190251;0.00713445536071427;1.31858330901361;1.36043500587271;TRUE;6287
0.38;0.38;0.00544129186286114;0.00705572022405621;1.3103637455759;1.33691254818304;TRUE;7082
0.37;0.37;0.00536332619084619;0.00707025924250444;1.30510170431929;1.35618151842548;TRUE;11719
0.38;0.38;0.00551513672107754;0.00713851044590743;1.29660890217831;1.33496513126724;TRUE;3402
0.38;0.38;0.00541211671258064;0.00711134533671881;1.30937443635811;1.34995544256115;TRUE;930
0.41;0.41;0.0054570738234778;0.00714876913603631;1.32418138376809;1.3521092754152;TRUE;9752
0.37;0.37;0.00567234300299668;0.00743696794385239;1.34704453535988;1.37359852555189;TRUE;5645
0.36;0.36;0.00552581878323757;0.00728242893354984;1.34503523944258;1.39541115193847;TRUE;7519
0.4;0.4;0.00533329373349081;0.00703586643126795;1.33546770746391;1.37314915179398;TRUE;7560
