"r2m";"r2c";"moy_GD";"sd_GD";"moy_VC";"sd_VC";"singu";"nB"
"0.08";"0.08";"0.00661092935408533";"0.00796563466697808";"0.736496596347847";"0.827995894704563";TRUE;491
"0.07";"0.07";"0.00645700531106121";"0.00763089289530234";"0.79471379578134";"0.899117040536078";TRUE;3721
"0.1";"0.1";"0.00618552920933962";"0.00739455928036883";"0.76943534688756";"0.876567464799336";TRUE;11594
"0.1";"0.1";"0.00636599586274548";"0.00756382779522566";"0.720142137921053";"0.776283536386001";TRUE;5580
"0.09";"0.09";"0.00646296376765202";"0.00764235990055828";"0.753735150948804";"0.843184417571856";TRUE;1608
"0.09";"0.09";"0.00670563782417043";"0.00804807881584263";"0.730322875138278";"0.827643583960032";TRUE;1462
"0.08";"0.08";"0.00616206080165683";"0.00764412128145513";"0.776405143501914";"0.880124533739487";TRUE;7591
"0.08";"0.08";"0.00629521832036602";"0.00738058667074873";"0.727879617730144";"0.808583573583703";TRUE;11775
"0.07";"0.07";"0.00657574425426354";"0.00779673325048926";"0.763375466089474";"0.855314067823715";TRUE;9939
"0.08";"0.08";"0.00628042480654364";"0.00753720125800051";"0.769635987836364";"0.895064386650882";TRUE;4440
"0.08";"0.08";"0.00645517567816775";"0.0078325746493981";"0.763526017390909";"0.876808512218964";TRUE;7439
"0.09";"0.09";"0.00648266517473128";"0.0077654607785682";"0.789104083459809";"0.914194144050161";TRUE;6287
"0.1";"0.1";"0.00630766878744143";"0.00754958878020911";"0.769377291297129";"0.902242601523273";TRUE;7082
"0.07";"0.07";"0.00615205660343755";"0.00749626196912096";"0.712789750486603";"0.77193403752786";TRUE;11719
"0.07";"0.07";"0.00637173632242837";"0.00771795503141649";"0.761786624858852";"0.846952674744264";TRUE;3402
"0.17";"0.17";"0.00633920528423209";"0.00770704288731612";"0.773835995495215";"0.886387136032817";TRUE;930
"0.1";"0.1";"0.00620907204357412";"0.00715650623094054";"0.738216530456459";"0.82226529755677";TRUE;9752
"0.07";"0.07";"0.00619495633681922";"0.00743521629760053";"0.743610893942584";"0.824292864568731";TRUE;5645
"0.1";"0.1";"0.00629971130582102";"0.00737749579930137";"0.772773522934928";"0.855023287890832";TRUE;7519
"0.06";"0.06";"0.00636710203131458";"0.00757796273454913";"0.725161279879426";"0.809557523307894";TRUE;7560
"0.08";"0.08";"0.00642903372003285";"0.00778522937725972";"0.757050986829665";"0.858244310638789";TRUE;1646
"0.1";"0.1";"0.00630803888956314";"0.00765312953032242";"0.740964026255502";"0.839646763935036";TRUE;6919
"0.09";"0.09";"0.00621976738184344";"0.00758123578788445";"0.757511250669378";"0.839641012558907";TRUE;10214
"0.06";"0.06";"0.00628556497596828";"0.00759347189548823";"0.727074369408612";"0.809774191546455";TRUE;5787
"0.12";"0.12";"0.00619076791822125";"0.00745831600272992";"0.743099701667464";"0.835374200910773";TRUE;1362
"0.09";"0.09";"0.0062344823822657";"0.00757909773880607";"0.760902655872249";"0.861394125801875";TRUE;6941
"0.1";"0.1";"0.00641233156556812";"0.00796798852349488";"0.777215948609569";"0.900311303917663";TRUE;2333
"0.11";"0.11";"0.00623400010865618";"0.00771490817082641";"0.784103214578469";"0.880987752762321";TRUE;6101
"0.09";"0.09";"0.00633464152700772";"0.00769710590079623";"0.755632614094737";"0.858684772708405";TRUE;11129
"0.1";"0.1";"0.0061690019972382";"0.00729207768771958";"0.785486083294258";"0.902270735725307";TRUE;9820
"0.08";"0.08";"0.00643588368455089";"0.00752598734472176";"0.781726361344498";"0.904614487538908";TRUE;11314
"0.06";"0.06";"0.0063601859303039";"0.00734209432942279";"0.725807704133971";"0.798417349584973";TRUE;4762
"0.08";"0.08";"0.00660594571558782";"0.00782289965688063";"0.759481329188038";"0.877519399059043";TRUE;33
"0.12";"0.12";"0.00643390927923526";"0.00771216910303386";"0.76508519517799";"0.867428862770432";TRUE;1671
"0.12";"0.12";"0.00633085538971953";"0.00776720847620247";"0.751901263836842";"0.852261235711521";TRUE;946
"0.09";"0.09";"0.00623326899443815";"0.00743673684016358";"0.76197595252201";"0.862245596990848";TRUE;10564
"0.08";"0.08";"0.00608895352668425";"0.00717875114411303";"0.739610872421053";"0.802476160574216";TRUE;1117
"0.06";"0.06";"0.006410299624654";"0.00762319307544739";"0.766055353598565";"0.884086415981986";TRUE;6744
"0.06";"0.06";"0.00630962189108553";"0.00752552037448409";"0.77741175454689";"0.872965906789568";TRUE;3379
"0.09";"0.09";"0.00652761916532735";"0.00789825476744569";"0.74637879486555";"0.869261233486537";TRUE;6838
"0.11";"0.11";"0.00647868328690742";"0.00748058178462828";"0.768712291122966";"0.891418015072647";TRUE;5455
"0.11";"0.11";"0.00603737840630615";"0.00751451140827357";"0.748782021489474";"0.831191640754342";TRUE;11971
"0.14";"0.14";"0.00664710749694403";"0.00803975281373604";"0.755782255374641";"0.858196885465125";TRUE;347
"0.11";"0.11";"0.00631801995886497";"0.0076859418518404";"0.757920100088517";"0.839790763334986";TRUE;2090
"0.07";"0.07";"0.00647584704315347";"0.00760798831295535";"0.744910957644498";"0.836387283679354";TRUE;7502
"0.07";"0.07";"0.00654450051547806";"0.00782459305424241";"0.741942343054067";"0.829078964609557";TRUE;9633
"0.1";"0.1";"0.0063808733832551";"0.00763598097969187";"0.759435989204785";"0.859947392148761";TRUE;5481
"0.1";"0.1";"0.00624149531276";"0.00743871441154086";"0.747375745979426";"0.850201438453436";TRUE;729
"0.09";"0.09";"0.00614771171164175";"0.00741997355897371";"0.773540909699521";"0.868172731780894";TRUE;4808
"0.09";"0.09";"0.0062010062876512";"0.00750254874307472";"0.780229415746411";"0.890184152547183";TRUE;5493
"0.07";"0.07";"0.00602489908741553";"0.00728447336661028";"0.75404209977512";"0.871568901201514";TRUE;4953
"0.11";"0.11";"0.00616963920206304";"0.0072536603843903";"0.759782444985167";"0.892915393792934";TRUE;2257
"0.07";"0.07";"0.0062831049917754";"0.00742561780675061";"0.782221202788995";"0.894843359953504";TRUE;9264
"0.11";"0.11";"0.00651221794638056";"0.00766996897857543";"0.76346777414689";"0.859515464851013";TRUE;1687
"0.07";"0.07";"0.00634950694843406";"0.00756150943290624";"0.762404252589474";"0.850316623785385";TRUE;2575
"0.11";"0.11";"0.00660913384550424";"0.00790032463269244";"0.724486406570335";"0.796725170795825";TRUE;3006
"0.07";"0.07";"0.00645378960344027";"0.00765153591494195";"0.737538795055502";"0.820773026068678";TRUE;8046
"0.07";"0.07";"0.00649127796612824";"0.00808837971351696";"0.787983147582775";"0.881580164250935";TRUE;482
"0.07";"0.07";"0.0066164937569925";"0.00790932955783645";"0.767131920567943";"0.882616129081049";TRUE;7300
"0.09";"0.09";"0.00648038797859297";"0.00782869960207179";"0.794454203914354";"0.911064767479877";TRUE;8097
"0.09";"0.09";"0.00608157529994335";"0.00716407992447866";"0.766458741132536";"0.87488151743606";TRUE;1290
"0.07";"0.07";"0.00667970876049282";"0.00783161675679834";"0.735263699610526";"0.808149689130769";TRUE;3146
"0.07";"0.07";"0.00632654406996481";"0.00773890428320926";"0.750370555704785";"0.863154860077061";TRUE;1594
"0.11";"0.11";"0.00634770415867774";"0.00746942103407155";"0.767641473454067";"0.871649195694687";TRUE;10919
"0.1";"0.1";"0.00631394521695417";"0.00777891740609861";"0.743903577473206";"0.857664358776018";TRUE;11152
"0.09";"0.09";"0.00641011714089082";"0.00779799741263497";"0.74110299743445";"0.825364962742349";TRUE;6026
"0.07";"0.07";"0.00622775578135066";"0.00760912761361209";"0.750067280207177";"0.849808760359156";TRUE;1125
"0.07";"0.07";"0.00645307709564108";"0.00780444764783585";"0.752270386228708";"0.838133400315762";TRUE;8627
"0.08";"0.08";"0.00629885252167948";"0.00756233929918516";"0.74638964231244";"0.850114852440846";TRUE;5557
"0.12";"0.12";"0.00628508933926421";"0.00767872402056903";"0.744462568438278";"0.831929215068942";TRUE;2661
"0.11";"0.11";"0.00635225992377475";"0.00792329741437215";"0.757951862242584";"0.855753109950123";TRUE;1967
"0.09";"0.09";"0.00676573238120617";"0.00796888577787292";"0.794233912147847";"0.915764313052519";TRUE;6183
"0.11";"0.11";"0.00637833081476326";"0.00761574154990569";"0.753058401111483";"0.83799054508888";TRUE;4019
"0.08";"0.08";"0.00610647148657543";"0.00743281187631955";"0.732282682908612";"0.813171138790241";TRUE;7798
"0.09";"0.09";"0.00620610475239564";"0.00754198634187801";"0.761514072562679";"0.887170733448321";TRUE;10329
"0.1";"0.1";"0.00637428140050044";"0.00782432319781324";"0.747257856480383";"0.849375783656787";TRUE;10770
"0.09";"0.09";"0.00620871935432419";"0.00723087106942771";"0.732362652523923";"0.80403412488255";TRUE;9091
"0.06";"0.06";"0.00615100095543894";"0.00751437044536517";"0.733843469291388";"0.803132641592617";TRUE;11518
"0.12";"0.12";"0.00630122398785515";"0.00755096343598729";"0.779429528294258";"0.89408321143415";TRUE;2240
"0.09";"0.09";"0.00637171730563205";"0.00759702474839396";"0.759466716123445";"0.863834521239213";TRUE;6075
"0.11";"0.11";"0.00630199175993878";"0.00747703826546389";"0.730467712622967";"0.821076379185916";TRUE;1871
"0.09";"0.09";"0.00621962461660028";"0.00739191879818291";"0.760350052145455";"0.849206511429898";TRUE;10701
"0.09";"0.09";"0.00625304618852442";"0.00706257916621568";"0.727265851794737";"0.808860174936281";TRUE;602
"0.07";"0.07";"0.00621970044205711";"0.00731610596396598";"0.75517415882823";"0.858046016547554";TRUE;2794
"0.09";"0.09";"0.00643528741286281";"0.00774129924480887";"0.740940558355981";"0.83094514802487";TRUE;11956
"0.07";"0.07";"0.00623811953383874";"0.00751315968875138";"0.743440740399043";"0.848667443774233";TRUE;7074
"0.09";"0.09";"0.00612106718678085";"0.00735806792256569";"0.775955115554067";"0.869274098930609";TRUE;5497
"0.07";"0.07";"0.0063078955723112";"0.00751369807994366";"0.752551491156938";"0.842575844438756";TRUE;4859
"0.1";"0.1";"0.00611111161104942";"0.00686553035530308";"0.76882978162201";"0.862770786381527";TRUE;4288
"0.07";"0.07";"0.0062169290649569";"0.00754068837874733";"0.761859130533971";"0.842833266683531";TRUE;8724
"0.1";"0.1";"0.00635324320870636";"0.00745414082872521";"0.750024619821531";"0.8611530248826";TRUE;6719
"0.11";"0.11";"0.00600990596023033";"0.00734917676181063";"0.74183748870622";"0.843056706349153";TRUE;7005
"0.11";"0.11";"0.00631724184185646";"0.00733700009466492";"0.747369646968421";"0.846121189212777";TRUE;9047
"0.12";"0.12";"0.0061198288066951";"0.00717118361157284";"0.782372046163158";"0.853177269722431";TRUE;3071
"0.11";"0.11";"0.00618230948308696";"0.00729518726575633";"0.727335162930144";"0.804325178220341";TRUE;1248
"0.09";"0.09";"0.00654635894937101";"0.00781093242415408";"0.766285228099521";"0.894440775575568";TRUE;4272
"0.08";"0.08";"0.00662316472723754";"0.00783550486218977";"0.765978177073206";"0.861514788809788";TRUE;2142
"0.1";"0.1";"0.00645571356738297";"0.00777456862956192";"0.74435819807177";"0.836722593711179";TRUE;7350
"0.09";"0.09";"0.0063245838697509";"0.00772833704016407";"0.770832610063158";"0.874167430631056";TRUE;6969
"0.12";"0.12";"0.00624549376757514";"0.00754003646623134";"0.742401013155024";"0.818745123722323";TRUE;3299
"0.08";"0.08";"0.00631871891409421";"0.0074391252531755";"0.725274132873684";"0.824688405488047";TRUE;9724
"0.07";"0.07";"0.00632273518406285";"0.00737143929578222";"0.747092923743541";"0.839291983245637";TRUE;5001
"0.1";"0.1";"0.00608089316788773";"0.00721367780302726";"0.747220220532536";"0.824021328319186";TRUE;11344
"0.11";"0.11";"0.00613917571776758";"0.00710776694905069";"0.755764499194258";"0.836259473107204";TRUE;9648
"0.11";"0.11";"0.00604010012563111";"0.00727493473273809";"0.728605736243541";"0.811820105638208";TRUE;4745
"0.07";"0.07";"0.00626020152380895";"0.00732586261480541";"0.764634714170335";"0.851235005261992";TRUE;10717
"0.1";"0.1";"0.0061904687078122";"0.00741712972469459";"0.761443230593301";"0.866002436057517";TRUE;7375
"0.1";"0.1";"0.006477696414557";"0.00779660284120362";"0.76880813926555";"0.881378034130396";TRUE;4465
"0.09";"0.09";"0.00607738635682406";"0.00725875898347984";"0.762759772056459";"0.843954185728936";TRUE;10102
"0.12";"0.12";"0.00616506418531476";"0.0072549455450794";"0.749536284139713";"0.844010531849183";TRUE;8490
"0.09";"0.09";"0.00610421048914656";"0.00742827805813977";"0.747807618332536";"0.837512075972302";TRUE;4553
"0.08";"0.08";"0.00627610599758884";"0.00747575194808298";"0.7420226000689";"0.836554490194444";TRUE;10312
"0.09";"0.09";"0.00653325548923415";"0.00814183362437615";"0.744863737126794";"0.82976431995806";TRUE;5470
"0.08";"0.08";"0.00636429336381133";"0.00775762560008649";"0.755488292533014";"0.851148666388177";TRUE;11801
"0.08";"0.08";"0.00625976780134593";"0.00759319541476789";"0.750852818632057";"0.843721952372779";TRUE;9600
"0.09";"0.09";"0.00623328448711166";"0.00740435936758537";"0.762640564309569";"0.856924897228966";TRUE;2660
"0.08";"0.08";"0.00613670499259184";"0.00728967026708619";"0.757649806177033";"0.857303729925984";TRUE;6715
"0.1";"0.1";"0.00626160101583111";"0.00757421285326886";"0.745374747355024";"0.815485403326567";TRUE;1075
"0.09";"0.09";"0.00596421327611955";"0.00713804557620745";"0.784930821247368";"0.895419137093686";TRUE;10611
"0.07";"0.07";"0.00629773789891099";"0.00742564268843485";"0.770531520247368";"0.871249422518109";TRUE;10700
"0.09";"0.09";"0.00634556836570453";"0.00744086917207005";"0.76277760306555";"0.859911313785215";TRUE;790
"0.13";"0.13";"0.00630008964529039";"0.00743570657430689";"0.75112016074067";"0.828254481258953";TRUE;11918
"0.09";"0.09";"0.0065634572069099";"0.0077212062819741";"0.784734678044498";"0.890952499187883";TRUE;865
"0.09";"0.09";"0.00664029327555137";"0.00806023902744292";"0.740929054245455";"0.833713875414169";TRUE;11149
"0.07";"0.07";"0.00636609032145622";"0.00770471586754027";"0.773590543873684";"0.884349960896164";TRUE;5894
"0.1";"0.1";"0.00627409131892937";"0.00751963411651453";"0.767513877003349";"0.855529864357939";TRUE;4136
"0.09";"0.09";"0.00635306270471786";"0.00747900895010903";"0.753927231814354";"0.840986004040663";TRUE;774
"0.13";"0.13";"0.00638439001603195";"0.00744702591397974";"0.778011212196651";"0.895742485415099";TRUE;7748
"0.09";"0.09";"0.00627604406755187";"0.00754576220230356";"0.70530794386555";"0.779596352795928";TRUE;6706
"0.08";"0.08";"0.00651923832531602";"0.00765185320737111";"0.774534040807656";"0.890538521892969";TRUE;5805
"0.11";"0.11";"0.00622157312387203";"0.00747233899787544";"0.775588713953589";"0.866178660896676";TRUE;8343
"0.07";"0.07";"0.00627236532242643";"0.00741205493341793";"0.761741958738756";"0.866339598685187";TRUE;11409
"0.08";"0.08";"0.00611013755496044";"0.00712570514272566";"0.745842260590431";"0.829077878380765";TRUE;1817
"0.08";"0.08";"0.00643290511601869";"0.00797496857573485";"0.743535710129665";"0.830653645172397";TRUE;8321
"0.1";"0.1";"0.00632516065836842";"0.00771923733531669";"0.767702619988517";"0.854654234000493";TRUE;8260
"0.07";"0.07";"0.00638992145997508";"0.00762693773034146";"0.762053334562679";"0.845330417919692";TRUE;11742
"0.07";"0.07";"0.00632246784560232";"0.00759033595559952";"0.777968846692823";"0.870398634236449";TRUE;5103
"0.07";"0.07";"0.00635168562206532";"0.00779809424315903";"0.757859974800957";"0.863025932050619";TRUE;4732
"0.08";"0.08";"0.00611300230832393";"0.00719420497153122";"0.767540529281818";"0.862414127471955";TRUE;3544
"0.08";"0.08";"0.00634865887652179";"0.00752043945163386";"0.758635190884689";"0.86384449002876";TRUE;1133
"0.08";"0.08";"0.00651359112014966";"0.00760725332081534";"0.771888097953588";"0.886565142125644";TRUE;4198
"0.11";"0.11";"0.00620138965015667";"0.00759761268675114";"0.755504930171292";"0.854746995123243";TRUE;3860
"0.08";"0.08";"0.00639883289678862";"0.00758466311152873";"0.769971515785167";"0.887385831253448";TRUE;1959
"0.08";"0.08";"0.00631347385204677";"0.00755609942260414";"0.760979999142584";"0.863670375872749";TRUE;9182
"0.11";"0.11";"0.00673203875794866";"0.00842542375585242";"0.777573894058373";"0.88210903603815";TRUE;2353
"0.1";"0.1";"0.00636436406050857";"0.0074814528826545";"0.751154955917703";"0.845628680783117";TRUE;10652
"0.07";"0.07";"0.00624693255068182";"0.00772727589090535";"0.723105301406699";"0.814759274267891";TRUE;6428
"0.09";"0.09";"0.00622227919266456";"0.00751742203518747";"0.753342397011483";"0.841044554702267";TRUE;9777
"0.08";"0.08";"0.00637611237234854";"0.00802359918679547";"0.726996892827751";"0.787540339782358";TRUE;11148
"0.09";"0.09";"0.00611380829626421";"0.00729804752872646";"0.769553545276077";"0.876598239191861";TRUE;763
"0.08";"0.08";"0.00648845865950314";"0.00771888188295898";"0.770317418595215";"0.873176991963282";TRUE;872
"0.09";"0.09";"0.00609942011133843";"0.00711266101675965";"0.776537303815789";"0.89045513673352";TRUE;8860
"0.08";"0.08";"0.00638780858359048";"0.00755712877543288";"0.758803107608134";"0.859762947759539";TRUE;11182
"0.08";"0.08";"0.0063679993356847";"0.00798001476364719";"0.741700104143062";"0.832130409783243";TRUE;10715
"0.07";"0.07";"0.00633003824928734";"0.00733788663944379";"0.758916042204785";"0.870429551188537";TRUE;3189
"0.08";"0.08";"0.00631494884045853";"0.00765393241022106";"0.758133271455981";"0.852001400370205";TRUE;963
"0.08";"0.08";"0.00632108197911351";"0.00780451164333728";"0.783508574874163";"0.875301959754892";TRUE;6427
"0.09";"0.09";"0.00629423040123296";"0.00734244523267293";"0.749344829339713";"0.842091258761928";TRUE;2108
"0.09";"0.09";"0.00621279141515298";"0.00731450901281237";"0.757041455366986";"0.868210872485294";TRUE;7886
"0.1";"0.1";"0.00673869722540299";"0.00788299179468193";"0.765580754552153";"0.865984577417481";TRUE;8108
"0.08";"0.08";"0.00614995812163413";"0.00733701118467069";"0.759623219410526";"0.848695712167142";TRUE;6570
"0.06";"0.06";"0.00637022967289116";"0.00763465211309508";"0.753598404917225";"0.843839023617208";TRUE;7899
"0.09";"0.09";"0.00662247198181042";"0.00802952192599375";"0.741101742765072";"0.848130868366175";TRUE;1354
"0.07";"0.07";"0.00656035395456413";"0.00798310089858545";"0.710254396809569";"0.786874464215061";TRUE;4672
