"r2m";"r2c";"moy_GD";"sd_GD";"moy_VC";"sd_VC";"singu";"nB"
"0.5";"0.5";"0.00348800273760059";"0.00394970247208831";"0.972508516471186";"1.13644215945581";TRUE;491
"0.46";"0.46";"0.00338120117419425";"0.00346736258595105";"0.916316569481356";"1.10819711964094";TRUE;3721
"0.36";"0.36";"0.00379701101697178";"0.00395907236839688";"0.984315709711864";"1.15978483980658";TRUE;11594
"0.36";"0.36";"0.00361198231893087";"0.0041471008919677";"1.03654877498983";"1.22609324330401";TRUE;5580
"0.37";"0.37";"0.00344197879304113";"0.00383602643255795";"0.980344078732203";"1.24179413932246";TRUE;1608
"0.34";"0.34";"0.00326913353479836";"0.0039072726353786";"0.897789481183051";"1.08187039880892";TRUE;1462
"0.37";"0.37";"0.00305810808667771";"0.00387099911850972";"0.940846675461017";"1.14651908344428";TRUE;7591
"0.42";"0.42";"0.00361014369288126";"0.00389809951305336";"1.10012451177288";"1.22732636756216";TRUE;11775
"0.28";"0.28";"0.0034030202537072";"0.00389600552389823";"1.11470331084746";"1.30287081253168";TRUE;9939
"0.34";"0.34";"0.00328836465192694";"0.00393367372054263";"1.03683127511525";"1.23955954488055";TRUE;4440
"0.39";"0.39";"0.00316035446318507";"0.003982294715565";"0.923229467515254";"1.06020465367132";TRUE;7439
"0.27";"0.27";"0.00351146933919866";"0.00418603185293046";"1.00677806467797";"1.13764223269938";TRUE;6287
"0.4";"0.4";"0.00353449607986566";"0.00445611277589107";"0.889997879471186";"1.08191584803486";TRUE;7082
"0.41";"0.41";"0.00369303269401925";"0.0039130705956184";"1.02011786391525";"1.18845373008209";TRUE;11719
"0.44";"0.44";"0.00313767043794362";"0.0039138103913896";"0.988034765732203";"1.2194481414373";FALSE;3402
"0.29";"0.29";"0.00369888474199088";"0.00445242275461314";"0.962321951";"1.09538151274904";TRUE;930
"0.5";"0.5";"0.00342221901196004";"0.00397460504724886";"0.998701130657627";"1.27511253696995";TRUE;9752
"0.33";"0.33";"0.00359369993326651";"0.00404185703776245";"1.08892197359661";"1.26899922793777";TRUE;5645
"0.34";"0.34";"0.00325783339343516";"0.00419273599499666";"1.13414353082373";"1.39950948887841";TRUE;7519
"0.33";"0.33";"0.00358987892041298";"0.0037983025413601";"0.983519294264407";"1.09323855656356";TRUE;7560
"0.44";"0.44";"0.00332328535084396";"0.00371705527162936";"1.06516154269492";"1.27543620848711";TRUE;1646
"0.29";"0.29";"0.00388002428788735";"0.00468951748402204";"1.08799996596949";"1.32700001912235";TRUE;6919
"0.32";"0.32";"0.00335177502924381";"0.0038903831357936";"0.960740823027119";"1.0945580039596";TRUE;10214
"0.3";"0.3";"0.00351252894119244";"0.00414562527458243";"0.995053003050847";"1.1232006570499";TRUE;5787
"0.38";"0.38";"0.00328714768703705";"0.00357918564515857";"1.02898414949153";"1.20016956898735";TRUE;1362
"0.41";"0.41";"0.00393872193253596";"0.00442044899358212";"1.03141422383051";"1.24557905173577";TRUE;6941
"0.46";"0.46";"0.00335517265084637";"0.00391513759055733";"0.91449608081017";"1.15058097279797";TRUE;2333
"0.41";"0.41";"0.00368786776380997";"0.00412234947868287";"0.953740695230509";"1.11323716212697";TRUE;6101
"0.3";"0.3";"0.00385525883315462";"0.00425669310257943";"1.01999370000678";"1.15477683306339";TRUE;11129
"0.33";"0.33";"0.00366281311025138";"0.00400150628816993";"1.01807856791186";"1.19384699990064";TRUE;9820
"0.37";"0.37";"0.00324085737613394";"0.00409541316795043";"0.995976614352542";"1.16256838853146";TRUE;11314
"0.35";"0.35";"0.00346236256632426";"0.00336802194333561";"1.0809697482678";"1.25208247666467";TRUE;4762
"0.35";"0.35";"0.00325139050129126";"0.0040163575593149";"1.01800377911525";"1.14193082743729";TRUE;33
"0.37";"0.37";"0.00332711340905994";"0.00389939506856599";"1.01752209273559";"1.22204317105019";TRUE;1671
"0.31";"0.31";"0.00371610221143815";"0.00411724662227649";"0.909718999118644";"1.06004843854179";TRUE;946
"0.29";"0.29";"0.0038176565481589";"0.00403713042533212";"1.02943140681017";"1.18413328639363";TRUE;10564
"0.34";"0.34";"0.00320490403664163";"0.00387540262352634";"0.869607614983051";"1.00659497961118";TRUE;1117
"0.32";"0.32";"0.00379695054612378";"0.00440029480772838";"0.989842469308475";"1.16200124530678";TRUE;6744
"0.34";"0.34";"0.00369789637795409";"0.00440934801597524";"0.947742195281356";"1.07782551362027";TRUE;3379
"0.3";"0.3";"0.00354582036688916";"0.00388099588367817";"1.02201289457627";"1.16286968363707";TRUE;6838
"0.37";"0.37";"0.00359595704953354";"0.00450130546093192";"1.08653110351186";"1.33771082755755";TRUE;5455
"0.35";"0.35";"0.00381365268978995";"0.00434800381368279";"0.952568691983051";"1.13555570073039";TRUE;11971
"0.26";"0.26";"0.00330622242337605";"0.00373236355821048";"0.886590169328814";"1.0872882146447";TRUE;347
"0.27";"0.27";"0.00347966104847598";"0.00380494077333304";"0.989897336725424";"1.17646129457835";TRUE;2090
"0.31";"0.31";"0.00389362444647332";"0.00445381304382547";"1.04203355278305";"1.22240307006198";TRUE;7502
"0.32";"0.32";"0.00359610303588767";"0.0040609508893517";"0.991482891077966";"1.13522354201802";TRUE;9633
"0.4";"0.4";"0.00338712435282222";"0.00356953427419361";"0.936311527505085";"1.13495471073007";TRUE;5481
"0.43";"0.43";"0.00338427379689935";"0.00407812451034853";"0.904242105538983";"1.13526138263374";TRUE;729
"0.34";"0.34";"0.00289466154643295";"0.00341144462620854";"0.99156207939661";"1.18464584455744";TRUE;4808
"0.39";"0.39";"0.0034739613455569";"0.00371493229355529";"1.03528996833898";"1.1163398249387";TRUE;5493
"0.39";"0.39";"0.00378087364646765";"0.00470841227608698";"1.12293952757627";"1.240756106989";TRUE;4953
"0.34";"0.34";"0.00318932092498074";"0.00334842889525181";"1.00357136360339";"1.19831386809172";TRUE;2257
"0.39";"0.39";"0.00354793317985318";"0.00413935521871153";"0.981124358908475";"1.12815628909678";TRUE;9264
"0.26";"0.26";"0.00332209993162244";"0.00404186088134543";"1.00888241627797";"1.20209420175005";TRUE;1687
"0.42";"0.42";"0.00390896216190025";"0.00470009010183659";"0.914632521972881";"1.05060700911898";TRUE;2575
"0.39";"0.39";"0.00403062175535664";"0.00436564696056522";"1.05213550827797";"1.24285370785396";TRUE;3006
"0.3";"0.3";"0.00362387091109176";"0.00440151237237752";"0.939632976345763";"1.04672884549043";TRUE;8046
"0.36";"0.36";"0.00302730181172851";"0.00334990444245358";"0.871014086379661";"1.04761921953679";TRUE;482
"0.4";"0.4";"0.00359459685320163";"0.00442502500255126";"0.997242344979661";"1.17351161191423";TRUE;7300
"0.3";"0.3";"0.00305861233466603";"0.00319711138418693";"1.08165310735254";"1.26692626600053";TRUE;8097
"0.34";"0.34";"0.00340449546881682";"0.00389973743522751";"0.980205566986441";"1.13186761792615";TRUE;1290
"0.33";"0.33";"0.0035253827019149";"0.00438879998417991";"0.972569627284746";"1.1512900010877";TRUE;3146
"0.36";"0.36";"0.00376453863681927";"0.00405906901765405";"0.959809953538983";"1.10011321017884";TRUE;1594
"0.35";"0.35";"0.00312687320788994";"0.00400970779469465";"0.930601365752542";"1.11549258268557";TRUE;10919
"0.29";"0.29";"0.00371450560073119";"0.00462323270770201";"1.01373564382373";"1.17842086546636";TRUE;11152
"0.31";"0.31";"0.00313427300814129";"0.00370148405224956";"0.887644894949153";"0.98443438427674";TRUE;6026
"0.36";"0.36";"0.00337047661519355";"0.00395491926317177";"0.93936146819322";"1.13186173491064";TRUE;1125
"0.29";"0.29";"0.00375647400469052";"0.00459098107727144";"0.956238020684746";"1.08495858206769";TRUE;8627
"0.36";"0.36";"0.00315312958240983";"0.00359679327051593";"1.05316120407119";"1.24424137855894";TRUE;5557
"0.37";"0.37";"0.00338867018539124";"0.0038538215471796";"1.0574212907661";"1.20514705815283";TRUE;2661
"0.37";"0.37";"0.0033848200657569";"0.00374208768300351";"0.955945102284746";"1.18857293562633";TRUE;1967
"0.36";"0.36";"0.00381786064740948";"0.00451931508272461";"1.19316636573559";"1.38034616468598";TRUE;6183
"0.33";"0.33";"0.00342565886393348";"0.00410451804772414";"0.988540688613559";"1.10591951148938";TRUE;4019
"0.27";"0.27";"0.00352850933942563";"0.00427513246868126";"1.15907409413559";"1.27137020463047";TRUE;7798
"0.25";"0.25";"0.00343251754321163";"0.00372956727926381";"1.02013374669831";"1.15599463169685";TRUE;10329
"0.45";"0.45";"0.00344165469827264";"0.00380062906463544";"0.897689821355932";"1.07090690216832";TRUE;10770
"0.38";"0.38";"0.00383075419617789";"0.0043557933594877";"1.02001422204407";"1.16798399077171";TRUE;9091
"0.33";"0.33";"0.00384107277357414";"0.00440226380060895";"0.968379791457627";"1.10467114478503";TRUE;11518
"0.34";"0.34";"0.00359654324239774";"0.00434038451596948";"0.996613773745763";"1.20113484671285";TRUE;2240
"0.24";"0.24";"0.00402601606224595";"0.00435376363951797";"1.07985701191525";"1.21694266258281";TRUE;6075
"0.32";"0.32";"0.00336238480956444";"0.00375970470466846";"1.12723309079322";"1.2472453132541";TRUE;1871
"0.35";"0.35";"0.00331952262278635";"0.00389797827718819";"1.00939394915254";"1.25688606218528";TRUE;10701
"0.35";"0.35";"0.00348490126779768";"0.00382347512687455";"0.908621802877966";"1.0791475329902";TRUE;602
"0.38";"0.38";"0.0034204199896985";"0.00427309414832469";"0.959726543667797";"0.97154266941434";TRUE;2794
"0.52";"0.52";"0.0035363704347721";"0.00408524180268971";"0.993422060315254";"1.11211682152511";TRUE;11956
"0.23";"0.23";"0.00359810026903837";"0.00407723176968296";"1.02426510964068";"1.17399365287635";TRUE;7074
"0.29";"0.29";"0.00349657647934541";"0.00398514462828544";"1.05241332387797";"1.26214461427222";TRUE;5497
