"vel_abs";"moy";"sd";"median";"q025";"p975";"pv.inf0";"pv.sup0"
"0.1";0.190265055504939;0.0458449347921024;0.192618894204825;0.0953790749010158;0.273317032925831;0.9997;0.000299999999999967
"0.2";0.185450970472584;0.0445436743834879;0.187686155095809;0.0933056697204028;0.266472302916747;0.9997;0.000299999999999967
"0.3";0.18063688544023;0.0432518025667564;0.182824149773964;0.0910078939789216;0.258926120340896;0.9997;0.000299999999999967
"0.4";0.175822800407875;0.041970186313222;0.17790529287928;0.0888546843329371;0.251974389407457;0.9997;0.000299999999999967
"0.5";0.17100871537552;0.0406997944621452;0.172844837105003;0.0867496691127297;0.245107239153393;0.9997;0.000299999999999967
"0.6";0.166194630343165;0.0394417116205239;0.167974984686195;0.0847521856695975;0.238198404049664;0.9997;0.000299999999999967
"0.7";0.16138054531081;0.0381971540569934;0.16312451060392;0.0826508522889253;0.23104630865667;0.9997;0.000299999999999967
"0.8";0.156566460278455;0.0369674878339361;0.157947111797495;0.0802297955575578;0.22424051518315;0.9997;0.000299999999999967
"0.9";0.151752375246101;0.0357542494209031;0.153061137544185;0.0785124897717066;0.217354480072597;0.9998;0.000199999999999978
"1";0.146938290213746;0.0345591690113274;0.148128525469051;0.0763784994133531;0.210510895626679;0.9999;9.9999999999989e-05
"1.1";0.142124205181391;0.0333841967112621;0.143241261629395;0.0742864159988822;0.203761250827968;0.9999;9.9999999999989e-05
"1.2";0.137310120149036;0.032231531666373;0.138299820826014;0.0718659379396768;0.197345011064984;0.9999;9.9999999999989e-05
"1.3";0.132496035116681;0.031103654017912;0.133444261147528;0.0693597208569886;0.190789888509568;1;0
"1.4";0.127681950084326;0.0300033592981344;0.128585161819179;0.0668420550377393;0.183893080989184;1;0
"1.5";0.122867865051972;0.0289337944501121;0.123625542918062;0.0640249737644152;0.177058449262429;1;0
"1.6";0.118053780019617;0.0278984940380504;0.118728996474222;0.0610419256838183;0.170505205629964;1;0
"1.7";0.113239694987262;0.0269014143513373;0.113830764224298;0.0583800954158;0.164279124760522;1;0
"1.8";0.108425609954907;0.0259469619573265;0.109006123583873;0.055691053818011;0.157860019347592;1;0
"1.9";0.103611524922552;0.0250400118156716;0.104162028538121;0.0528227477821189;0.151479436126088;1;0
"2";0.0987974398901975;0.0241859083940298;0.0994472696703532;0.0500471471512629;0.145231331921022;1;0
"2.1";0.0939833548578427;0.0233904415127471;0.0946457704440069;0.0469352030897567;0.138800527061421;1;0
"2.2";0.0891692698254879;0.022659787282309;0.0897886018605825;0.0438660905662139;0.132782197226141;1;0
"2.3";0.084355184793133;0.0220004041189963;0.0848046850367991;0.0398506781406449;0.126681383158288;1;0
"2.4";0.0795410997607782;0.021418875304745;0.0799375361897769;0.0362993947420947;0.120869889484757;1;0
"2.5";0.0747270147284234;0.0209216938473607;0.0750301256643185;0.0323716259138654;0.114728233641622;0.9998;0.000199999999999978
"2.6";0.0699129296960686;0.0205149931456623;0.0703462581988545;0.0280295399352061;0.10884516235913;0.9996;0.000399999999999956
"2.7";0.0650988446637137;0.0202042379290055;0.0655585762078244;0.0238152386048846;0.103063613197723;0.9988;0.00119999999999998
"2.8";0.0602847596313589;0.0199939023959448;0.0607361998569604;0.0192330137903172;0.0980807540049189;0.9979;0.00209999999999999
"2.9";0.0554706745990041;0.0198871730506544;0.0559761776471042;0.0140827765954006;0.0925602005898097;0.995;0.005
"3";0.0506565895666492;0.0198857181684795;0.051198890727718;0.00930604382380563;0.0874536108209723;0.9905;0.00949999999999995
"3.1";0.0458425045342944;0.0199895607357221;0.0464554059582162;0.00409760678558119;0.0829850223326635;0.9825;0.0175
"3.2";0.0410284195019396;0.0201970766681581;0.0416320150601989;-0.00138696759197986;0.0785402328867037;0.9718;0.0282
"3.3";0.0362143344695848;0.0205051186212907;0.0370113868796422;-0.00707536843417862;0.0741110323773839;0.9537;0.0463
"3.4";0.03140024943723;0.0209092441185318;0.0322559598299181;-0.0125328549010539;0.0701015681202695;0.9286;0.0714
"3.5";0.0265861644048751;0.0214040114404968;0.0274641738295363;-0.0182361303863767;0.0663331541824511;0.8904;0.1096
"3.6";0.0217720793725203;0.0219833013463149;0.0226595622167466;-0.024079887288894;0.0627216043290917;0.8401;0.1599
"3.7";0.0169579943401655;0.0226406269043565;0.0177428193801567;-0.029923478437248;0.0591194806855988;0.7797;0.2203
