"vel_abs";"moy";"sd";"median";"q025";"p975";"pv.inf0";"pv.sup0"
"0.1";0.0751112998759788;0.101884392577767;0.0696680548537512;-0.113330013807588;0.288546725211429;0.7697;0.2303
"0.2";0.0686290752327239;0.0983307017707241;0.0639075099950122;-0.114246038131015;0.273250524530468;0.7571;0.2429
"0.3";0.062146850589469;0.0949902355087864;0.0579466229380274;-0.114899010805343;0.257527968239865;0.7412;0.2588
"0.4";0.055664625946214;0.0918862516637571;0.051882663122872;-0.115515375558351;0.244689959532478;0.7231;0.2769
"0.5";0.0491824013029591;0.0890434844282552;0.0457322476823766;-0.117001466971023;0.23270501391444;0.7026;0.2974
"0.6";0.0427001766597042;0.0864876954539981;0.0397626964222992;-0.119341631888807;0.220698704343099;0.6822;0.3178
"0.7";0.0362179520164493;0.0842450074619921;0.0334538943560498;-0.122119521892097;0.209003550357893;0.6569;0.3431
"0.8";0.0297357273731944;0.0823410078339322;0.0273502023998515;-0.125464349603287;0.198092674592704;0.6311;0.3689
"0.9";0.0232535027299394;0.0807996431393929;0.0209895869932966;-0.129910300329804;0.18737815745693;0.6037;0.3963
"1";0.0167712780866845;0.0796419711164145;0.0147791147153037;-0.134965887659403;0.17814270046727;0.575;0.425
"1.1";0.0102890534434296;0.0788848861739139;0.00864054421875894;-0.141241605493095;0.170250047961301;0.5432;0.4568
"1.2";0.00380682880017467;0.0785399735265036;0.00220334001050112;-0.147969249325792;0.162258159949205;0.5117;0.4883
"1.3";-0.00267539584308026;0.0786126585730658;-0.00353776432115159;-0.155424613093165;0.155122722266755;0.4801;0.5199
"1.4";-0.00915762048633517;0.0791017901555706;-0.00914769349873006;-0.166477157344377;0.147761356353001;0.4561;0.5439
"1.5";-0.0156398451295901;0.0799997299696407;-0.0146623390779344;-0.176957976922679;0.141774031056701;0.4281;0.5719
"1.6";-0.022122069772845;0.0812929323872865;-0.0201686379992232;-0.188079373774097;0.135267265011578;0.3991;0.6009
"1.7";-0.0286042944160999;0.0829629157427668;-0.0254199842177074;-0.202048340070718;0.129951528823363;0.3701;0.6299
"1.8";-0.0350865190593549;0.0849874719736262;-0.0305746560237836;-0.217431763064037;0.123812642767905;0.3456;0.6544
"1.9";-0.0415687437026098;0.0873419479282628;-0.0357094230948877;-0.235545265394744;0.117827609206187;0.3215;0.6785
"2";-0.0480509683458647;0.0900004545257846;-0.0405973563339092;-0.252620763804078;0.112173426824501;0.2993;0.7007
"2.1";-0.0545331929891196;0.0929369045820942;-0.0454669401047353;-0.273004190093903;0.106009525052773;0.277;0.723
"2.2";-0.0610154176323745;0.0961258296362831;-0.0501757253607959;-0.292918114008348;0.101062551161589;0.2554;0.7446
"2.3";-0.0674976422756295;0.0995429680325795;-0.0549261017092227;-0.311626704845397;0.0958702949276857;0.236;0.764
"2.4";-0.0739798669188844;0.103165645045798;-0.0596743249163411;-0.332143101624267;0.0914346631388046;0.2171;0.7829
"2.5";-0.0804620915621393;0.106972980804524;-0.0643173277696718;-0.352794477818226;0.0876026861468534;0.1983;0.8017
"2.6";-0.0869443162053942;0.110945966119564;-0.0689646195371459;-0.373394122878872;0.0833608537283689;0.1802;0.8198
"2.7";-0.0934265408486492;0.115067443900135;-0.0737054776235601;-0.39383919593351;0.0789215770538407;0.1629;0.8371
"2.8";-0.0999087654919041;0.119322027994529;-0.0777647922448008;-0.41311851724266;0.0749871793938647;0.1475;0.8525
"2.9";-0.106390990135159;0.123695984394209;-0.0822764463399563;-0.433817373070634;0.0710778722941427;0.1341;0.8659
"3";-0.112873214778414;0.12817709318473;-0.0866600209387471;-0.456382891015531;0.0678064259223687;0.1231;0.8769
"3.1";-0.119355439421669;0.132754504069844;-0.0914298340869166;-0.477213137387664;0.0653463074695046;0.1132;0.8868
"3.2";-0.125837664064924;0.137418593923394;-0.0959495954499549;-0.49784831487514;0.0615150299945321;0.1046;0.8954
"3.3";-0.132319888708179;0.142160831569191;-0.100241767916748;-0.518612080803586;0.0582524997338238;0.0953000000000001;0.9047
"3.4";-0.138802113351434;0.146973652674601;-0.104241202896078;-0.539124635082561;0.056801672778875;0.0874;0.9126
"3.5";-0.145284337994689;0.15185034606511;-0.108461731016593;-0.560926440504085;0.0543987942981549;0.0809;0.9191
"3.6";-0.151766562637943;0.156784951737027;-0.112992194820387;-0.58395373564532;0.0533924523655117;0.0750999999999999;0.9249
"3.7";-0.158248787281198;0.161772170207917;-0.117214829704505;-0.606267943613927;0.0501233013806756;0.0697;0.9303
"3.8";-0.164731011924453;0.16680728247857;-0.121886653445549;-0.628984534378073;0.0486066128863856;0.0653;0.9347
"3.9";-0.171213236567708;0.171886079696701;-0.126081006258874;-0.648781459423939;0.0461326629994978;0.0609;0.9391
"4";-0.177695461210963;0.177004801546808;-0.130763390836668;-0.668786091569204;0.0446887894664771;0.0569;0.9431
"4.1";-0.184177685854218;0.182160082398033;-0.135609481126507;-0.691618851005408;0.0425673735294073;0.0542;0.9458
"4.2";-0.190659910497473;0.187348904291967;-0.140050327845357;-0.714510940733148;0.0407086182894323;0.0518;0.9482
"4.3";-0.197142135140728;0.192568555925031;-0.144663188807792;-0.73616215354597;0.0390285310320236;0.0495;0.9505
"4.4";-0.203624359783983;0.197816596862376;-0.149342721257344;-0.759587004710311;0.0377179327671114;0.0479000000000001;0.9521
"4.5";-0.210106584427238;0.203090826304098;-0.154085826663202;-0.780148040153169;0.0366020721004092;0.0466;0.9534
"4.6";-0.216588809070493;0.208389255805234;-0.158756133833559;-0.802426448713717;0.0360139629268872;0.0458;0.9542
"4.7";-0.223071033713748;0.213710085425902;-0.163775400624138;-0.825125821385365;0.0339480268555938;0.045;0.955
"4.8";-0.229553258357002;0.219051682855765;-0.168490147682731;-0.846173824176691;0.0328023998351301;0.0436;0.9564
"4.9";-0.236035483000257;0.224412565117571;-0.173134850238366;-0.868861757068061;0.0333886312652737;0.0424;0.9576
"5";-0.242517707643512;0.229791382507835;-0.178059765586198;-0.889587487104105;0.03196561465156;0.0415;0.9585
"5.1";-0.248999932286767;0.235186904479363;-0.183083369434654;-0.910444958784237;0.0304450077202685;0.0402;0.9598
"5.2";-0.255482156930022;0.240598007210819;-0.188081333619942;-0.932495476255823;0.0293006075826786;0.0397;0.9603
"5.3";-0.261964381573277;0.246023662643573;-0.192903891530966;-0.955783012613803;0.028482803155186;0.0387999999999999;0.9612
"5.4";-0.268446606216532;0.251462928796291;-0.197662228778265;-0.976596511198995;0.0280297856077053;0.0377;0.9623
"5.5";-0.274928830859787;0.25691494119371;-0.202932972502137;-0.998645907349973;0.02843356912738;0.0376;0.9624
"5.6";-0.281411055503042;0.262378905268384;-0.208041646518063;-1.0210383787052;0.028792067986872;0.037;0.963
