"GD";"moy";"sd";"median";"q025";"p975";"pv.inf0";"pv.sup0"
"0";0.409434923391759;0.0291192202030863;0.409700564657495;0.350937742845077;0.465341662696877;1;0
"0.001";0.3988473390741;0.0276616059535432;0.399146639368268;0.343459197323359;0.452134305076404;1;0
"0.002";0.388259754756441;0.026508642914476;0.388535878901574;0.335549596988911;0.438668092880337;1;0
"0.003";0.377672170438782;0.0257013637955292;0.378127955497111;0.326794310240346;0.426761871420888;1;0
"0.004";0.367084586121123;0.0252729163192125;0.3676222259202;0.316925718090897;0.414985736581002;1;0
"0.005";0.356497001803464;0.0252425978090713;0.356964753367594;0.305903952677495;0.40431643895377;1;0
"0.006";0.345909417485805;0.025611822183671;0.346353542123248;0.294053828284674;0.394361168738178;1;0
"0.007";0.335321833168146;0.0263638080240747;0.335682125238894;0.282462198981632;0.385284002904857;1;0
"0.008";0.324734248850487;0.0274671359634998;0.325010778886043;0.269956845210049;0.37758214183959;1;0
"0.009";0.314146664532828;0.0288815683280763;0.314255924288532;0.257245751709418;0.370304061341513;1;0
"0.01";0.303559080215169;0.0305639438994076;0.303532198533291;0.243814555858348;0.363584428663201;1;0
"0.011";0.29297149589751;0.0324726437301887;0.292862714566043;0.229851921860995;0.357340839399251;1;0
"0.012";0.282383911579851;0.0345702004841486;0.281970867764787;0.216147804855482;0.351650608496659;1;0
"0.013";0.271796327262191;0.0368243557818128;0.271143869586618;0.201712859461842;0.345865343122686;1;0
"0.014";0.261208742944532;0.0392081093974406;0.260389502961375;0.186602260309034;0.340742631618656;1;0
"0.015";0.250621158626873;0.0416992416339031;0.249815402996544;0.171905621163946;0.335593003278344;1;0
"0.016";0.240033574309214;0.0442796331252693;0.23885341876814;0.156658286963907;0.330160474262341;1;0
"0.017";0.229445989991555;0.0469345641624496;0.228069776787618;0.141450564604408;0.324597416527739;1;0
"0.018";0.218858405673896;0.049652079141508;0.217117300202596;0.126489388800315;0.319721543599224;1;0
"0.019";0.208270821356237;0.0524224461426105;0.206377092667194;0.110811795568668;0.315430308098531;1;0
"0.02";0.197683237038578;0.055237713589721;0.195444271532318;0.0956828835493235;0.311275642803613;1;0
"0.021";0.187095652720919;0.0580913538507241;0.184641816460321;0.0802574072195393;0.306969284812795;0.9998;0.000199999999999978
"0.022";0.17650806840326;0.0609779798644139;0.173989453128272;0.0642133301548993;0.302692128199553;0.9992;0.000800000000000023
"0.023";0.165920484085601;0.0638931209992478;0.163485487094583;0.04784327122913;0.298640660435916;0.9971;0.00290000000000001
"0.024";0.155332899767942;0.066833046019533;0.152715777264171;0.0323843765370248;0.294382546782408;0.9934;0.00660000000000005
"0.025";0.144745315450283;0.0697946231168158;0.141866992344749;0.0165863378264499;0.290478596000063;0.9874;0.0125999999999999
"0.026";0.134157731132624;0.0727752089542347;0.130913318345974;0.000885461788190908;0.286783885703039;0.976;0.024
"0.027";0.123570146814965;0.0757725603842943;0.119952524229533;-0.0149444907226559;0.282540057107528;0.9571;0.0429
"0.028";0.112982562497306;0.0787847638988362;0.10917720930359;-0.0314327317323368;0.277791153170541;0.9344;0.0656
"0.029";0.102394978179647;0.0818101789788047;0.0984156510276906;-0.0471087999777218;0.273691852913327;0.903;0.097
"0.03";0.0918073938619877;0.0848473923761807;0.0876466833424569;-0.063123822766025;0.26902826989172;0.8656;0.1344
"0.031";0.0812198095443286;0.0878951810287453;0.0767880709494733;-0.0791838686086908;0.264909838427843;0.8223;0.1777
"0.032";0.0706322252266696;0.090952481822428;0.0661914895025174;-0.0949142912350151;0.260500862143672;0.7755;0.2245
"0.033";0.0600446409090105;0.0940183668108903;0.0552848086891836;-0.111056752844059;0.256318659516888;0.7257;0.2743
"0.034";0.0494570565913515;0.0970920228054807;0.0446333989774029;-0.127363778076934;0.252410008965712;0.6823;0.3177
"0.035";0.0388694722736924;0.100172734482381;0.033803716900567;-0.143590599469498;0.247653504628738;0.6389;0.3611
