"GD";"moy";"sd";"median";"q025";"p975";"pv.inf0";"pv.sup0"
"0";0.0518424136602687;0.0382327307655383;0.0536712827006193;-0.0278604527178977;0.121101493118158;0.9081;0.0919
"0.001";0.0406254459319311;0.0362953056647084;0.0423404859274463;-0.0352043028235496;0.106580781199223;0.869;0.131
"0.002";0.0294084782035934;0.0345433133255158;0.0309193950975582;-0.0426338159357127;0.0923258593219041;0.8073;0.1927
"0.003";0.0181915104752558;0.0330062955876691;0.0195605809009778;-0.0504162096283507;0.0785427779730314;0.7212;0.2788
"0.004";0.00697454274691817;0.0317155225724265;0.00806978542206421;-0.0585271701635506;0.0647165084476576;0.6022;0.3978
"0.005";-0.00424242498141946;0.0307020677865396;-0.00315005113074244;-0.0673964111237638;0.0520262657186502;0.4571;0.5429
"0.006";-0.0154593927097571;0.0299940549343055;-0.0142968477250075;-0.0767243356190837;0.0401035494700824;0.3204;0.6796
"0.007";-0.0266763604380947;0.0296134001279939;-0.0254775961236977;-0.0867140688928262;0.0277056908569958;0.1876;0.8124
"0.008";-0.0378933281664323;0.0295727471430181;-0.0369097478477684;-0.0974876877748466;0.0167356220940907;0.0954;0.9046
"0.009";-0.04911029589477;0.0298734840742552;-0.0483411984970534;-0.109005679443478;0.00602420706721966;0.0438;0.9562
"0.01";-0.0603272636231076;0.0305055158715658;-0.0594711604886594;-0.121190326185891;-0.00345383138258772;0.0179;0.9821
"0.011";-0.0715442313514452;0.0314488746563625;-0.0708100155746151;-0.134144248672406;-0.0121822905552418;0.00919999999999999;0.9908
"0.012";-0.0827611990797828;0.032676607939297;-0.0821977513183274;-0.147254186473277;-0.0206552729349221;0.00470000000000004;0.9953
"0.013";-0.0939781668081205;0.0341580659053046;-0.0935795080039416;-0.162048336877509;-0.0286129848275495;0.00380000000000003;0.9962
"0.014";-0.105195134536458;0.0358618180948682;-0.105008266472963;-0.175651020100049;-0.0358024489851284;0.003;0.997
"0.015";-0.116412102264796;0.037757784607328;-0.116593906588308;-0.189961693074804;-0.0428121129156046;0.00239999999999996;0.9976
"0.016";-0.127629069993133;0.0398185179350389;-0.128029257566576;-0.205235004888694;-0.0487702605964512;0.00190000000000001;0.9981
"0.017";-0.138846037721471;0.0420197835946156;-0.139248928282935;-0.220051114822171;-0.0545691193846849;0.00170000000000003;0.9983
"0.018";-0.150063005449809;0.0443406565900791;-0.150495737091848;-0.235416671726727;-0.060794513126323;0.00180000000000002;0.9982
"0.019";-0.161279973178146;0.0467633319070187;-0.161737056388965;-0.250968122849435;-0.0665476944770246;0.00149999999999995;0.9985
"0.02";-0.172496940906484;0.0492727953941964;-0.173148676271618;-0.266654223907712;-0.0718223648204741;0.00160000000000005;0.9984
"0.021";-0.183713908634821;0.0518564488909178;-0.184464370221658;-0.282346892371909;-0.0770385565855888;0.00160000000000005;0.9984
"0.022";-0.194930876363159;0.0545037428797333;-0.195824525993183;-0.29781652387818;-0.082639419610496;0.00149999999999995;0.9985
"0.023";-0.206147844091497;0.0572058428390794;-0.207284458529512;-0.314272235599239;-0.0873151610937109;0.00149999999999995;0.9985
"0.024";-0.217364811819834;0.0599553391506088;-0.218619669155447;-0.330080473062459;-0.092605706637883;0.00149999999999995;0.9985
"0.025";-0.228581779548172;0.0627460014750363;-0.230049901364884;-0.347208965652368;-0.0978652550079315;0.00149999999999995;0.9985
"0.026";-0.23979874727651;0.0655725741469074;-0.241342243743031;-0.363626382570965;-0.103192777775682;0.00149999999999995;0.9985
"0.027";-0.251015715004847;0.0684306074070936;-0.252526374288242;-0.379469156932577;-0.108832954285234;0.00149999999999995;0.9985
"0.028";-0.262232682733185;0.0713163189646068;-0.263875263804351;-0.396173928956645;-0.113547202704468;0.00149999999999995;0.9985
"0.029";-0.273449650461523;0.0742264807324515;-0.275377729021356;-0.412793781706151;-0.118892970710586;0.00139999999999996;0.9986
"0.03";-0.28466661818986;0.0771583262123675;-0.286932933818559;-0.429284446969013;-0.123751788911755;0.00139999999999996;0.9986
"0.031";-0.295883585918198;0.0801094746991198;-0.29807231787503;-0.446038996422043;-0.128333660440241;0.00149999999999995;0.9985
"0.032";-0.307100553646535;0.0830778691346221;-0.309472244535633;-0.462662044285757;-0.133815978761446;0.00149999999999995;0.9985
"0.033";-0.318317521374873;0.0860617250235874;-0.320745329989466;-0.47926710276756;-0.139075632855727;0.00160000000000005;0.9984
"0.034";-0.329534489103211;0.0890594883144261;-0.331853189020103;-0.496429026222813;-0.143442649585278;0.00160000000000005;0.9984
"0.035";-0.340751456831548;0.0920698005554749;-0.34314295165018;-0.513401077092627;-0.148711050871912;0.00160000000000005;0.9984
"0.036";-0.351968424559886;0.0950914699672274;-0.354323555151539;-0.529752151815971;-0.152440514356004;0.00160000000000005;0.9984
"0.037";-0.363185392288223;0.0981234473377132;-0.365693780186817;-0.54616297950006;-0.156716020323998;0.00160000000000005;0.9984
"0.038";-0.374402360016561;0.101164805861779;-0.37716400564341;-0.562910873469945;-0.16226770564222;0.00160000000000005;0.9984
"0.039";-0.385619327744899;0.104214724215783;-0.388603060262551;-0.580070681601165;-0.167625417349095;0.00160000000000005;0.9984
"0.04";-0.396836295473236;0.107272472295541;-0.399904480310792;-0.597074049068422;-0.172245960004825;0.00160000000000005;0.9984
"0.041";-0.408053263201574;0.110337399154272;-0.411184282403727;-0.613121724541799;-0.176996706234926;0.00160000000000005;0.9984
"0.042";-0.419270230929912;0.113408922764333;-0.422532907104537;-0.630242899418256;-0.182180272949315;0.00149999999999995;0.9985
"0.043";-0.430487198658249;0.116486521296283;-0.433956531169992;-0.647329179611091;-0.187021181073805;0.00149999999999995;0.9985
"0.044";-0.441704166386587;0.119569725664811;-0.445378475241687;-0.66435494543436;-0.191277865215002;0.00149999999999995;0.9985
"0.045";-0.452921134114924;0.122658113136117;-0.456742630456567;-0.680972559505642;-0.195251209777422;0.00149999999999995;0.9985
"0.046";-0.464138101843262;0.125751301827744;-0.467863505380436;-0.69790719657362;-0.199867819924786;0.00149999999999995;0.9985
"0.047";-0.4753550695716;0.1288489459613;-0.479340290653059;-0.714384339444481;-0.204328116246205;0.00149999999999995;0.9985
"0.048";-0.486572037299937;0.131950731752459;-0.490587566941237;-0.731633750348004;-0.208342321515325;0.00149999999999995;0.9985
"0.049";-0.497789005028275;0.135056373842134;-0.501765310442225;-0.748494065023721;-0.213362106660506;0.00149999999999995;0.9985
"0.05";-0.509005972756613;0.138165612188667;-0.513075376670508;-0.765357512637317;-0.21793544967256;0.00149999999999995;0.9985
"0.051";-0.52022294048495;0.141278209353946;-0.524386981746346;-0.782071350971988;-0.22233821361059;0.00149999999999995;0.9985
"0.052";-0.531439908213288;0.144393948127168;-0.535681275752284;-0.799085199969545;-0.226672952269251;0.00149999999999995;0.9985
"0.053";-0.542656875941625;0.147512629438808;-0.546956535684739;-0.815999122220377;-0.23097933038156;0.00149999999999995;0.9985
"0.054";-0.553873843669963;0.150634070524754;-0.558295194386715;-0.832872757373617;-0.23529155443966;0.00149999999999995;0.9985
