"GD";"moy";"sd";"median";"q025";"p975";"pv.inf0";"pv.sup0"
"0";0.336559976914774;0.117318961990088;0.332114200468675;0.115545620243246;0.578991383997661;0.9991;0.000900000000000012
"0.001";0.317996729451299;0.108141109901342;0.315479744923808;0.111308454376799;0.539919427688684;0.9992;0.000800000000000023
"0.002";0.299433481987824;0.100817782588013;0.297372708251302;0.106953221591677;0.506373637554687;0.9989;0.00109999999999999
"0.003";0.280870234524349;0.0957753399797694;0.279355293911235;0.0967392626792222;0.47436751196088;0.9988;0.00119999999999998
"0.004";0.262306987060875;0.093383997759381;0.262500238648492;0.0789575757226408;0.447727886796045;0.9972;0.00280000000000002
"0.005";0.2437437395974;0.093846636347899;0.245199532158674;0.0530197589656875;0.424185141152157;0.9934;0.00660000000000005
"0.006";0.225180492133925;0.0971224798752203;0.229074119449564;0.0189324648904673;0.405020857427301;0.982;0.018
"0.007";0.20661724467045;0.102943313854846;0.213071357711692;-0.0251934897161634;0.392032948524513;0.963;0.037
"0.008";0.188053997206975;0.110909154106995;0.198176673777223;-0.0815152939415517;0.377521217696901;0.9419;0.0581
"0.009";0.1694907497435;0.120595687688442;0.183374796448385;-0.140599741412539;0.364629035556934;0.9212;0.0788
"0.01";0.150927502280026;0.131623569851202;0.169153728330828;-0.199992971439546;0.354776179841708;0.8986;0.1014
"0.011";0.132364254816551;0.143684283130436;0.155405764772628;-0.260265981530713;0.345713626569804;0.8713;0.1287
"0.012";0.113801007353076;0.156539283006047;0.14210283521369;-0.321137084886206;0.33762751764312;0.8416;0.1584
"0.013";0.0952377598896012;0.170008487601044;0.127873548036661;-0.383370959108297;0.33107478347282;0.8094;0.1906
"0.014";0.0766745124261264;0.183957031438726;0.114809008458979;-0.442188923687581;0.324156216353968;0.7762;0.2238
"0.015";0.0581112649626516;0.198283780986015;0.101601340652549;-0.505300730450237;0.318349387234279;0.7434;0.2566
"0.016";0.0395480174991768;0.212912402211515;0.0876359863079959;-0.56816024713007;0.317749499615245;0.7131;0.2869
"0.017";0.0209847700357019;0.227784742807444;0.0737296032288776;-0.630996288246758;0.311107205903267;0.6797;0.3203
"0.018";0.00242152257222709;0.242856031267984;0.0600833453439538;-0.69262069047364;0.306894488763037;0.6434;0.3566
"0.019";-0.0161417248912477;0.258091417171562;0.0465084410155402;-0.751927445638723;0.304450063867288;0.6121;0.3879
"0.02";-0.0347049723547225;0.273463474963334;0.0322296957320234;-0.813287754713592;0.304027051952901;0.5765;0.4235
"0.021";-0.0532682198181973;0.288950392779497;0.0175815785374164;-0.875402926888602;0.300369934946816;0.5406;0.4594
"0.022";-0.0718314672816722;0.304534647721464;0.0028376104053433;-0.93461382662021;0.298749463874098;0.5069;0.4931
"0.023";-0.090394714745147;0.320202027890601;-0.0122905856466427;-0.996357659461507;0.30083641607591;0.4752;0.5248
"0.024";-0.108957962208622;0.335940903277166;-0.0264261487481476;-1.0613657953535;0.301743288400212;0.4452;0.5548
"0.025";-0.127521209672097;0.351741676733238;-0.0403856865103921;-1.12375268580435;0.303814576861621;0.4174;0.5826
