"var";"moy";"sd";"median";"q025";"p975";"pv.inf0";"pv.sup0";"model"
"(Intercept)";-3.51363950824322;0.280526945662827;-3.50370967095064;-4.08780169052835;-2.99199144052742;0;1;"allW"
"ContinuousGrain";0.0648687927715114;0.033169556753343;0.0663198936962283;-0.00534900964627735;0.125764592347538;0.9669;0.0331;"allW"
"LogExtent";0.531465248077351;0.041472130079056;0.530162111914705;0.453705280677511;0.616978151956449;1;0;"allW"
"LogNtempUnits";-0.0663516087050807;0.0275943317784434;-0.0659589668706289;-0.122018981916607;-0.0137186792765784;0.00549999999999995;0.9945;"allW"
"ParamLE";1.24542912834915;0.0573943205114102;1.24544293004893;1.13115774141735;1.35963517652857;1;0;"allW"
"ParamTE";0.572318715291136;0.0878346482052013;0.575969656698519;0.390510327552342;0.73413364081504;1;0;"allW"
"PrAbabundance";0.913194438226704;0.0692931152534803;0.911929862525173;0.781853220104685;1.0540796847944;1;0;"allW"
"QualityBALANCED";-0.301353850965765;0.0484257030220379;-0.301613186215291;-0.397182663873098;-0.205823406488647;0;1;"allW"
"QualityRESURVEYED";-0.80282614349062;0.0868878091353049;-0.799130127924997;-0.984674570969097;-0.640200661013971;0;1;"allW"
"scale(GD)";0.146276472279779;0.030592962214177;0.147024414542674;0.0850483410064073;0.204148936739697;1;0;"allW"
"scale(GD):ParamLE";-0.160308099560002;0.0427660067831156;-0.16100287147482;-0.242130373406802;-0.0727899648711025;0.000499999999999945;0.9995;"allW"
"scale(GD):ParamTE";-0.168596745909373;0.136248993327191;-0.167023683782591;-0.440814596611933;0.0968232135653345;0.1037;0.8963;"allW"
"scale(vel_abs)";0.30671978451255;0.0234100381088723;0.307794674380982;0.258948152722231;0.351145269876453;1;0;"allW"
"scale(vel_abs):ParamLE";-0.403128391790435;0.0616017602084219;-0.401533287218098;-0.527428877692971;-0.286631801889809;0;1;"allW"
"scale(vel_abs):ParamTE";0.0851945133884778;0.111259200307205;0.087625671078585;-0.150247931198009;0.297179106055022;0.796;0.204;"allW"
"scale(vel_abs):scale(GD)";-0.0855912185597282;0.0193221769147834;-0.0863789506925275;-0.121775723804682;-0.0460742031251941;0;1;"allW"
"scale(vel_abs):scale(GD):ParamLE";-0.03995164598784;0.044139407003038;-0.041757767169106;-0.122865505558123;0.0529525995087276;0.1661;0.8339;"allW"
"scale(vel_abs):scale(GD):ParamTE";-0.146608672651965;0.168666314751909;-0.0948877952571733;-0.601741964522631;0.0493322086351506;0.1191;0.8809;"allW"
