"var";"moy";"sd";"median";"q025";"p975";"pv.inf0";"pv.sup0";"model"
"(Intercept)";-2.18945025548691;0.644773691872492;-2.18821438114379;-3.44800305871015;-0.917433566313096;0.000399999999999956;0.9996;"LE"
"ContinuousGrain";0.203163009054224;0.0451405051252964;0.20253107420477;0.113537437932258;0.292387074111649;0.9999;9.9999999999989e-05;"LE"
"LogExtent";0.431727834005728;0.0852826609385517;0.431573177488202;0.262828224768361;0.597537864807841;1;0;"LE"
"LogNtempUnits";0.16994486918069;0.131265075171744;0.19546633749419;-0.0859281206616205;0.390766660809959;0.8715;0.1285;"LE"
"PrAbabundance";-0.236109032349035;0.251884853360307;-0.270889136729208;-0.678669538831291;0.266686494513512;0.2013;0.7987;"LE"
"QualityBALANCED";-0.121630035398801;0.0478733792701616;-0.121567021417244;-0.21518002367095;-0.0283120417387356;0.00580000000000003;0.9942;"LE"
"QualityRESURVEYED";-0.666867202834662;0.148930456149205;-0.66109898970487;-0.968444971974173;-0.38979283453982;0;1;"LE"
"scale(GD)";0.0422091058060815;0.0201011956488865;0.0426749335794332;0.00213674235782271;0.0807639625018672;0.981;0.019;"LE"
"scale(vel_abs)";-0.0191708682880102;0.0298310291363272;-0.0179909435317624;-0.0802721769423845;0.0357349309062425;0.2717;0.7283;"LE"
"scale(vel_abs):scale(GD)";-0.08499339807869;0.0241306528002109;-0.0859525045289056;-0.130212486685928;-0.0334273098945315;0.00209999999999999;0.9979;"LE"
