"vel_abs";"moy";"sd";"median";"q025";"p975";"pv.inf0";"pv.sup0"
"0";0.106065130861621;0.0252707000533194;0.106274159036029;0.0554214255619463;0.154449570453638;1;0
"0.1";0.0967005995978292;0.0234805699838665;0.0969808033539832;0.0498990334695514;0.14207233764905;0.9999;9.9999999999989e-05
"0.2";0.0873360683340374;0.0219408536280848;0.0877054662296936;0.0438396315955971;0.129810382259474;0.9999;9.9999999999989e-05
"0.3";0.0779715370702455;0.020707485474345;0.0783810606572715;0.0362959570496371;0.117613808173085;0.9997;0.000299999999999967
"0.4";0.0686070058064537;0.0198376877934591;0.0689838050407017;0.0286333822452467;0.106584904542282;0.9996;0.000399999999999956
"0.5";0.0592424745426618;0.0193804738045972;0.0596321545433037;0.0202187136830668;0.0964544947581156;0.998;0.002
"0.6";0.04987794327887;0.0193650891650408;0.0502706432336219;0.0110824514202951;0.0867897937128072;0.9934;0.00660000000000005
"0.7";0.0405134120150781;0.0197925641953906;0.0408494286618189;0.000796883713443424;0.0782355506900033;0.9769;0.0231
"0.8";0.0311488807512863;0.0206353948851655;0.0314302176069041;-0.0100600529216015;0.0708889825467649;0.9348;0.0652
"0.9";0.0217843494874944;0.0218455590975408;0.0218906950031883;-0.0216308021916081;0.0641752661737315;0.8433;0.1567
"1";0.0124198182237026;0.0233660520431021;0.0121869690982575;-0.0328845114250299;0.0582670663635987;0.7038;0.2962
"1.1";0.00305528695991075;0.0251406310473135;0.00269385963851617;-0.0452625833457995;0.0525512573021492;0.5416;0.4584
"1.2";-0.00630924430388111;0.0271194630553909;-0.00707816830922692;-0.0580120314876463;0.0477476104681662;0.3996;0.6004
"1.3";-0.0156737755676729;0.0292611385449653;-0.0166583546823489;-0.0707484728297247;0.0437161424637769;0.2796;0.7204
"1.4";-0.0250383068314648;0.031532494145912;-0.0261140796838977;-0.0841959666702034;0.039889570710505;0.2006;0.7994
"1.5";-0.0344028380952566;0.0339074792745741;-0.0356171384208512;-0.0978062036986725;0.0363358717038355;0.1443;0.8557
"1.6";-0.0437673693590485;0.036365796018082;-0.0450436470021351;-0.111940319021485;0.0326757876428574;0.108;0.892
"1.7";-0.0531319006228403;0.0388916455666407;-0.0544942161204737;-0.125962769529155;0.0289244997610343;0.0826;0.9174
"1.8";-0.0624964318866322;0.0414726907170614;-0.0640590227866336;-0.139762885301174;0.0257600411986808;0.0671;0.9329
"1.9";-0.071860963150424;0.0440992410515673;-0.0739022356381149;-0.153950488965686;0.0217052883254213;0.0553;0.9447
"2";-0.0812254944142158;0.046763629595176;-0.083427335749922;-0.168366082336181;0.018427204788717;0.0469000000000001;0.9531
"2.1";-0.0905900256780077;0.0494597417106558;-0.0928880091865623;-0.182746922435994;0.0148379378524368;0.0404;0.9596
"2.2";-0.0999545569417996;0.0521826604614419;-0.102534123850359;-0.197035974676074;0.011219660747288;0.035;0.965
"2.3";-0.109319088205591;0.0549283994047055;-0.112085153187534;-0.211851252567907;0.00815825625388791;0.0306999999999999;0.9693
"2.4";-0.118683619469383;0.0576937004799566;-0.121780023872915;-0.22670387806871;0.00499550506661527;0.0284;0.9716
"2.5";-0.128048150733175;0.0604758802710503;-0.131222464470815;-0.241081132742944;0.00207742837890682;0.0263;0.9737
"2.6";-0.137412681996967;0.0632727122828259;-0.140503623607511;-0.255096683732777;-0.000909048008916248;0.0243;0.9757
"2.7";-0.146777213260759;0.0660823361441732;-0.150054892730151;-0.269699830424913;-0.00418601175264371;0.0228;0.9772
"2.8";-0.156141744524551;0.0689031870561667;-0.159508255793588;-0.284303730066366;-0.00750104285453297;0.021;0.979
"2.9";-0.165506275788342;0.0717339405602542;-0.169016047687646;-0.299377450717599;-0.0110848615650719;0.0201;0.9799
