"GD";"moy";"sd";"median";"q025";"p975";"pv.inf0";"pv.sup0"
"0";0.373036106369813;0.0269963991220619;0.373681440718227;0.317418483595689;0.424159708727806;1;0
"0.001";0.361028147340902;0.0257350819691601;0.361663938444665;0.30773561001157;0.409537073451181;1;0
"0.002";0.349020188311992;0.0247045294959602;0.349814343484088;0.297463151170023;0.395629412931425;1;0
"0.003";0.337012229283082;0.0239345684425224;0.337951458410714;0.287071248344212;0.381738320948255;1;0
"0.004";0.325004270254172;0.023450880808585;0.325980522928603;0.276124751577715;0.368961140677414;1;0
"0.005";0.312996311225262;0.0232713237724626;0.313709204480497;0.264849959235192;0.356566141876009;1;0
"0.006";0.300988352196352;0.0234028986410392;0.301786229654924;0.252915374869061;0.345582678041949;1;0
"0.007";0.288980393167442;0.0238404545832996;0.289535206002554;0.240628088339603;0.335121457208371;1;0
"0.008";0.276972434138532;0.0245676482376649;0.277369222424384;0.227252330845927;0.324511712739114;1;0
"0.009";0.264964475109622;0.0255597703506224;0.265407222210164;0.213892090928715;0.315264245845939;1;0
"0.01";0.252956516080711;0.0267874006965797;0.253302114741016;0.200357640224464;0.305753381667187;1;0
"0.011";0.240948557051801;0.0282198204643001;0.240979708162724;0.18584988692916;0.296789811025473;1;0
"0.012";0.228940598022891;0.0298275401810339;0.228784620685402;0.17071193989053;0.288646398504355;1;0
"0.013";0.216932638993981;0.0315838011442686;0.216647049947224;0.155647466948141;0.280735826166633;1;0
"0.014";0.204924679965071;0.0334652251067561;0.204515628924479;0.140285340490525;0.273063386459478;1;0
"0.015";0.192916720936161;0.0354518905479901;0.192406162703247;0.12474393585558;0.265220836241385;1;0
"0.016";0.180908761907251;0.0375270868928448;0.180155233053023;0.108893978071499;0.257538263225927;1;0
"0.017";0.168900802878341;0.0396769254498786;0.168223439142283;0.0933052950014692;0.249971454309105;1;0
"0.018";0.15689284384943;0.041889915623011;0.156050214182934;0.0771526862972186;0.242730119125249;1;0
