"GD";"moy";"sd";"median";"q025";"p975";"pv.inf0";"pv.sup0"
"0";-0.00104705597545641;0.0719574300146587;0.000969835188795794;-0.150404882153465;0.135590540736555;0.5046;0.4954
"0.001";-0.0188659813814197;0.0683642527858973;-0.01718262966069;-0.160297977490431;0.111105958200586;0.4063;0.5937
"0.002";-0.0366849067873829;0.0650556300839658;-0.0349832747250569;-0.170652911644657;0.0870666621720065;0.2923;0.7077
"0.003";-0.0545038321933462;0.0620770776878044;-0.0526387651257795;-0.181719511563598;0.0626442468667755;0.1903;0.8097
"0.004";-0.0723227575993095;0.0594782041161449;-0.0705457317142479;-0.19499982734119;0.0391855485533504;0.1076;0.8924
"0.005";-0.0901416830052728;0.0573106846713077;-0.0879493475211252;-0.208063510881087;0.0157951434372698;0.0511;0.9489
"0.006";-0.107960608411236;0.0556249675244356;-0.105817073781997;-0.223048041563255;-0.00606388217715655;0.019;0.981
"0.007";-0.125779533817199;0.0544658064172664;-0.123785443072299;-0.238053283596417;-0.0269534704115488;0.00629999999999997;0.9937
"0.008";-0.143598459223163;0.0538672047470438;-0.141781766028632;-0.253384014674427;-0.0457315411139446;0.00260000000000005;0.9974
"0.009";-0.161417384629126;0.0538478601972716;-0.159419040344667;-0.269220119147942;-0.0632638905875826;0.000700000000000034;0.9993
"0.01";-0.179236310035089;0.0544083906247747;-0.177531136031169;-0.288253569919648;-0.0798759220879002;0.000499999999999945;0.9995
"0.011";-0.197055235441052;0.0555312390904381;-0.195703919653471;-0.307843019041905;-0.09445125000006;0.000299999999999967;0.9997
"0.012";-0.214874160847016;0.0571832902293049;-0.213834578415971;-0.327651271767924;-0.108766159731564;0.000299999999999967;0.9997
"0.013";-0.232693086252979;0.0593203461720058;-0.232044530435999;-0.34982438168923;-0.121222566392886;0.000299999999999967;0.9997
"0.014";-0.250512011658942;0.0618921875560435;-0.249766262097334;-0.37144372264179;-0.132866755514557;0.000299999999999967;0.9997
"0.015";-0.268330937064905;0.0648471041216685;-0.26805673458981;-0.393642798180074;-0.144089747827807;0.000399999999999956;0.9996
"0.016";-0.286149862470869;0.0681352740322422;-0.286067740225994;-0.417885292684906;-0.153835522456162;0.000399999999999956;0.9996
"0.017";-0.303968787876832;0.071710869775224;-0.304192580468271;-0.442444042963603;-0.163631141095751;0.000399999999999956;0.9996
"0.018";-0.321787713282795;0.0755330837605464;-0.322187595303786;-0.466717561474862;-0.172708386898208;0.000600000000000045;0.9994
"0.019";-0.339606638688759;0.0795663827431188;-0.340349348326523;-0.491487468806884;-0.180327197396101;0.000600000000000045;0.9994
"0.02";-0.357425564094722;0.0837802864954483;-0.358625065607791;-0.516546881777213;-0.188535922791212;0.000600000000000045;0.9994
"0.021";-0.375244489500685;0.0881488977224475;-0.377342951968512;-0.542623071399226;-0.195891563326735;0.000600000000000045;0.9994
"0.022";-0.393063414906648;0.0926503348946662;-0.395636906663552;-0.567922944333713;-0.203823512585708;0.000700000000000034;0.9993
"0.023";-0.410882340312612;0.0972661583722379;-0.413561841412281;-0.593691487642427;-0.212074592472766;0.000800000000000023;0.9992
"0.024";-0.428701265718575;0.101980837390565;-0.431462838642977;-0.620958982621287;-0.218734871146281;0.000800000000000023;0.9992
"0.025";-0.446520191124538;0.106781278542902;-0.449431389380227;-0.647735085919337;-0.226000933964968;0.000800000000000023;0.9992
"0.026";-0.464339116530501;0.111656420870547;-0.467615575263129;-0.674339824447317;-0.232306282270336;0.000800000000000023;0.9992
"0.027";-0.482158041936465;0.116596894546866;-0.485750097015158;-0.701200301722096;-0.239407420747897;0.000900000000000012;0.9991
"0.028";-0.499976967342428;0.121594736466318;-0.503742115973606;-0.727714056598431;-0.247210393077018;0.00109999999999999;0.9989
"0.029";-0.517795892748391;0.126643154874797;-0.521656863142611;-0.754523497116931;-0.253984998404811;0.00129999999999997;0.9987
