"GD";"moy";"sd";"median";"q025";"p975";"pv.inf0";"pv.sup0"
"0";0.571539677687765;0.148705544831762;0.56329131446153;0.305138010275025;0.896097681518417;1;0
"0.001";0.538627264813631;0.133061559240807;0.53214592469976;0.296086976107732;0.82422847569594;1;0
"0.002";0.505714851939498;0.120216491578174;0.500533525337284;0.283090940404064;0.759675429615819;1;0
"0.003";0.472802439065364;0.111145031211578;0.469018474010085;0.263953620241078;0.702274607899582;1;0
"0.004";0.439890026191231;0.10681300433265;0.437367722311825;0.239669966234049;0.658802906056408;0.9999;9.9999999999989e-05
"0.005";0.406977613317097;0.107793342289762;0.406320748425813;0.191260388189993;0.619485251970492;0.9994;0.000600000000000045
"0.006";0.374065200442963;0.113949015815476;0.377756663425039;0.123862403317106;0.584549612764024;0.9968;0.00319999999999998
"0.007";0.34115278756883;0.124514812711261;0.351680916470609;0.0457016559338229;0.555085880328844;0.987;0.013
"0.008";0.308240374694696;0.138484965897428;0.326315102075879;-0.0406937236511666;0.52609551125197;0.9604;0.0396
"0.009";0.275327961820563;0.154941343064368;0.3016947271506;-0.127992785663113;0.500548796408386;0.9288;0.0712
"0.01";0.242415548946429;0.173176616832225;0.280000222208189;-0.218033972188488;0.475478572752436;0.9039;0.0961
"0.011";0.209503136072296;0.19268639874212;0.258226531556873;-0.305626238146407;0.452347314453655;0.8848;0.1152
"0.012";0.176590723198162;0.213120957953098;0.237053531734599;-0.395933983604943;0.430413384561873;0.855;0.145
"0.013";0.143678310324028;0.234238391373771;0.21631145864142;-0.486776645182459;0.409264586503446;0.8146;0.1854
"0.014";0.110765897449895;0.255869677929575;0.194865700121836;-0.582315096282757;0.390745354969476;0.7716;0.2284
"0.015";0.0778534845757614;0.277894848800916;0.173447408522964;-0.675958945085397;0.374870319273824;0.7313;0.2687
"0.016";0.0449410717016278;0.300227228465824;0.151659553156585;-0.768992486663864;0.359209151409998;0.701;0.299
"0.017";0.0120286588274942;0.322803062640897;0.129554334692884;-0.859699317761929;0.346453744360592;0.6771;0.3229
"0.018";-0.0208837540466394;0.345574641147615;0.106505411365931;-0.955726453114689;0.33352854577671;0.6535;0.3465
"0.019";-0.0537961669207729;0.36850567807586;0.0823841438305746;-1.0538915442414;0.322343799428808;0.6292;0.3708
"0.02";-0.0867085797949065;0.391568159788156;0.0588964078555786;-1.1479176624072;0.310358735111811;0.5984;0.4016
"0.021";-0.11962099266904;0.414740159089403;0.0344926405476488;-1.24432551864272;0.299623512341002;0.561;0.439
"0.022";-0.152533405543174;0.438004294703843;0.0106568316504491;-1.3395502544687;0.290515024672268;0.5199;0.4801
"0.023";-0.185445818417307;0.461346628482754;-0.0136389247729692;-1.43751931774647;0.280457387282526;0.4754;0.5246
"0.024";-0.218358231291441;0.484755864184937;-0.0388175980120571;-1.53406363637144;0.270322040974843;0.4305;0.5695
"0.025";-0.251270644165574;0.508222757191031;-0.0632453928712415;-1.6250125670898;0.260680342099055;0.3876;0.6124
