"vel_abs";"moy";"sd";"median";"q025";"p975";"pv.inf0";"pv.sup0"
"0.1";0.190870773583339;0.0452836010138617;0.192312107324225;0.0993409566904072;0.275177289324763;0.9999;9.9999999999989e-05
"0.2";0.186032759930594;0.0439867649000991;0.187411506566991;0.0968876799370408;0.268048031451209;0.9999;9.9999999999989e-05
"0.3";0.181194746277848;0.0426995843613043;0.182551608708375;0.094430933797199;0.261167736512042;0.9999;9.9999999999989e-05
"0.4";0.176356732625103;0.0414229595217106;0.177678658748156;0.0921040242460339;0.25397920782402;0.9999;9.9999999999989e-05
"0.5";0.171518718972357;0.0401578970951416;0.172834148103497;0.0897887578278017;0.24676489221733;0.9999;9.9999999999989e-05
"0.6";0.166680705319611;0.0389055249974636;0.167996824270068;0.0871790726389172;0.23957857872754;0.9999;9.9999999999989e-05
"0.7";0.161842691666866;0.0376671090503389;0.163114188683659;0.0850554314868592;0.232566170286678;0.9999;9.9999999999989e-05
"0.8";0.15700467801412;0.0364440720248103;0.158237958168407;0.083091479328312;0.225432131205695;0.9999;9.9999999999989e-05
"0.9";0.152166664361375;0.0352380152668475;0.153445455721473;0.0808376905776789;0.21830072929361;0.9999;9.9999999999989e-05
"1";0.147328650708629;0.0340507431167246;0.148535516458602;0.0782301433807781;0.211500998514309;0.9999;9.9999999999989e-05
"1.1";0.142490637055884;0.032884290266225;0.14366245681109;0.0755442442370969;0.204696508321195;0.9999;9.9999999999989e-05
"1.2";0.137652623403138;0.031740952072726;0.138733844995726;0.0730761867058619;0.197981178347388;0.9999;9.9999999999989e-05
"1.3";0.132814609750392;0.030623317640491;0.133817465039662;0.0708154178614749;0.191077284237062;0.9999;9.9999999999989e-05
"1.4";0.127976596097647;0.0295343051517267;0.12896592184865;0.0679640408581376;0.184153610151488;0.9999;9.9999999999989e-05
"1.5";0.123138582444901;0.0284771984390633;0.124092363253484;0.0652904035549633;0.177008496960366;0.9999;9.9999999999989e-05
"1.6";0.118300568792156;0.0274556830863456;0.119093900365194;0.0625710701060485;0.17036293320706;0.9999;9.9999999999989e-05
"1.7";0.11346255513941;0.0264738793756313;0.114305661221803;0.0600161061761054;0.164048342680167;0.9999;9.9999999999989e-05
"1.8";0.108624541486665;0.0255363681307794;0.109370893909335;0.0571110465955622;0.157269509352825;0.9999;9.9999999999989e-05
"1.9";0.103786527833919;0.0246482039524885;0.104560396460218;0.0542081530071046;0.150884107398327;0.9999;9.9999999999989e-05
"2";0.0989485141811735;0.0238149085976376;0.0995932832010214;0.0509667129301793;0.144491929792349;0.9999;9.9999999999989e-05
"2.1";0.0941105005284279;0.02304243558311;0.0946501712772542;0.0474512116248801;0.137960756720619;0.9999;9.9999999999989e-05
"2.2";0.0892724868756823;0.0223370959694248;0.0898099842519008;0.044260594757663;0.131968508689235;0.9998;0.000199999999999978
