"vel_abs";"moy";"sd";"median";"q025";"p975";"pv.inf0";"pv.sup0"
"0.1";0.0744617178880472;0.103544479684712;0.0672724231536773;-0.11243994620101;0.288034503372448;0.7615;0.2385
"0.2";0.0680554205094473;0.100015408462102;0.0613964979876947;-0.113770947515727;0.274405410002571;0.7482;0.2518
"0.3";0.0616491231308474;0.0966986611192332;0.0555365583895226;-0.115053054854946;0.26203768311921;0.7333;0.2667
"0.4";0.0552428257522476;0.0936168076277522;0.0493492672757263;-0.11642589459634;0.249351722066108;0.7149;0.2851
"0.5";0.0488365283736477;0.0907937704598656;0.0436659960376338;-0.118319574158258;0.237615504977318;0.6947;0.3053
"0.6";0.0424302309950478;0.0882543897716932;0.0375139148103081;-0.120644836245352;0.224780361119985;0.6709;0.3291
"0.7";0.0360239336164479;0.0860237894386029;0.031290125041837;-0.122295471483249;0.213430923211233;0.648;0.352
"0.8";0.029617636237848;0.0841265348182616;0.0254161596423884;-0.126385953121096;0.20344178350065;0.6237;0.3763
"0.9";0.0232113388592481;0.0825856031486556;0.0194560291734201;-0.129980925617251;0.193200832108262;0.5961;0.4039
"1";0.0168050414806483;0.0814212276379708;0.0134130144631518;-0.135258988921626;0.18378266085112;0.5663;0.4337
"1.1";0.0103987441020484;0.0806497194568539;0.0077687251872853;-0.141783654264545;0.174860082640138;0.5386;0.4614
"1.2";0.00399244672344848;0.0802824056852569;0.00163205097039632;-0.14910483644071;0.16618034914697;0.5096;0.4904
"1.3";-0.00241385065515141;0.0803248314813239;-0.00375540043124888;-0.158027848886982;0.158989563971314;0.4798;0.5202
"1.4";-0.00882014803375128;0.0807763512306786;-0.009497066722983;-0.16888322336956;0.152238628426668;0.452;0.548
"1.5";-0.0152264454123512;0.0816301767701674;-0.0152320698803479;-0.180540050885149;0.145091789445193;0.4219;0.5781
"1.6";-0.021632742790951;0.0828738745121981;-0.0210889382348713;-0.192566871860244;0.137877773172772;0.3932;0.6068
"1.7";-0.0280390401695509;0.0844902294324397;-0.0266703691429785;-0.205577652098619;0.131324033172743;0.3683;0.6317
"1.8";-0.0344453375481508;0.0864583433693765;-0.0318124899877654;-0.221793699687563;0.126207460012935;0.3462;0.6538
"1.9";-0.0408516349267507;0.0887548189258233;-0.0369502506261177;-0.239528496685859;0.120262702462925;0.3242;0.6758
"2";-0.0472579323053506;0.0913548964351792;-0.0419936844467568;-0.257242936050661;0.115079246006256;0.3013;0.6987
"2.1";-0.0536642296839505;0.0942334484063749;-0.046949728912347;-0.274837000874776;0.110454143790858;0.278;0.722
"2.2";-0.0600705270625503;0.0973657792562637;-0.0513935261958556;-0.293767633495873;0.106113480250531;0.2599;0.7401
"2.3";-0.0664768244411502;0.100728216590735;-0.0562447193462415;-0.313709698035211;0.102874610819154;0.2427;0.7573
"2.4";-0.0728831218197501;0.104298507854468;-0.0605657866188598;-0.332685586318402;0.0976441021761678;0.2253;0.7747
"2.5";-0.07928941919835;0.108056051841324;-0.0652028980778829;-0.353032784669448;0.0938385653287923;0.2064;0.7936
"2.6";-0.0856957165769499;0.111982000402517;-0.0696874809723163;-0.373656645091117;0.0900273348295012;0.1905;0.8095
"2.7";-0.0921020139555498;0.116059264880111;-0.0739949295344154;-0.394379563490452;0.0853223796583668;0.1722;0.8278
"2.8";-0.0985083113341497;0.120272457323454;-0.0781996961492766;-0.417329699715418;0.0806883006394344;0.1587;0.8413
"2.9";-0.10491460871275;0.124607790657247;-0.0825924537520014;-0.437333825108787;0.077893482843405;0.1445;0.8555
"3";-0.111320906091349;0.129052956068765;-0.0872776804973091;-0.457137576218954;0.0744112838727753;0.1329;0.8671
"3.1";-0.117727203469949;0.133596990697548;-0.0915091676371916;-0.477303322708633;0.0725475052148278;0.1213;0.8787
"3.2";-0.124133500848549;0.138230144514657;-0.095839733790358;-0.499183177178361;0.0700958030597812;0.1122;0.8878
"3.3";-0.130539798227149;0.142943752075399;-0.100037654667462;-0.519356559180121;0.0654413785103802;0.1032;0.8968
"3.4";-0.136946095605749;0.147730112495696;-0.104426588687946;-0.540607245549385;0.0626183571253762;0.0975;0.9025
"3.5";-0.143352392984349;0.152582379370415;-0.108681934746391;-0.561821558695802;0.0594506038649884;0.0914;0.9086
"3.6";-0.149758690362949;0.15749446125636;-0.113340117414089;-0.584647205083354;0.0569977200348181;0.0843;0.9157
"3.7";-0.156164987741549;0.162460932640045;-0.118080584324649;-0.605219472236483;0.0554430329418438;0.0785;0.9215
"3.8";-0.162571285120148;0.167476954885928;-0.122830440482061;-0.625806315791922;0.0542229011962502;0.0727;0.9273
"3.9";-0.168977582498748;0.172538206427449;-0.126759584588016;-0.645439029907851;0.0525611186411802;0.0692;0.9308
"4";-0.175383879877348;0.177640821356711;-0.131051121233299;-0.666590393106047;0.0520205311573613;0.0654;0.9346
"4.1";-0.181790177255948;0.182781335543651;-0.13505236879262;-0.686980738875411;0.051234108484652;0.0614;0.9386
"4.2";-0.188196474634548;0.187956639440331;-0.139921539862631;-0.708391030891172;0.0490462600282636;0.0589;0.9411
"4.3";-0.194602772013148;0.193163936779183;-0.14441463335836;-0.729463426034698;0.0481215139923296;0.0572;0.9428
"4.4";-0.201009069391748;0.198400708441552;-0.14954490227721;-0.752326327689809;0.0461859294036899;0.0545;0.9455
"4.5";-0.207415366770348;0.203664680845589;-0.15438477199332;-0.772827968465035;0.0446828691628284;0.0523;0.9477
"4.6";-0.213821664148948;0.208953798274904;-0.158876413416906;-0.796351825811939;0.044233814479166;0.0508999999999999;0.9491
"4.7";-0.220227961527547;0.214266198638121;-0.163335301655178;-0.816900840956353;0.0434330593757257;0.0487;0.9513
"4.8";-0.226634258906147;0.219600192212804;-0.168072596063555;-0.840273995885566;0.0427736432337361;0.0473;0.9527
"4.9";-0.233040556284747;0.224954242984474;-0.172802005216049;-0.86298276557227;0.0424269071072265;0.046;0.954
"5";-0.239446853663347;0.230326952242423;-0.177677545467354;-0.885949305515099;0.0419795931415304;0.0446;0.9554
"5.1";-0.245853151041947;0.235717044138935;-0.18215454978623;-0.908543094599835;0.0415946865368587;0.0434;0.9566
"5.2";-0.252259448420547;0.241123352957896;-0.187035238084622;-0.93075994429723;0.0415983652689239;0.0427;0.9573
"5.3";-0.258665745799147;0.246544811872948;-0.192002998281396;-0.949869269281002;0.0404331829291127;0.0413;0.9587
"5.4";-0.265072043177747;0.251980443005057;-0.19706965291585;-0.972763269224432;0.0400628159452836;0.0404;0.9596
"5.5";-0.271478340556347;0.257429348614975;-0.20199513583483;-0.996442104123243;0.0398217192362273;0.0397999999999999;0.9602
"5.6";-0.277884637934946;0.262890703288236;-0.206955576555208;-1.01975094431902;0.0400135071923587;0.0394;0.9606
