"GD";"moy";"sd";"median";"q025";"p975";"pv.inf0";"pv.sup0"
"0";0.410472868777132;0.0291164941964482;0.410709011977604;0.353786939086971;0.466552964952845;1;0
"0.001";0.39983702109741;0.0276695789146895;0.399879652466993;0.34615064623768;0.453198548950025;1;0
"0.002";0.389201173417689;0.0265269957580842;0.389518609758289;0.337779695027072;0.43986922365157;1;0
"0.003";0.378565325737967;0.0257293209042011;0.379070101682157;0.328324713809562;0.427644103849683;1;0
"0.004";0.367929478058246;0.0253091870284696;0.368460980516497;0.318105167466689;0.416125336795076;1;0
"0.005";0.357293630378524;0.0252854204137782;0.357860971663998;0.306955097598803;0.40552004857493;1;0
"0.006";0.346657782698803;0.0256591224824569;0.347115245829349;0.295488748997168;0.396007173790177;1;0
"0.007";0.336021935019082;0.0264134282372942;0.336395995601601;0.283423727972338;0.387119150813991;1;0
"0.008";0.32538608733936;0.0275170557933151;0.325550532183778;0.271190571024655;0.379032474283483;1;0
"0.009";0.314750239659638;0.0289300548120272;0.314828495553409;0.257672058663193;0.371707057032529;1;0
"0.01";0.304114391979917;0.0306096116755854;0.303901527069441;0.244055635277733;0.364366202050965;1;0
"0.011";0.293478544300196;0.0325144448828845;0.293335061141526;0.230260068919039;0.357701017543648;1;0
"0.012";0.282842696620474;0.0346073759300367;0.282434582984849;0.216035375481885;0.351403882869813;1;0
"0.013";0.272206848940753;0.0368563746873236;0.271641073170891;0.201152106135164;0.345857844582749;1;0
"0.014";0.261571001261031;0.039234612079523;0.260997775780317;0.186259173097673;0.340607043633872;1;0
"0.015";0.25093515358131;0.0417199923127711;0.250123612739656;0.171694712172679;0.334872621082349;1;0
"0.016";0.240299305901588;0.0442944835812932;0.239221857685473;0.156765529116954;0.329616565675158;1;0
"0.017";0.229663458221867;0.0469434269786302;0.228381952168273;0.141641002315784;0.324595611431909;1;0
"0.018";0.219027610542145;0.0496549085274687;0.217646482466017;0.12596201351288;0.32020053800293;1;0
"0.019";0.208391762862424;0.0524192244205628;0.206745035390777;0.110830700212969;0.315198390373637;1;0
"0.02";0.197755915182702;0.0552284417709221;0.196020788757539;0.0944720878607773;0.310647956744862;0.9999;9.9999999999989e-05
"0.021";0.187120067502981;0.0580760451102147;0.185115742013187;0.0788243488525826;0.306268414751564;0.9997;0.000299999999999967
"0.022";0.176484219823259;0.0609566550464509;0.17421851867432;0.062617631106971;0.302295187225678;0.9991;0.000900000000000012
"0.023";0.165848372143538;0.063865805536837;0.163409846950234;0.0464837187514544;0.297848522091943;0.9964;0.00360000000000005
"0.024";0.155212524463816;0.0667997678356363;0.152812764237619;0.0303415860019906;0.293994588457101;0.9923;0.00770000000000004
"0.025";0.144576676784095;0.0697554112060814;0.141929533431701;0.0143600949019519;0.289622884869892;0.9851;0.0149
"0.026";0.133940829104373;0.0727300924361632;0.131228929261953;-0.00202075330046495;0.284335099735187;0.9732;0.0268
"0.027";0.123304981424652;0.07572156788277;0.120644429475087;-0.0182218147014697;0.280216791842635;0.9558;0.0442
"0.028";0.11266913374493;0.0787279231472913;0.109509314703904;-0.0339519124087861;0.274940000215239;0.93;0.07
"0.029";0.102033286065209;0.0817475165809667;0.0986268230211808;-0.0506099048690761;0.270503222534112;0.8981;0.1019
"0.03";0.0913974383854873;0.0847789336736066;0.0879984286645741;-0.0666084686266881;0.26621562215166;0.8627;0.1373
"0.031";0.0807615907057659;0.0878209500410973;0.0774780298703895;-0.0833206370827976;0.261625796700814;0.8213;0.1787
"0.032";0.0701257430260444;0.0908725012367152;0.0667540903233852;-0.0999044275939543;0.256836558335647;0.7785;0.2215
"0.033";0.0594898953463229;0.0939326580030686;0.0561859018831146;-0.116438667072124;0.252866492042614;0.7311;0.2689
"0.034";0.0488540476666014;0.0970006058828234;0.0453887478099909;-0.132566212743782;0.248485456765332;0.6865;0.3135
"0.035";0.0382181999868799;0.100075628338557;0.0346418900447198;-0.148822385150971;0.243984487278252;0.641;0.359
"0.036";0.0275823523071584;0.103157092711495;0.0237295750792307;-0.165603995991227;0.239890691551335;0.5918;0.4082
"0.037";0.016946504627437;0.106244438487987;0.0130380386069589;-0.181562500713025;0.235954135326652;0.5486;0.4514
"0.038";0.0063106569477155;0.109337167450854;0.00232869925127374;-0.19752607156273;0.231478241115565;0.5079;0.4921
"0.039";-0.00432519073200599;0.112434835377356;-0.00841159521706275;-0.214421941708952;0.226956178876746;0.4694;0.5306
"0.04";-0.0149610384117275;0.115537045011975;-0.0191278125736717;-0.230754177028173;0.222421200882792;0.4325;0.5675
"0.041";-0.025596886091449;0.11864344009457;-0.0298968496143383;-0.24788710631858;0.218375469448593;0.4025;0.5975
"0.042";-0.0362327337711704;0.121753700265976;-0.0405419206844798;-0.264053740561882;0.214412549605835;0.3733;0.6267
"0.043";-0.046868581450892;0.124867536706101;-0.0513580026969759;-0.280262492199406;0.210760604973477;0.3472;0.6528
"0.044";-0.0575044291306134;0.127984688385957;-0.0621866435716857;-0.296616791999651;0.205689409977297;0.3204;0.6796
"0.045";-0.0681402768103349;0.131104918836252;-0.0728298700498586;-0.312802272313785;0.201938056389493;0.2964;0.7036
"0.046";-0.0787761244900564;0.134228013352201;-0.0833935340190787;-0.328900778588107;0.19812271362652;0.2738;0.7262
"0.047";-0.0894119721697779;0.13735377656805;-0.0942345538634212;-0.345195023029472;0.193960114194622;0.2518;0.7482
"0.048";-0.100047819849499;0.140482030346026;-0.105061380464615;-0.361796941150568;0.190091203639841;0.2338;0.7662
"0.049";-0.110683667529221;0.143612611933585;-0.115924891072756;-0.378007209335607;0.185865347682887;0.217;0.783
"0.05";-0.121319515208942;0.14674537235034;-0.126905785722086;-0.394950573383939;0.182152363034208;0.2007;0.7993
"0.051";-0.131955362888664;0.149880174972217;-0.137814647663317;-0.411665083336879;0.178442850118265;0.1854;0.8146
