"GD";"moy";"sd";"median";"q025";"p975";"pv.inf0";"pv.sup0"
"0";0.0511784606115732;0.0379415146045988;0.0528151909743693;-0.0284818215107657;0.121264443997994;0.9094;0.0906
"0.001";0.0399139128479419;0.0360664278437412;0.0416520767303023;-0.035591645826376;0.106504541553221;0.8642;0.1358
"0.002";0.0286493650843105;0.0343769763553955;0.0303465447717085;-0.0435519098951513;0.0920760203380278;0.802;0.198
"0.003";0.0173848173206792;0.0329017687713879;0.0187704362356874;-0.0519472680386343;0.0785057901741468;0.71;0.29
"0.004";0.00612026955704785;0.0316707573677543;0.00731692177863593;-0.0604722125503133;0.0645953345703071;0.5912;0.4088
"0.005";-0.00514427820658349;0.0307133188571876;-0.00404477738061024;-0.0690717342665967;0.0514137644154237;0.4482;0.5518
"0.006";-0.0164088259702148;0.0300556090807393;-0.0153076411659609;-0.0787465676932951;0.0388625322578886;0.3031;0.6969
"0.007";-0.0276733737338462;0.0297175355340914;-0.0267653284970174;-0.0893157823329335;0.0274465307977856;0.1797;0.8203
"0.008";-0.0389379214974775;0.029710011750933;-0.0379927492219781;-0.0998012836797454;0.0165827016632162;0.0893;0.9107
"0.009";-0.0502024692611089;0.0300332861551313;-0.0493921772543699;-0.111942087944614;0.00596659737046453;0.0409;0.9591
"0.01";-0.0614670170247402;0.0306769026357983;-0.0607935208173337;-0.123663860350123;-0.0036040798342249;0.0194;0.9806
"0.011";-0.0727315647883716;0.0316213066205577;-0.0721557580749944;-0.135772298346836;-0.0128005444737837;0.00890000000000002;0.9911
"0.012";-0.0839961125520029;0.0328405588940144;-0.08348987080246;-0.148621514268182;-0.020525388360028;0.00490000000000002;0.9951
"0.013";-0.0952606603156343;0.0343053666875309;-0.0948730456177763;-0.16262433837717;-0.0281685372105375;0.00360000000000005;0.9964
"0.014";-0.106525208079266;0.0359857563165694;-0.106176754838369;-0.17760337619892;-0.0362790809807255;0.003;0.997
"0.015";-0.117789755842897;0.0378530280268289;-0.117417984244845;-0.191711170450356;-0.0436167450530848;0.00249999999999995;0.9975
"0.016";-0.129054303606528;0.0398809403467259;-0.128847037496063;-0.206282270502153;-0.050603896488205;0.00219999999999998;0.9978
"0.017";-0.14031885137016;0.0420462563624058;-0.140375163080563;-0.221620035355313;-0.0577102354243871;0.002;0.998
"0.018";-0.151583399133791;0.0443288455101417;-0.151623827633287;-0.237218737375243;-0.0634564010054175;0.00190000000000001;0.9981
"0.019";-0.162847946897422;0.0467115190659189;-0.162865387678252;-0.253250402791909;-0.0695805114906898;0.00180000000000002;0.9982
"0.02";-0.174112494661054;0.0491797324275379;-0.174104770373721;-0.269169554881318;-0.0751858140010746;0.00170000000000003;0.9983
"0.021";-0.185377042424685;0.051721240790004;-0.185504467791009;-0.285504773247859;-0.0807179407432886;0.00180000000000002;0.9982
"0.022";-0.196641590188316;0.0543257583019855;-0.196757624175004;-0.301987598008259;-0.0861463474608827;0.00180000000000002;0.9982
"0.023";-0.207906137951948;0.0569846460051192;-0.208034956083025;-0.318573284324101;-0.0914972479572292;0.00190000000000001;0.9981
"0.024";-0.219170685715579;0.05969063866794;-0.219599722548523;-0.334976024166114;-0.0968223478315234;0.00190000000000001;0.9981
"0.025";-0.23043523347921;0.0624376121248982;-0.230912776917114;-0.351741537547876;-0.102285326212139;0.00180000000000002;0.9982
"0.026";-0.241699781242842;0.0652203884544298;-0.242498442750203;-0.367918553949533;-0.107376056045234;0.00180000000000002;0.9982
"0.027";-0.252964329006473;0.0680345745297862;-0.253780134870983;-0.384891408528127;-0.112580961595267;0.00180000000000002;0.9982
"0.028";-0.264228876770104;0.0708764290280356;-0.264919136886837;-0.401702536514122;-0.117891951442915;0.00170000000000003;0.9983
"0.029";-0.275493424533736;0.0737427532107266;-0.276158014040536;-0.418297496054491;-0.123325497956776;0.00170000000000003;0.9983
"0.03";-0.286757972297367;0.0766308013102102;-0.287748173686819;-0.434877139574254;-0.128795676223415;0.00170000000000003;0.9983
"0.031";-0.298022520060998;0.0795382069624815;-0.299139942194974;-0.451458280114531;-0.133925997861464;0.00170000000000003;0.9983
"0.032";-0.30928706782463;0.0824629227179281;-0.310344876917957;-0.468041252014246;-0.138540884401736;0.00180000000000002;0.9982
"0.033";-0.320551615588261;0.0854031701904224;-0.32195204358027;-0.484656144047324;-0.144175541870048;0.00180000000000002;0.9982
"0.034";-0.331816163351893;0.0883573988581622;-0.333036795520662;-0.501326699940385;-0.148833471809953;0.00170000000000003;0.9983
"0.035";-0.343080711115524;0.0913242519071538;-0.344588088033425;-0.518225170291814;-0.154092581914131;0.00160000000000005;0.9984
"0.036";-0.354345258879155;0.0943025378175849;-0.356047404704673;-0.534956711530493;-0.159953835561694;0.00160000000000005;0.9984
"0.037";-0.365609806642787;0.0972912066442164;-0.367463284899372;-0.552206652667188;-0.164133556849483;0.00160000000000005;0.9984
"0.038";-0.376874354406418;0.100289330144104;-0.378758755170434;-0.569341751698266;-0.169195303816525;0.00160000000000005;0.9984
"0.039";-0.388138902170049;0.103296085067312;-0.390041530025688;-0.586177380771447;-0.174341798230858;0.00160000000000005;0.9984
"0.04";-0.399403449933681;0.106310739056449;-0.401415038621292;-0.603592561080492;-0.180206380949878;0.00170000000000003;0.9983
"0.041";-0.410667997697312;0.109332638705184;-0.413118721246934;-0.620725299228355;-0.185882307997789;0.00170000000000003;0.9983
"0.042";-0.421932545460943;0.112361199409596;-0.424283555089742;-0.637674706092026;-0.191244912358361;0.00170000000000003;0.9983
"0.043";-0.433197093224575;0.115395896713455;-0.435778241685728;-0.655081871205004;-0.196065634095165;0.00170000000000003;0.9983
