"GD";"moy";"sd";"median";"q025";"p975";"pv.inf0";"pv.sup0"
"0";0.338223207407685;0.117389599113079;0.33404483484953;0.121429260855912;0.585072663902365;0.9989;0.00109999999999999
"0.001";0.319877394032133;0.108199736808756;0.316463413852883;0.117195723120577;0.54767282426667;0.9991;0.000900000000000012
"0.002";0.30153158065658;0.100869729608795;0.297864191677183;0.11081097097788;0.508170652679808;0.9991;0.000900000000000012
"0.003";0.283185767281028;0.0958273233348991;0.280299939853173;0.101510729078063;0.479057963032636;0.9987;0.00129999999999997
"0.004";0.264839953905476;0.0934435855691761;0.263431016419682;0.0829057913673651;0.452427636859298;0.9976;0.00239999999999996
"0.005";0.246494140529924;0.0939211675333588;0.246856578096739;0.057961992457337;0.428822428725308;0.9935;0.00649999999999995
"0.006";0.228148327154372;0.0972179097591965;0.23113368141483;0.0222164641709379;0.410256797549546;0.9826;0.0174
"0.007";0.20980251377882;0.103063633185416;0.215223844937107;-0.0302766673244975;0.393589193125564;0.9631;0.0369
"0.008";0.191456700403268;0.111056549708342;0.200543131753717;-0.0824601378387781;0.379848565536194;0.9438;0.0562
"0.009";0.173110887027716;0.120771090171354;0.186066824196318;-0.144407859557706;0.369197344556675;0.9249;0.0750999999999999
"0.01";0.154765073652163;0.131827195409544;0.172476123814417;-0.201509506251183;0.358120682051746;0.9003;0.0997
"0.011";0.136419260276611;0.143916006469842;0.158618295956255;-0.259058974790579;0.346975487823755;0.8762;0.1238
"0.012";0.118073446901059;0.1567988476591;0.145385161843003;-0.32053545031756;0.338518485249952;0.8462;0.1538
"0.013";0.0997276335255071;0.170295609387114;0.132488333174504;-0.383428054562415;0.330081905180502;0.8152;0.1848
"0.014";0.081381820149955;0.184271443165098;0.119698733882414;-0.445973572145978;0.323747106824719;0.7846;0.2154
"0.015";0.0630360067744029;0.198625248133464;0.106378799435899;-0.509896543967883;0.320015433954158;0.7527;0.2473
"0.016";0.0446901933988508;0.213280725491839;0.0926170547827159;-0.573513975758733;0.316726645429119;0.7195;0.2805
"0.017";0.0263443800232987;0.228179755405432;0.0781770575931539;-0.633898464295627;0.312626985699947;0.6889;0.3111
"0.018";0.00799856664774652;0.24327759438089;0.0640065626351255;-0.690916746160397;0.311559205695629;0.6583;0.3417
"0.019";-0.0103472467278056;0.258539415406889;0.0505537595493586;-0.750856079249691;0.308671800771987;0.6234;0.3766
"0.02";-0.0286930601033577;0.273937812195453;0.0367741873068367;-0.813918433748221;0.307382803538872;0.5896;0.4104
"0.021";-0.0470388734789098;0.289450988635796;0.0226184339012211;-0.876564771891807;0.306810538381486;0.5521;0.4479
"0.022";-0.0653846868544619;0.305061434688753;0.00848588252116406;-0.93697573417592;0.305791440273208;0.5192;0.4808
"0.023";-0.083730500230014;0.320754948966955;-0.00491895546856552;-0.999258603654385;0.305393045855515;0.4895;0.5105
"0.024";-0.102076313605566;0.336519910078944;-0.0188632904558929;-1.06020945486044;0.304690460157348;0.4588;0.5412
"0.025";-0.120422126981118;0.352346727972036;-0.0328293594481331;-1.12310235613864;0.306043572003712;0.4315;0.5685
