"var";"moy";"sd";"median";"q025";"p975";"pv.inf0";"pv.sup0";"model"
"(Intercept)";-4.45113808674071;0.253882873959577;-4.45978684944691;-4.92953607086393;-3.92998114203029;0;1;"CE"
"ContinuousGrain";0.0225588851712176;0.0273497593816334;0.0221485769375586;-0.030310282957168;0.0765890990509667;0.796;0.204;"CE"
"LogExtent";0.65213977685019;0.0429894431311934;0.653462243985;0.564507124459752;0.731626307316758;1;0;"CE"
"LogNtempUnits";-0.0667992955508713;0.0263187952625961;-0.0661861929108045;-0.119037148316044;-0.0159874967305564;0.00470000000000004;0.9953;"CE"
"PrAbabundance";0.812236529500938;0.0633994853301108;0.811461507787751;0.68511495559586;0.936999408418335;1;0;"CE"
"QualityRAW";0.321068006319109;0.0703263864216167;0.319634382649855;0.187596445500164;0.462756348804629;1;0;"CE"
"QualityRESURVEYED";-0.186183446600788;0.0841555648672117;-0.186616164444617;-0.349225915224514;-0.0173957822844008;0.0168;0.9832;"CE"
"scale(GD)";0.10565774944218;0.0249855293246084;0.106440860046275;0.0554162282651642;0.153275568965727;0.9999;9.9999999999989e-05;"CE"
"scale(vel_abs)";0.358179637738569;0.0252721156098236;0.358756948989478;0.307920087193958;0.40629372890123;1;0;"CE"
"scale(vel_abs):scale(GD)";-0.0737909017724029;0.0220712432438954;-0.074402760770747;-0.115184811974924;-0.0291043785857415;0.000800000000000023;0.9992;"CE"
