"var";"moy";"sd";"median";"q025";"p975";"pv.inf0";"pv.sup0";"model"
"(Intercept)";-2.31736150217959;0.625586019145101;-2.31743705683524;-3.53217824246438;-1.07410833025835;0.000399999999999956;0.9996;"LE"
"ContinuousGrain";0.20009509901318;0.0457305339808929;0.200055931366975;0.110024093975529;0.290205112384268;1;0;"LE"
"LogExtent";0.434229623257289;0.0867316028181949;0.435442516479365;0.261448423572964;0.601219834860187;1;0;"LE"
"LogNtempUnits";0.164466527060663;0.130741794791937;0.190438208910998;-0.0867879582626557;0.382458760547489;0.8593;0.1407;"LE"
"PrAbabundance";-0.225932942930372;0.252745064233649;-0.259150667677815;-0.680031420372299;0.276817832145181;0.2101;0.7899;"LE"
"QualityRAW";0.124262269557508;0.0488177417243396;0.124240814846798;0.0258610121939251;0.218460828855065;0.9934;0.00660000000000005;"LE"
"QualityRESURVEYED";-0.562936124241627;0.157244363674491;-0.556621404979537;-0.87951923350299;-0.274054072888911;0;1;"LE"
"scale(GD)";0.0405722746437153;0.0201298844113046;0.0406154452976566;0.000492373829437475;0.0796967132267195;0.9765;0.0235;"LE"
"scale(vel_abs)";-0.019966801728207;0.0299135732175311;-0.0189653533262725;-0.0821699198943268;0.0352770323658135;0.2591;0.7409;"LE"
"scale(vel_abs):scale(GD)";-0.0853974614019449;0.0238295726928588;-0.0860473898382393;-0.130372351072104;-0.0361073047769209;0.00229999999999997;0.9977;"LE"
